Testing SD card write operations: 1970-01-01 02:00:04
2022-05-30 08:05:06: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-55}
2022-05-30 08:05:08: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-53}
2022-05-30 08:05:08: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-78}
2022-05-30 08:05:10: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-60}
2022-05-30 08:05:12: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-61}
2022-05-30 08:05:14: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-54}
2022-05-30 08:05:16: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-52}
2022-05-30 08:05:18: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-53}
2022-05-30 08:05:18: {'ssid':'T23', 'bssid':'4588576ad7ae370498ae8bbc99f97e4ce41fcb4db6c863b61f26c8fae331b6f4', 'sec':3, 'channel':11, 'rssi':-91}
2022-05-30 08:05:20: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-52}
2022-05-30 08:05:22: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-54}
2022-05-30 08:05:24: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-54}
2022-05-30 08:05:24: {'ssid':'T24', 'bssid':'49a6886bc0856fe7127e12f93a31e87dc926da0cdd6547799feaa3da085279a9', 'sec':3, 'channel':10, 'rssi':-88}
2022-05-30 08:05:26: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-53}
2022-05-30 08:05:28: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-51}
2022-05-30 08:05:30: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-48}
2022-05-30 08:05:30: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-74}
2022-05-30 08:05:30: {'ssid':'T25', 'bssid':'c4cf1da7e2e19be64f7c5e4b06dccac6a47af8ab90cf4442183a1c189db56839', 'sec':3, 'channel':6, 'rssi':-87}
2022-05-30 08:05:31: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-42}
2022-05-30 08:05:33: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-52}
2022-05-30 08:05:35: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-52}
2022-05-30 08:05:37: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-86}
2022-05-30 08:05:39: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-82}
2022-05-30 08:05:41: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-53}
2022-05-30 08:05:43: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-85}
2022-05-30 08:05:46: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-48}
2022-05-30 08:05:48: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-46}
2022-05-30 08:05:48: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-76}
2022-05-30 08:05:52: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-53}
2022-05-30 08:05:54: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-55}
2022-05-30 08:05:55: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-76}
2022-05-30 08:05:59: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-85}
2022-05-30 08:06:05: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-78}
2022-05-30 08:06:08: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-78}
2022-05-30 08:06:10: {'ssid':'T26', 'bssid':'45d056a5b4d276936794b1c338ad8c3ef076ad3c301d30b4a3f2b30386c81402', 'sec':3, 'channel':6, 'rssi':-90}
2022-05-30 08:06:12: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-55}
2022-05-30 08:06:14: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-60}
2022-05-30 08:06:14: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-78}
2022-05-30 08:06:16: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-30 08:06:18: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-30 08:06:19: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-30 08:06:21: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-41}
2022-05-30 08:06:23: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-30 08:06:25: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-46}
2022-05-30 08:06:25: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-77}
2022-05-30 08:06:25: {'ssid':'T27', 'bssid':'2d566f29ec6f493f762783065e755339f03636ec6db97540bfdf3a01349b278b', 'sec':3, 'channel':6, 'rssi':-93}
2022-05-30 08:06:27: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-42}
2022-05-30 08:06:29: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-38}
2022-05-30 08:06:31: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-40}
