Testing SD card write operations: 2022-06-25 14:16:17
2022-06-25 14:16:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'51ff66e2386f', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:16:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'51ff66e2386f', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:16:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e71c69d6edcc', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:16:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'51ff66e2386f', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:16:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'45c3be08d2f4', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:16:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'41e5f799b061', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:16:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'620eed56af49', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'725cd7c02492', 'rssi': -38, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:16:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'45c3be08d2f4', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:16:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'51ff66e2386f', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:16:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'601caf1c0a95', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-25 14:16:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'45c3be08d2f4', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:16:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'601caf1c0a95', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-25 14:16:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'45c3be08d2f4', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:16:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'725cd7c02492', 'rssi': -37, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:16:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'725cd7c02492', 'rssi': -34, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:16:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'620eed56af49', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'620eed56af49', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'45c3be08d2f4', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:16:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'620eed56af49', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'620eed56af49', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7f9030b0ef95', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'620eed56af49', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'df0951515e0b', 'rssi': -34, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
