Testing SD card write operations: 2022-06-26 11:46:39
2022-06-26 11:46:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6b810c374386adf2df46f425ef44c8e2505d53fd2018dfd9bab93aa4b2b76699', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 11:46:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a342d8fc64596634ab9aa6db4e1b8c582cd585a3e875e15d25409b6eb8ce4cfe', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 11:46:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1453026aea56926c927f063a914262a8feb78a67371a12c3907388735afeaf54', 'rssi': -36, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 11:46:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '44205170d2cdba1722006a44895e186412136c5c9e66810d8c4dd4382c2f64f7', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:46:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6c37578feb22327ac1574d8812abad178496884a12fb4373c4472f83743b3a0e', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 2, 'adv_tx_pwr': 3}
2022-06-26 11:46:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f3ccc95e49e131255a56c9798a069b864f36f5aca9e324e6bd598520cc13ab8', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 11:47:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6c37578feb22327ac1574d8812abad178496884a12fb4373c4472f83743b3a0e', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 2, 'adv_tx_pwr': 3}
2022-06-26 11:47:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6c37578feb22327ac1574d8812abad178496884a12fb4373c4472f83743b3a0e', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 2, 'adv_tx_pwr': 3}
2022-06-26 11:47:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6c37578feb22327ac1574d8812abad178496884a12fb4373c4472f83743b3a0e', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:47:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6c37578feb22327ac1574d8812abad178496884a12fb4373c4472f83743b3a0e', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
