Testing SD card write operations: 2022-05-20 21:16:18
2022-05-20 21:16:36: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '0e9761314b1cb1f91e720e420285ff6aebac0c08556fb7cbb9c86f2fa70c99f7', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:16:36: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '0e9761314b1cb1f91e720e420285ff6aebac0c08556fb7cbb9c86f2fa70c99f7', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:16:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '020ce2c5c35690ec4e9cb7654f6a417d31620a7a14b0c9e2267231de074ccfca', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-05-20 21:16:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ada2019762ba95921cfbacbb7533499daeabce498877a67361c5cebd076e03e2', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:16:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '020ce2c5c35690ec4e9cb7654f6a417d31620a7a14b0c9e2267231de074ccfca', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-05-20 21:16:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '76b84d2e400fcafc0753f59a7151a994928d9f2c0eb4f093627af946645b1813', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:16:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '76b84d2e400fcafc0753f59a7151a994928d9f2c0eb4f093627af946645b1813', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:16:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'acea0bdc93eb133f14eec0386388124aab705f3c19245d04c07a1128e81cb21c', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 21:16:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9bb60041d7796ce6e61d5bffc4574afd72ca8f7e8c94578268d85070391250da', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-20 21:16:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '76b84d2e400fcafc0753f59a7151a994928d9f2c0eb4f093627af946645b1813', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:16:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '496975838913755607c9148c90788426f05fcaa24b4bbc9ea2887bd46f8f89c7', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 21:16:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '76b84d2e400fcafc0753f59a7151a994928d9f2c0eb4f093627af946645b1813', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:16:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '496975838913755607c9148c90788426f05fcaa24b4bbc9ea2887bd46f8f89c7', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 21:16:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '496975838913755607c9148c90788426f05fcaa24b4bbc9ea2887bd46f8f89c7', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 21:16:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2ce5db96508f60c24f5bd6e6f0d22f1443379d1510a3f2ba2577122d1433ec43', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-20 21:16:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '496975838913755607c9148c90788426f05fcaa24b4bbc9ea2887bd46f8f89c7', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 21:16:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '76b84d2e400fcafc0753f59a7151a994928d9f2c0eb4f093627af946645b1813', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:16:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '79fb9d6423827e2a8136aed0044db7f02c82d3282f26857d8dcca585c59a736a', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:16:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ba909a77f7e988f5bf0a830713fa2c26c241568f4ce6a8bd2a645dd134ee2187', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:16:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '37ffe9c73672028f109a9404030db8a1204f6d03bfc2d87ef289dea2be83940c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:16:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '496975838913755607c9148c90788426f05fcaa24b4bbc9ea2887bd46f8f89c7', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 21:16:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ba909a77f7e988f5bf0a830713fa2c26c241568f4ce6a8bd2a645dd134ee2187', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:16:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '96247ed49962edf6a67bb9a6faeb32421af7b607de17272a611b20abbfee6764', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:16:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '496975838913755607c9148c90788426f05fcaa24b4bbc9ea2887bd46f8f89c7', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
