Testing SD card write operations: 2022-05-20 21:03:46
2022-05-20 21:05:23: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-76}
2022-05-20 21:05:26: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-74}
2022-05-20 21:05:28: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-71}
2022-05-20 21:05:30: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-77}
2022-05-20 21:05:31: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-78}
2022-05-20 21:05:36: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-83}
2022-05-20 21:05:39: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-77}
2022-05-20 21:05:41: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-83}
2022-05-20 21:05:43: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-82}
2022-05-20 21:05:45: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-86}
2022-05-20 21:05:50: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-86}
2022-05-20 21:05:52: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-79}
2022-05-20 21:05:54: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-85}
2022-05-20 21:05:58: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-77}
2022-05-20 21:06:00: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-82}
2022-05-20 21:06:05: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-79}
2022-05-20 21:06:07: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-79}
2022-05-20 21:06:09: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-80}
2022-05-20 21:06:11: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-82}
2022-05-20 21:06:12: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-78}
2022-05-20 21:06:14: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-84}
2022-05-20 21:06:18: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-80}
2022-05-20 21:06:22: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-85}
2022-05-20 21:06:23: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-72}
2022-05-20 21:06:25: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-81}
