Testing SD card write operations: 2022-06-26 07:30:23
2022-06-26 07:30:50: {'Acceleration': '(0.05187988, 0.08361816, 0.9798584)', 'Roll': '-3.03077', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-3.794365'}
2022-06-26 07:30:51: {'Acceleration': '(0.03222656, 0.09143066, 0.9736328)', 'Roll': '-1.895758', 'battery_voltage': 4.491004, 'battery_percentage': 82.43363, 'Pitch': '-5.330612'}
2022-06-26 07:30:52: {'Acceleration': '(0.04504395, 0.09509277, 0.9624023)', 'Roll': '-2.679696', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.636817'}
2022-06-26 07:30:53: {'Acceleration': '(0.03417969, 0.07507324, 0.993042)', 'Roll': '-1.971295', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.058861'}
2022-06-26 07:30:54: {'Acceleration': '(0.0489502, 0.09936523, 0.9957275)', 'Roll': '-2.814408', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-5.495319'}
2022-06-26 07:30:54: {'Acceleration': '(0.03417969, 0.09057617, 0.9888916)', 'Roll': '-1.979562', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.23022'}
2022-06-26 07:30:55: {'Acceleration': '(0.05114746, 0.0892334, 0.9837646)', 'Roll': '-2.976217', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.578069'}
2022-06-26 07:30:56: {'Acceleration': '(0.03820801, 0.08496094, 1.014404)', 'Roll': '-2.157052', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-4.466488'}
2022-06-26 07:30:57: {'Acceleration': '(0.02416992, 0.07507324, 1.014282)', 'Roll': '-1.365076', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-4.231895'}
2022-06-26 07:30:58: {'Acceleration': '(0.02001953, 0.08483887, 1.009033)', 'Roll': '-1.136617', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-4.805147'}
2022-06-26 07:30:59: {'Acceleration': '(0.05505371, 0.0690918, 1.025635)', 'Roll': '-3.072556', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-6.347402'}
2022-06-26 07:31:00: {'Acceleration': '(0.02246094, 0.0949707, 1.051147)', 'Roll': '-1.224111', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.161459'}
2022-06-26 07:31:00: {'Acceleration': '(0.02416992, 0.08764648, 1.035767)', 'Roll': '-1.336771', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-4.835531'}
2022-06-26 07:31:01: {'Acceleration': '(0.0333252, 0.1013184, 1.009888)', 'Roll': '-2.402512', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-5.62333'}
2022-06-26 07:31:02: {'Acceleration': '(0.03967285, 0.08813477, 1.061523)', 'Roll': '-2.140348', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-4.774002'}
2022-06-26 07:31:03: {'Acceleration': '(0.01391602, 0.07836914, 0.9969482)', 'Roll': '-0.7997177', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-4.494287'}
2022-06-26 07:31:04: {'Acceleration': '(0.03833008, 0.09924316, 1.012329)', 'Roll': '-1.692196', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.596644'}
2022-06-26 07:31:05: {'Acceleration': '(0.05041504, 0.09643555, 1.010132)', 'Roll': '-2.857225', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.142686'}
2022-06-26 07:31:06: {'Acceleration': '(0.04919434, 0.1054688, 1.026001)', 'Roll': '-2.745095', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-6.012386'}
2022-06-26 07:31:06: {'Acceleration': '(0.02905273, 0.09533691, 1.023071)', 'Roll': '-1.626623', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.321712'}
2022-06-26 07:31:07: {'Acceleration': '(0.01159668, 0.09741211, 1.03125)', 'Roll': '-0.6743708', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.114511'}
2022-06-26 07:31:08: {'Acceleration': '(0.04418945, 0.1052246, 1.006226)', 'Roll': '-2.514588', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.709499'}
2022-06-26 07:31:09: {'Acceleration': '(0.03198242, 0.1062012, 1.006714)', 'Roll': '-1.819625', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-6.019011'}
2022-06-26 07:31:10: {'Acceleration': '(0.03198242, 0.1274414, 0.9666748)', 'Roll': '-1.796119', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-7.018348'}
2022-06-26 07:31:11: {'Acceleration': '(0.01953125, 0.09643555, 1.041504)', 'Roll': '-1.561657', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-6.214431'}
2022-06-26 07:31:12: {'Acceleration': '(0.02429199, 0.1428223, 1.00647)', 'Roll': '-1.382613', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-8.074265'}
2022-06-26 07:31:12: {'Acceleration': '(0.07092285, 0.1280518, 1.014648)', 'Roll': '-0.6446703', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-7.655702'}
2022-06-26 07:31:13: {'Acceleration': '(0.04382324, 0.1315918, 1.023193)', 'Roll': '-2.491059', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-6.308425'}
2022-06-26 07:31:14: {'Acceleration': '(0.0411377, 0.1169434, 1.013916)', 'Roll': '-2.323392', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-6.599913'}
2022-06-26 07:31:15: {'Acceleration': '(0.0723877, 0.144165, 1.033081)', 'Roll': '-4.008148', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-7.00719'}
2022-06-26 07:31:16: {'Acceleration': '(0.06726074, 0.1186523, 1.010498)', 'Roll': '-3.808103', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-6.682333'}
