Testing SD card write operations: 2022-06-26 07:30:17
2022-06-26 07:30:34: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '86ac6de4eb573f63cf79370d65670bd66a69d71c2e22ca4267ee6ad5', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '11b4f2249b600d8ba93d024c2bcae5dbc27fbae18c4703c8dcee0f85', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 07:30:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10d54c8497868cb645e56806b27e8475bf9145e4dae5b27dbf084421', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 3, 'adv_tx_pwr': 3}
2022-06-26 07:30:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '229c4fa8a7a6c61e9682fe76bd3418afd8769aa8a3e1ffc892fdc333', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2328bf49858c489a09c44ac9261e061b670fbcdb232f39603f45f02f', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 07:30:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dbfd2f4014aa7a4e09c0485e2061ce69eaa81e35ab1124332a80fbe6', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-26 07:30:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '26fa1e1e01a9530493c8509c949a57f4dee001b0ad790c3f7a8a3f14', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 07:30:40: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '86ac6de4eb573f63cf79370d65670bd66a69d71c2e22ca4267ee6ad5', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a9ba81d486d3fcb02f3705fea45fd607f95cd31903707b8d5036f12b', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 07:30:41: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '2c434a2852100bcc9d1f50f0f35eb4437f3657a3b7d9a0635bf54537', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-26 07:30:42: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '8305af8cb5c36a8f034395f1fd3904202f8ca8045e78a07016b0adfc', 'rssi': -90, 'name': 'Tb90', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10d54c8497868cb645e56806b27e8475bf9145e4dae5b27dbf084421', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 3, 'adv_tx_pwr': 3}
2022-06-26 07:30:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10d54c8497868cb645e56806b27e8475bf9145e4dae5b27dbf084421', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 3, 'adv_tx_pwr': 3}
2022-06-26 07:30:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ce2f72fd5371ad8ea5cb8bad70c2e7789e1bb77e054eebe288524ee0', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-26 07:30:45: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '2c434a2852100bcc9d1f50f0f35eb4437f3657a3b7d9a0635bf54537', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-26 07:30:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '11b4f2249b600d8ba93d024c2bcae5dbc27fbae18c4703c8dcee0f85', 'rssi': -36, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 07:30:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08c1c6bcc6c10400692c79dfddc1cba03cba685fa88a5f4e3a7aeff6', 'rssi': -39, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2328bf49858c489a09c44ac9261e061b670fbcdb232f39603f45f02f', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 07:30:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7bce7b949155ec06a3651a04225b0c9e69aa075d274e84f29c00383c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-26 07:30:49: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '2c434a2852100bcc9d1f50f0f35eb4437f3657a3b7d9a0635bf54537', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-26 07:30:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '914e13d25787a38701ca26be09bef40a8adcd4263519a4e41b7e7033', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08c1c6bcc6c10400692c79dfddc1cba03cba685fa88a5f4e3a7aeff6', 'rssi': -40, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10d54c8497868cb645e56806b27e8475bf9145e4dae5b27dbf084421', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:52: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '89a9722a5c30bf5e25fbfc22d2f85f42d7a85e788816695ac965089a', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-26 07:30:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10d54c8497868cb645e56806b27e8475bf9145e4dae5b27dbf084421', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:54: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'f570953dc72daf9e00b82da5a4d3563e0990f5139dbab8965e1fb78d', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3ef8efc8ed85036fa5407248cb4bb71bd4063985289c713e00dfac9d', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
