Testing SD card write operations: 2022-04-04 01:13:48
2022-04-04 01:14:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9227151f02c0bf55ded55a5955534bd5cd544a0155377b6892298cdd', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9227151f02c0bf55ded55a5955534bd5cd544a0155377b6892298cdd', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f66ff335b21400d868160195b27d0cf2632082aa94f4d18afff961bb', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f0d383bf8913b8afbb0fc209720cce28b0e5ed13e494cc91412ff89a', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f66ff335b21400d868160195b27d0cf2632082aa94f4d18afff961bb', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f66ff335b21400d868160195b27d0cf2632082aa94f4d18afff961bb', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9227151f02c0bf55ded55a5955534bd5cd544a0155377b6892298cdd', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1fea35c8877628677685dafd85956dcfa784ff32361e19890a579112', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-04-04 01:14:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f66ff335b21400d868160195b27d0cf2632082aa94f4d18afff961bb', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f0d383bf8913b8afbb0fc209720cce28b0e5ed13e494cc91412ff89a', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9227151f02c0bf55ded55a5955534bd5cd544a0155377b6892298cdd', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9227151f02c0bf55ded55a5955534bd5cd544a0155377b6892298cdd', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '587473aa7a15714885d395fdd8ed8dc4207a44b95cd80325ad69902f', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9227151f02c0bf55ded55a5955534bd5cd544a0155377b6892298cdd', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '79c7cc25d40a52e72dbc305f61e89c883f56e6a093c5e379cefc9181', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
