File is openned: 2022-04-04 01:13:50
2022-04-04 01:14:29: {'Acceleration': '(0.09423828, 0.04602051, 0.9957275)', 'Roll': '-5.406519', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-2.630911'}
2022-04-04 01:14:31: {'Acceleration': '(0.09155273, 0.04577637, 0.9938965)', 'Roll': '-5.262946', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-2.625934'}
2022-04-04 01:14:32: {'Acceleration': '(0.09130859, 0.04650879, 0.9915771)', 'Roll': '-5.261199', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-2.65664'}
2022-04-04 01:14:33: {'Acceleration': '(0.1385498, 0.07165527, 1.047241)', 'Roll': '-7.536452', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-3.880533'}
2022-04-04 01:14:34: {'Acceleration': '(-0.5792236, -0.3183594, 1.075439)', 'Roll': '28.30657', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '15.10804'}
2022-04-04 01:14:35: {'Acceleration': '(0.1072998, -0.7458496, 0.53125)', 'Roll': '-9.672987', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '49.89398'}
2022-04-04 01:14:36: {'Acceleration': '(-0.7481689, -0.1098633, 0.9642334)', 'Roll': '37.80864', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '5.515297'}
2022-04-04 01:14:37: {'Acceleration': '(-0.2022705, -0.1096191, 0.9536133)', 'Roll': '11.68459', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.578996'}
2022-04-04 01:14:38: {'Acceleration': '(0.03308105, 0.015625, 0.9996338)', 'Roll': '-1.895407', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.047022'}
2022-04-04 01:14:39: {'Acceleration': '(0.03308105, 0.01623535, 1.003662)', 'Roll': '-1.887805', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-0.9252328'}
2022-04-04 01:14:40: {'Acceleration': '(0.03405762, 0.01599121, 1.00293)', 'Roll': '-2.00741', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-0.9260025'}
2022-04-04 01:14:42: {'Acceleration': '(0.03295898, 0.02075195, 1.010742)', 'Roll': '-1.957536', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.175511'}
2022-04-04 01:14:43: {'Acceleration': '(0.03027344, 0.01550293, 1.001587)', 'Roll': '-1.731265', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-0.8863695'}
2022-04-04 01:14:44: {'Acceleration': '(0.03417969, 0.01867676, 1.003174)', 'Roll': '-1.951401', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.078687'}
2022-04-04 01:14:45: {'Acceleration': '(0.03491211, 0.01672363, 1.006714)', 'Roll': '-1.98618', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.8252902'}
2022-04-04 01:14:46: {'Acceleration': '(0.03662109, 0.01635742, 1.000244)', 'Roll': '-2.067592', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.9845897'}
2022-04-04 01:14:47: {'Acceleration': '(0.03051758, 0.0189209, 1.008423)', 'Roll': '-1.733395', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.8866869'}
2022-04-04 01:14:48: {'Acceleration': '(0.02966309, 0.008666992, 1.045166)', 'Roll': '-3.836483', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-0.4109783'}
2022-04-04 01:14:49: {'Acceleration': '(0.03283691, 0.01940918, 1.004883)', 'Roll': '-1.871609', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.079098'}
2022-04-04 01:14:50: {'Acceleration': '(0.0345459, 0.01733398, 1.009033)', 'Roll': '-1.960849', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.9836'}
2022-04-04 01:14:52: {'Acceleration': '(0.03833008, 0.01855469, 0.9989014)', 'Roll': '-2.197489', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.058077'}
2022-04-04 01:14:53: {'Acceleration': '(0.03503418, 0.01757813, 1.002808)', 'Roll': '-1.985901', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.203473'}
2022-04-04 01:14:54: {'Acceleration': '(0.03222656, 0.01989746, 1.002686)', 'Roll': '-1.839301', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.079492'}
2022-04-04 01:14:55: {'Acceleration': '(0.03735352, 0.01525879, 0.9991455)', 'Roll': '-2.141032', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-1.182025'}
2022-04-04 01:14:56: {'Acceleration': '(0.03820801, 0.01721191, 1.005249)', 'Roll': '-2.176679', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-0.9802172'}
2022-04-04 01:14:57: {'Acceleration': '(0.03320313, 0.01989746, 1.012451)', 'Roll': '-1.788617', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-1.125327'}
2022-04-04 01:14:58: {'Acceleration': '(0.03503418, 0.01855469, 1.002686)', 'Roll': '-2.003313', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.095533'}
2022-04-04 01:14:59: {'Acceleration': '(0.03381348, 0.01879883, 1.003418)', 'Roll': '-1.93004', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.120976'}
2022-04-04 01:15:01: {'Acceleration': '(0.04077148, 0.02148438, 0.9998779)', 'Roll': '-2.335025', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-1.213928'}
