Time,Acceleration,Roll,battery_voltage,battery_percentage,Pitch
13:12:54,"(-0.5603027, -0.1346436, 0.8031006)",34.90249,4.556237,88.95696,7.974899
13:12:55,"(-0.5343018, -0.2164307, 0.8256836)",32.50572,4.556237,88.95696,12.80839
13:12:56,"(-0.5266113, -0.2352295, 0.8179932)",32.77281,4.551219,88.45518,13.59293
13:12:57,"(-0.5447998, -0.1707764, 0.8566895)",32.45375,4.556237,88.95696,9.548441
13:12:58,"(-0.5428467, -0.229248, 0.8341064)",33.05657,4.551219,88.45518,12.91447
13:12:59,"(-0.4473877, -0.2750244, 0.8712158)",27.18145,4.556237,88.95696,15.68562
13:13:00,"(-0.5811768, -0.2474365, 0.7923584)",36.25919,4.556237,88.95696,14.40814
13:13:00,"(-0.4619141, -0.01538086, 0.9259033)",26.51366,4.556237,88.95696,0.5141647
13:13:01,"(-0.52771, 0.1600342, 0.8658447)",31.36122,4.556237,88.95696,-8.968841
13:13:02,"(-0.6768799, -0.2478027, 0.7668457)",41.43422,4.556237,88.95696,13.92259
13:13:03,"(-0.5026855, -0.2644043, 0.8656006)",30.14529,4.556237,88.95696,13.61393
13:13:04,"(-0.5115967, -0.1981201, 0.8310547)",31.61642,4.556237,88.95696,11.4758
13:13:05,"(-0.5206299, -0.2351074, 0.8594971)",31.20487,4.556237,88.95696,12.91478
13:13:06,"(-0.519165, -0.2719727, 0.8361816)",32.03871,4.556237,88.95696,15.62528
13:13:06,"(-0.4946289, -0.2651367, 0.7808838)",32.35106,4.551219,88.45518,16.00466
13:13:07,"(-0.6047363, -0.2663574, 0.796875)",37.19431,4.556237,88.95696,13.80858
13:13:08,"(-0.5101318, -0.1929932, 0.8414307)",32.3535,4.561255,89.45872,12.00883
13:13:09,"(-0.425415, -0.2578125, 0.8262939)",27.24154,4.566273,89.96055,15.81257
13:13:10,"(-0.5784912, -0.3271484, 0.7849121)",37.37038,4.556237,88.95696,18.25115
13:13:11,"(-0.9038086, -0.1635742, 0.6594238)",52.27471,4.556237,88.95696,5.351452
13:13:12,"(-0.3255615, -0.3564453, 0.9787598)",19.15961,4.561255,89.45872,16.89961
13:13:13,"(-0.4543457, -0.3670654, 0.824585)",28.17721,4.551219,88.45518,22.50838
13:13:13,"(-0.5067139, -0.3579102, 0.7971191)",32.44336,4.556237,88.95696,20.75294
13:13:14,"(-0.4953613, -0.3446045, 0.8022461)",31.14042,4.556237,88.95696,20.06966
13:13:15,"(-0.5249023, -0.3305664, 0.8001709)",33.26439,4.556237,88.95696,19.05642
13:13:16,"(-0.6270752, -0.1917725, 0.8076172)",38.73501,4.556237,88.95696,12.26139
13:13:17,"(-0.6800537, -0.06420898, 0.8061523)",45.87663,4.556237,88.95696,6.14253
13:13:18,"(-0.6134033, -0.05029297, 0.8076172)",37.21748,4.556237,88.95696,2.839031
13:13:19,"(-0.6253662, -0.04223633, 0.7924805)",38.67844,4.556237,88.95696,2.525416
13:13:19,"(-0.6199951, -0.05639648, 0.803833)",37.64294,4.556237,88.95696,3.17977
13:13:20,"(-0.6368408, -0.06091309, 0.7904053)",38.85889,4.551219,88.45518,3.43423
13:13:21,"(-0.6109619, -0.05334473, 0.8161621)",37.02458,4.556237,88.95696,3.393651
13:13:22,"(-0.5964355, -0.05310059, 0.8148193)",35.97937,4.551219,88.45518,3.018767
13:13:23,"(-2.254395, -0.1578369, -0.3347168)",98.44518,4.556237,88.95696,3.961627
13:13:24,"(-0.4650879, -0.2069092, 0.9984131)",24.97738,4.556237,88.95696,10.63936
13:13:25,"(-0.5180664, -0.3554688, 0.8275146)",32.04867,4.556237,88.95696,20.00634
13:13:26,"(-0.5667725, -0.0423584, 0.7719727)",36.28564,4.556237,88.95696,2.532524
13:13:26,"(-0.6225586, -0.1987305, 0.7384033)",39.62976,4.556237,88.95696,11.44928
13:13:27,"(-0.5234375, -0.2459717, 0.8054199)",33.01959,4.556237,88.95696,14.36307
13:13:28,"(-0.5697021, -0.2592773, 0.7972412)",35.54929,4.556237,88.95696,14.82095
13:13:29,"(-0.5709229, -0.2130127, 0.803833)",34.88125,4.551219,88.45518,12.28136
13:13:30,"(-0.6083984, -0.189209, 0.8051758)",37.75415,4.561255,89.45872,10.67791
13:13:31,"(-0.611084, -0.1717529, 0.7906494)",37.70003,4.556237,88.95696,9.752568
13:13:32,"(-0.588501, -0.08410645, 0.8571777)",35.05002,4.551219,88.45518,4.592491
13:13:33,"(-0.515625, -0.2095947, 0.9162598)",29.93294,4.556237,88.95696,10.46382
13:13:34,"(-0.7232666, -0.1043701, 0.7518311)",43.89064,4.556237,88.95696,5.713062
13:13:34,"(-0.557373, -0.01818848, 0.7769775)",35.65416,4.556237,88.95696,-0.1677119
13:13:35,"(-0.5611572, -0.1248779, 0.840332)",32.37072,4.556237,88.95696,6.597629
13:13:36,"(-0.53479, -0.1723633, 0.8903809)",30.99031,4.556237,88.95696,8.570037
13:13:37,"(-0.5852051, -0.2132568, 0.779541)",36.81565,4.556237,88.95696,12.77526
13:13:38,"(-0.5444336, -0.2200928, 0.7840576)",34.77532,4.551219,88.45518,12.98398
13:13:39,"(-0.6442871, -0.1359863, 0.7646484)",40.04972,4.561255,89.45872,10.13129
13:13:40,"(-0.6020508, -0.2705078, 0.7288818)",40.18944,4.551219,88.45518,15.95737
13:13:41,"(-0.7003174, -0.1608887, 0.7924805)",41.46713,4.556237,88.95696,8.650052
13:13:41,"(-0.6123047, -0.2979736, 0.7774658)",37.89366,4.556237,88.95696,17.04896
13:13:42,"(-0.9035645, -0.2242432, 0.6508789)",54.23306,4.556237,88.95696,11.38541
13:13:43,"(-0.7226563, -0.1629639, 0.71521)",45.29672,4.556237,88.95696,10.38638
13:13:44,"(-0.6899414, -0.2067871, 0.7830811)",41.38198,4.556237,88.95696,11.20719
13:13:45,"(-0.6417236, -0.1853027, 0.7751465)",39.62047,4.556237,88.95696,10.383
13:13:46,"(-0.5360107, -0.1983643, 0.7919922)",34.19242,4.551219,88.45518,12.41314
13:13:47,"(-0.5665283, -0.1933594, 0.7989502)",35.3401,4.556237,88.95696,10.88963
13:13:47,"(-0.600708, -0.2092285, 0.7896729)",37.12428,4.556237,88.95696,12.32452
13:13:48,"(-0.6069336, -0.2340088, 0.7781982)",37.95144,4.556237,88.95696,13.33941
13:13:49,"(-0.5975342, -0.1329346, 0.7819824)",36.12326,4.556237,88.95696,7.714442
13:13:50,"(-0.6306152, -0.223999, 0.7700195)",38.59107,4.556237,88.95696,12.80973
13:13:51,"(-0.5305176, -0.0703125, 0.8850098)",30.94051,4.556237,88.95696,6.433661
13:13:52,"(-0.699585, 0.006591797, 0.7537842)",43.47628,4.541183,87.45158,-0.3635853
13:13:53,"(-0.5159912, -0.2877197, 0.9705811)",27.99651,4.556237,88.95696,14.6681
13:13:54,"(-0.4399414, -0.1894531, 0.9202881)",25.55001,4.556237,88.95696,10.52173
13:13:54,"(-0.4859619, -0.2321777, 0.8536377)",29.65215,4.556237,88.95696,13.29882
13:13:55,"(-0.8554688, -0.2888184, 0.6885986)",53.05692,4.556237,88.95696,14.28671
13:13:56,"(-0.5554199, -0.2606201, 0.8327637)",33.70169,4.561255,89.45872,14.65619
13:13:57,"(-0.463623, -0.3118896, 0.8468018)",30.28021,4.556237,88.95696,19.06683
13:13:58,"(-0.494751, -0.2669678, 0.8433838)",30.397,4.556237,88.95696,15.27135
13:13:59,"(-0.4794922, -0.2921143, 0.8259277)",29.96454,4.551219,88.45518,16.88508
13:14:00,"(-0.5155029, -0.2834473, 0.8272705)",31.92856,4.556237,88.95696,16.21403
13:14:00,"(-0.5183105, -0.2885742, 0.8253174)",32.12938,4.556237,88.95696,16.53453
13:14:01,"(-0.5217285, -0.2880859, 0.8164063)",32.58081,4.556237,88.95696,16.55935
13:14:02,"(-0.5015869, -0.2987061, 0.8250732)",31.29668,4.551219,88.45518,16.81772
13:14:03,"(-0.5439453, -0.3189697, 0.8334961)",32.98728,4.556237,88.95696,18.54619
13:14:04,"(-0.4002686, -0.1049805, 0.875)",24.24148,4.556237,88.95696,6.203473
13:14:05,"(-0.6140137, -0.01586914, 0.6451416)",43.58387,4.556237,88.95696,1.020782
13:14:06,"(-0.6179199, -0.09350586, 0.7922363)",37.95313,4.556237,88.95696,5.317004
13:14:07,"(-0.6330566, -0.09985352, 0.7875977)",38.59889,4.556237,88.95696,5.492493
13:14:07,"(-0.6400146, -0.0949707, 0.7836914)",39.23737,4.556237,88.95696,5.362115
13:14:08,"(-0.6270752, -0.08605957, 0.772583)",39.06488,4.556237,88.95696,4.85873
13:14:09,"(-0.6262207, -0.08227539, 0.7749023)",38.94266,4.551219,88.45518,4.720798
13:14:10,"(-0.6164551, -0.1102295, 0.7971191)",37.71671,4.556237,88.95696,6.242738
13:14:11,"(-0.6169434, -0.1315918, 0.7810059)",38.52084,4.556237,88.95696,7.509635
13:14:12,"(-0.6483154, -0.1224365, 0.7741699)",39.94391,4.556237,88.95696,6.913417
13:14:13,"(-0.6572266, -0.05578613, 0.7678223)",40.56226,4.556237,88.95696,3.362788
13:14:13,"(-0.689209, -0.1171875, 0.7446289)",42.78654,4.556237,88.95696,6.588319
13:14:14,"(-0.4239502, -0.02258301, 0.9022217)",25.16863,4.556237,88.95696,2.267198
13:14:15,"(-0.454834, -0.2110596, 0.8977051)",26.79514,4.556237,88.95696,12.29469
13:14:16,"(-0.4077148, -0.2609863, 0.8912354)",24.58275,4.556237,88.95696,17.35258
13:14:17,"(-0.651123, -0.1912842, 1.031738)",35.82052,4.556237,88.95696,9.193862
13:14:18,"(-0.3657227, -0.3743896, 0.8360596)",23.62631,4.561255,89.45872,22.30674
13:14:19,"(-0.6085205, -0.1508789, 0.7963867)",37.09729,4.546201,87.95336,8.638983
13:14:20,"(-0.585083, -0.1745605, 0.8161621)",35.63564,4.566273,89.96055,9.861093
13:14:20,"(-0.6187744, -0.1448975, 0.8270264)",36.80354,4.556237,88.95696,7.985571
13:14:21,"(-0.5061035, -0.1463623, 0.8439941)",30.94913,4.556237,88.95696,8.459362
13:14:22,"(-0.5744629, -0.1536865, 0.8254395)",34.83591,4.556237,88.95696,8.688781
13:14:23,"(-0.5533447, -0.1739502, 0.8272705)",33.95046,4.551219,88.45518,9.979661
13:14:24,"(-0.572876, -0.178833, 0.8261719)",34.73783,4.556237,88.95696,10.08626
13:14:25,"(-0.5716553, -0.1912842, 0.8190918)",34.92775,4.556237,88.95696,10.84455
