Testing SD card write operations: 2022-05-25 20:16:37
2022-05-25 20:16:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a4e90bccc896714497013be00bef7c653ad5893e0295cbb8c0958ec1bd98d2fd', 'rssi': -33, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:16:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a76ce30ef3eef0f2a00ed10ff553a3d7d36713f96ceba5686653f8e85a6925af', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:16:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0721ec72b7cb61b980ff0f7ef28cad16466e258e4b890806fa90fbc844722928', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:16:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4447b793d4b9802aeda8244a4c5f73024c356f0543d153c408aa07b7620d175f', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:16:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4e83cff988c1e501bac922840f44e7614205698fc9ac7ff1cb761691a4bc8190', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:16:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1ccad233d90983be1f0912f08d43c792477c83a48ffd191efa5008d396c6eef8', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:17:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ac10ac55bde19cf7790d035708f8edf4474dd9c3b757be870eb86763e63abbcc', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-25 20:17:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '33a9a7ba08c711d2b19fbd33f3b80e6694d686f00629751dccee17000fe0b158', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -21, 'adv_tx_pwr': 3}
2022-05-25 20:17:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e26227b62089a7754290efe8fb8323672aa9070b51664eceab3784e4cb1fa772', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:17:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'eba0ac84ea8714fe33e8e5a0c85c072435cab1341e60d12630dcfaa0dbf8af85', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f738180d2b30e202c4081dd6cdbc9c7cb32cc84b6a82c2a6362c6ebd8d5c4593', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:04: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': 'b44addbbcb6b915651255fc4f550f3a4de8de48d4e0a3f52d937e9075f27d1b8', 'rssi': -85, 'name': 'Tb32', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6d7b3e2d1fc1cf1b7d0349798642da128efd3ae90dd6e1b0ffb9e73b30ccc4aa', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8accd25524453c4fab221a9e084b026bcb3f1983f4e2c181c84ba342d7160953', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3e65ed5791101f5ef9b315a5bd2280d8b3839a4ae48377ee60caec9a2679cd33', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:17:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1ccad233d90983be1f0912f08d43c792477c83a48ffd191efa5008d396c6eef8', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:17:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6d7b3e2d1fc1cf1b7d0349798642da128efd3ae90dd6e1b0ffb9e73b30ccc4aa', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ac10ac55bde19cf7790d035708f8edf4474dd9c3b757be870eb86763e63abbcc', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-25 20:17:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '33a9a7ba08c711d2b19fbd33f3b80e6694d686f00629751dccee17000fe0b158', 'rssi': -72, 'name': 'Tb30', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0721ec72b7cb61b980ff0f7ef28cad16466e258e4b890806fa90fbc844722928', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:17:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '62798f95472b30ca518573b54bc62528bd8d7968d79605e893e12313f2894916', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:17:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'da53ff1ca0e639e60f4908afef343ef6e78940311a1a1a53f056a4ffe681b520', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-25 20:17:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3e65ed5791101f5ef9b315a5bd2280d8b3839a4ae48377ee60caec9a2679cd33', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:17:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '93ed2b118904c9d86097a31a293734ab9db41a7116f335ae79fad81d89e33039', 'rssi': -83, 'name': 'Tb31', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '0685206d45aa0e42ccef93bd7a97513d3cef89f7344423ab41534ce939ed28c5', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:17:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042db85e86ce1b4a32fdd765a9592fce78d70a88fdc8b9eb16d70c7fd58d3d47', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-05-25 20:17:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '064692f0afe2b006c7a33c9bef0128e7243ad8d082ca96d1ed64cf0416878cc3', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
