Testing SD card write operations: 2022-07-06 11:47:15
2022-07-06 11:47:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '468a802ed992a6aa3db57fb65e17d33592c86d488bfe8300667f8a81a7037840', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:47:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3e286f9ef4e60e0003835e89239589cc05b5b222f1fd22949d39d5d6e6f5fe45', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 11:47:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '7a323013b50abadf44fe12a3259d40102809a52e08146c59f66e46c661c71feb', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e146a4f898e7cab25f99bc9e45719d3e2eaba7682aa9e874ff60f9f07c161097', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:47:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bc457301324814245bef39117f7e43ce06bc515718d1e338b1d5702525c9b20', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:47:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a0f90369d46fe18a46f733574acc25190b7bb773ca5c96c3bd953145c24f1325', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 11:47:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a0f90369d46fe18a46f733574acc25190b7bb773ca5c96c3bd953145c24f1325', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 11:47:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a3f732c86feda01880c8aa83c4ce5c6b26ec3d296615356bba0ecc268b841f48', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:47:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bc457301324814245bef39117f7e43ce06bc515718d1e338b1d5702525c9b20', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '468a802ed992a6aa3db57fb65e17d33592c86d488bfe8300667f8a81a7037840', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:47:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
