Testing SD card write operations: 2022-07-06 11:47:15
2022-07-06 12:01:49: {'ssid':'Yolande', 'bssid':b'\x06\xd6\xaaO\xc1\xe7', 'sec':3, 'channel':6, 'rssi':-92}
2022-07-06 12:01:51: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-06 12:01:51: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-81}
2022-07-06 12:01:51: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-06 12:01:51: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-91}
2022-07-06 12:01:52: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:01:54: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-06 12:01:54: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-73}
2022-07-06 12:01:54: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-84}
2022-07-06 12:01:56: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:01:58: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:01:58: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-81}
2022-07-06 12:01:58: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-88}
2022-07-06 12:02:00: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:02:00: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-70}
2022-07-06 12:02:00: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-81}
2022-07-06 12:02:02: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:02:04: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-06 12:02:04: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-83}
2022-07-06 12:02:06: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-06 12:02:08: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:02:08: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-80}
2022-07-06 12:02:09: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:02:09: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-80}
2022-07-06 12:02:09: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-85}
2022-07-06 12:02:11: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:02:11: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-79}
2022-07-06 12:02:11: {'ssid':'Yolande', 'bssid':b'\x06\xd6\xaaO\xc1\xe7', 'sec':3, 'channel':6, 'rssi':-85}
2022-07-06 12:02:13: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-06 12:02:13: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-84}
2022-07-06 12:02:15: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:02:15: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-84}
2022-07-06 12:02:17: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-06 12:02:17: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-76}
2022-07-06 12:02:17: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-83}
2022-07-06 12:02:19: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:02:19: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-81}
2022-07-06 12:02:19: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-06 12:02:19: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-86}
2022-07-06 12:02:21: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-83}
2022-07-06 12:02:23: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:02:23: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-73}
2022-07-06 12:02:24: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:02:24: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-80}
2022-07-06 12:02:24: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-06 12:02:24: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-88}
2022-07-06 12:02:26: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:02:26: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-06 12:02:26: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-80}
2022-07-06 12:02:28: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-06 12:02:28: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-80}
2022-07-06 12:02:28: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-85}
2022-07-06 12:02:30: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-06 12:02:30: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-06 12:02:30: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-06 12:02:30: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-84}
2022-07-06 12:02:32: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-81}
2022-07-06 12:02:34: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-06 12:02:36: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-06 12:02:38: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-20}
2022-07-06 12:02:38: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-75}
2022-07-06 12:02:38: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-79}
2022-07-06 12:02:38: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-80}
2022-07-06 12:02:40: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:02:41: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:02:41: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-79}
2022-07-06 12:02:43: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-74}
2022-07-06 12:02:43: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-06 12:02:45: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:02:45: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-80}
2022-07-06 12:02:45: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-06 12:02:45: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-86}
2022-07-06 12:02:47: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-06 12:02:49: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:02:49: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-81}
2022-07-06 12:02:51: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:02:53: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:02:53: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-06 12:02:54: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-82}
2022-07-06 12:02:58: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:03:00: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-22}
2022-07-06 12:03:00: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-75}
2022-07-06 12:03:02: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:03:02: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-79}
2022-07-06 12:03:04: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-21}
2022-07-06 12:03:06: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-21}
2022-07-06 12:03:06: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-83}
2022-07-06 12:03:08: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:03:08: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-79}
2022-07-06 12:03:09: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:03:09: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-78}
2022-07-06 12:03:11: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:03:13: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:03:13: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-74}
2022-07-06 12:03:17: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:03:17: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-75}
2022-07-06 12:03:19: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:03:19: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-77}
2022-07-06 12:03:19: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-84}
2022-07-06 12:03:21: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:03:21: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-77}
2022-07-06 12:03:21: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-77}
2022-07-06 12:03:21: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-78}
2022-07-06 12:03:22: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:03:22: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-74}
2022-07-06 12:03:22: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-78}
2022-07-06 12:03:22: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-87}
2022-07-06 12:03:24: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-70}
2022-07-06 12:03:26: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:03:26: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-74}
2022-07-06 12:03:28: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-20}
2022-07-06 12:03:28: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-77}
2022-07-06 12:03:30: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-21}
2022-07-06 12:03:32: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-79}
2022-07-06 12:03:34: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-26}
2022-07-06 12:03:34: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-78}
2022-07-06 12:03:34: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-78}
2022-07-06 12:03:36: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:03:36: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-78}
2022-07-06 12:03:37: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:03:37: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-06 12:03:39: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:03:41: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:03:41: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-06 12:03:41: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-83}
2022-07-06 12:03:43: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:03:43: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-82}
2022-07-06 12:03:45: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:03:47: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:03:47: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-71}
2022-07-06 12:03:47: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-84}
2022-07-06 12:03:49: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:03:49: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-77}
2022-07-06 12:03:51: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:03:51: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-78}
2022-07-06 12:03:51: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-80}
2022-07-06 12:03:58: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:03:58: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-76}
2022-07-06 12:04:00: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-06 12:04:02: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:04:02: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-78}
2022-07-06 12:04:03: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-77}
2022-07-06 12:04:03: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-79}
2022-07-06 12:04:05: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-20}
2022-07-06 12:04:07: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:04:07: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-79}
2022-07-06 12:04:07: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-06 12:04:09: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:04:09: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-77}
2022-07-06 12:04:09: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-06 12:04:11: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-20}
2022-07-06 12:04:11: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-84}
2022-07-06 12:04:15: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-88}
2022-07-06 12:04:17: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-21}
2022-07-06 12:04:17: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-81}
2022-07-06 12:04:18: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:04:18: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-80}
2022-07-06 12:04:20: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:04:20: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-79}
2022-07-06 12:04:20: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-82}
2022-07-06 12:04:20: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-85}
2022-07-06 12:04:22: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:04:22: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-74}
2022-07-06 12:04:22: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-75}
2022-07-06 12:04:22: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-81}
2022-07-06 12:04:24: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:04:24: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-77}
2022-07-06 12:04:24: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-84}
2022-07-06 12:04:26: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:04:26: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-78}
2022-07-06 12:04:30: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-06 12:04:32: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-81}
2022-07-06 12:04:32: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-90}
2022-07-06 12:04:33: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-06 12:04:33: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-79}
2022-07-06 12:04:33: {'ssid':'AndroidAP', 'bssid':b'\x02\x0bv$0\xcc', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-06 12:04:33: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-83}
2022-07-06 12:04:33: {'ssid':'Yolande', 'bssid':b'\x06\xd6\xaaO\xc1\xe7', 'sec':3, 'channel':6, 'rssi':-88}
