Testing SD card write operations 120: 1970-01-01 02:00:03
2023-01-27 10:45:51: {'ssid':'C70', 'bssid':'d1bedcf606755d026de1e2add13317b1a141fa83b55759c9d7c9270adb433afa', 'sec':3, 'channel':6, 'rssi':-52}
2023-01-27 10:45:51: {'ssid':'C71', 'bssid':'a0616e72338bd54d1e1421f83071df705e8bd13877d2f46341d0b4f9942f75eb', 'sec':0, 'channel':1, 'rssi':-79}
2023-01-27 10:45:51: {'ssid':'C71', 'bssid':'9c4e2be0749a8692845d3cdf3a6eb087afb80ef2506a7f4bbe5dd0beb6f02cd7', 'sec':0, 'channel':11, 'rssi':-79}
2023-01-27 10:45:51: {'ssid':'C72', 'bssid':'3908188b666f3c5452e30d4f5481935577e8c01f0fea4d601231ccebff31b3fc', 'sec':5, 'channel':11, 'rssi':-80}
2023-01-27 10:45:51: {'ssid':'C72', 'bssid':'cb2b939ff1ec1e52bcf5665849e8ed86d71f9b62ee249fd9e0bc2c5e6a1a0050', 'sec':5, 'channel':1, 'rssi':-81}
2023-01-27 10:45:55: {'ssid':'C70', 'bssid':'d1bedcf606755d026de1e2add13317b1a141fa83b55759c9d7c9270adb433afa', 'sec':3, 'channel':6, 'rssi':-56}
2023-01-27 10:45:55: {'ssid':'C71', 'bssid':'9c4e2be0749a8692845d3cdf3a6eb087afb80ef2506a7f4bbe5dd0beb6f02cd7', 'sec':0, 'channel':11, 'rssi':-78}
2023-01-27 10:45:55: {'ssid':'C72', 'bssid':'3908188b666f3c5452e30d4f5481935577e8c01f0fea4d601231ccebff31b3fc', 'sec':5, 'channel':11, 'rssi':-79}
2023-01-27 10:45:59: {'ssid':'C70', 'bssid':'d1bedcf606755d026de1e2add13317b1a141fa83b55759c9d7c9270adb433afa', 'sec':3, 'channel':6, 'rssi':-54}
2023-01-27 10:45:59: {'ssid':'C72', 'bssid':'cb2b939ff1ec1e52bcf5665849e8ed86d71f9b62ee249fd9e0bc2c5e6a1a0050', 'sec':5, 'channel':1, 'rssi':-79}
2023-01-27 10:45:59: {'ssid':'C71', 'bssid':'a0616e72338bd54d1e1421f83071df705e8bd13877d2f46341d0b4f9942f75eb', 'sec':0, 'channel':1, 'rssi':-80}
2023-01-27 10:45:59: {'ssid':'C71', 'bssid':'9c4e2be0749a8692845d3cdf3a6eb087afb80ef2506a7f4bbe5dd0beb6f02cd7', 'sec':0, 'channel':11, 'rssi':-82}
2023-01-27 10:45:59: {'ssid':'C72', 'bssid':'3908188b666f3c5452e30d4f5481935577e8c01f0fea4d601231ccebff31b3fc', 'sec':5, 'channel':11, 'rssi':-84}
