Testing SD card write operations: 2022-09-18 10:38:24
2022-09-18 10:38:35: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-62}
2022-09-18 10:38:35: {'ssid':'H101', 'bssid':'ea39d1ec150e74056a35ea6ce43ab798472bf90b99676ee63d9204c4', 'sec':3, 'channel':1, 'rssi':-66}
2022-09-18 10:38:35: {'ssid':'H1012', 'bssid':'331d292a30bf836f17473c08d4c58a631a90832c6a69d2890a2003e5', 'sec':5, 'channel':11, 'rssi':-90}
2022-09-18 10:38:35: {'ssid':'H1013', 'bssid':'06867981fe95454cfc1a1c4eb33cba56958c91f0b4025dc94c6fb07d', 'sec':3, 'channel':1, 'rssi':-91}
2022-09-18 10:38:35: {'ssid':'H109', 'bssid':'45a9863b4bc0fb9e10f6192a82eb9428443d5c6849aadcc4626c83d1', 'sec':3, 'channel':11, 'rssi':-94}
2022-09-18 10:38:37: {'ssid':'H100', 'bssid':'1679182de008f9c0a7b53063c099123404e18d8ded335b406f90dbfc', 'sec':3, 'channel':6, 'rssi':-50}
2022-09-18 10:38:37: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-61}
2022-09-18 10:38:37: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-61}
2022-09-18 10:38:39: {'ssid':'H100', 'bssid':'1679182de008f9c0a7b53063c099123404e18d8ded335b406f90dbfc', 'sec':3, 'channel':6, 'rssi':-53}
2022-09-18 10:38:39: {'ssid':'H101', 'bssid':'ea39d1ec150e74056a35ea6ce43ab798472bf90b99676ee63d9204c4', 'sec':3, 'channel':1, 'rssi':-67}
2022-09-18 10:38:39: {'ssid':'H105', 'bssid':'8a8646f4d56d1bd6e7cdb5110efbb6da3d2110f6d10b700d6ca0f56d', 'sec':5, 'channel':6, 'rssi':-85}
2022-09-18 10:38:39: {'ssid':'H106', 'bssid':'0b81e3f3c40914f129acadf097cf76b41a4d8baf021fd0ee60f3324a', 'sec':4, 'channel':6, 'rssi':-86}
2022-09-18 10:38:39: {'ssid':'H107', 'bssid':'8d16bcbf2c87af8c33abdb730975b41aa646450dfb5163768c0f4e1b', 'sec':0, 'channel':6, 'rssi':-86}
2022-09-18 10:38:41: {'ssid':'H100', 'bssid':'1679182de008f9c0a7b53063c099123404e18d8ded335b406f90dbfc', 'sec':3, 'channel':6, 'rssi':-53}
2022-09-18 10:38:41: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-60}
2022-09-18 10:38:41: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-62}
2022-09-18 10:38:41: {'ssid':'H101', 'bssid':'ea39d1ec150e74056a35ea6ce43ab798472bf90b99676ee63d9204c4', 'sec':3, 'channel':1, 'rssi':-66}
2022-09-18 10:38:41: {'ssid':'H106', 'bssid':'0b81e3f3c40914f129acadf097cf76b41a4d8baf021fd0ee60f3324a', 'sec':4, 'channel':6, 'rssi':-85}
2022-09-18 10:38:41: {'ssid':'H107', 'bssid':'8d16bcbf2c87af8c33abdb730975b41aa646450dfb5163768c0f4e1b', 'sec':0, 'channel':6, 'rssi':-85}
2022-09-18 10:38:41: {'ssid':'H105', 'bssid':'8a8646f4d56d1bd6e7cdb5110efbb6da3d2110f6d10b700d6ca0f56d', 'sec':5, 'channel':6, 'rssi':-86}
2022-09-18 10:38:43: {'ssid':'H100', 'bssid':'1679182de008f9c0a7b53063c099123404e18d8ded335b406f90dbfc', 'sec':3, 'channel':6, 'rssi':-50}
2022-09-18 10:38:43: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-60}
2022-09-18 10:38:43: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-61}
2022-09-18 10:38:43: {'ssid':'H101', 'bssid':'ea39d1ec150e74056a35ea6ce43ab798472bf90b99676ee63d9204c4', 'sec':3, 'channel':1, 'rssi':-65}
2022-09-18 10:38:43: {'ssid':'H105', 'bssid':'8a8646f4d56d1bd6e7cdb5110efbb6da3d2110f6d10b700d6ca0f56d', 'sec':5, 'channel':6, 'rssi':-85}
2022-09-18 10:38:43: {'ssid':'H106', 'bssid':'0b81e3f3c40914f129acadf097cf76b41a4d8baf021fd0ee60f3324a', 'sec':4, 'channel':6, 'rssi':-85}
2022-09-18 10:38:43: {'ssid':'H107', 'bssid':'8d16bcbf2c87af8c33abdb730975b41aa646450dfb5163768c0f4e1b', 'sec':0, 'channel':6, 'rssi':-85}
2022-09-18 10:38:43: {'ssid':'H109', 'bssid':'45a9863b4bc0fb9e10f6192a82eb9428443d5c6849aadcc4626c83d1', 'sec':3, 'channel':11, 'rssi':-97}
2022-09-18 10:38:45: {'ssid':'H100', 'bssid':'1679182de008f9c0a7b53063c099123404e18d8ded335b406f90dbfc', 'sec':3, 'channel':6, 'rssi':-51}
2022-09-18 10:38:45: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-61}
2022-09-18 10:38:45: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-62}
2022-09-18 10:38:47: {'ssid':'H100', 'bssid':'1679182de008f9c0a7b53063c099123404e18d8ded335b406f90dbfc', 'sec':3, 'channel':6, 'rssi':-50}
2022-09-18 10:38:47: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-62}
2022-09-18 10:38:47: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-62}
2022-09-18 10:38:47: {'ssid':'H101', 'bssid':'ea39d1ec150e74056a35ea6ce43ab798472bf90b99676ee63d9204c4', 'sec':3, 'channel':1, 'rssi':-65}
2022-09-18 10:38:47: {'ssid':'H104', 'bssid':'7bb307262a6c05a96a5207464666c52df771293d443800459b0266bf', 'sec':3, 'channel':11, 'rssi':-84}
2022-09-18 10:38:47: {'ssid':'H109', 'bssid':'45a9863b4bc0fb9e10f6192a82eb9428443d5c6849aadcc4626c83d1', 'sec':3, 'channel':11, 'rssi':-94}
2022-09-18 10:38:49: {'ssid':'H100', 'bssid':'1679182de008f9c0a7b53063c099123404e18d8ded335b406f90dbfc', 'sec':3, 'channel':6, 'rssi':-51}
2022-09-18 10:38:49: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-60}
2022-09-18 10:38:49: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-62}
2022-09-18 10:38:49: {'ssid':'H101', 'bssid':'ea39d1ec150e74056a35ea6ce43ab798472bf90b99676ee63d9204c4', 'sec':3, 'channel':1, 'rssi':-66}
2022-09-18 10:38:49: {'ssid':'H107', 'bssid':'8d16bcbf2c87af8c33abdb730975b41aa646450dfb5163768c0f4e1b', 'sec':0, 'channel':6, 'rssi':-85}
2022-09-18 10:38:49: {'ssid':'H105', 'bssid':'8a8646f4d56d1bd6e7cdb5110efbb6da3d2110f6d10b700d6ca0f56d', 'sec':5, 'channel':6, 'rssi':-86}
2022-09-18 10:38:49: {'ssid':'H106', 'bssid':'0b81e3f3c40914f129acadf097cf76b41a4d8baf021fd0ee60f3324a', 'sec':4, 'channel':6, 'rssi':-86}
2022-09-18 10:38:51: {'ssid':'H100', 'bssid':'1679182de008f9c0a7b53063c099123404e18d8ded335b406f90dbfc', 'sec':3, 'channel':6, 'rssi':-50}
2022-09-18 10:38:51: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-63}
2022-09-18 10:38:51: {'ssid':'H1012', 'bssid':'331d292a30bf836f17473c08d4c58a631a90832c6a69d2890a2003e5', 'sec':5, 'channel':11, 'rssi':-91}
2022-09-18 10:38:52: {'ssid':'H100', 'bssid':'1679182de008f9c0a7b53063c099123404e18d8ded335b406f90dbfc', 'sec':3, 'channel':6, 'rssi':-51}
2022-09-18 10:38:52: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-60}
2022-09-18 10:38:52: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-60}
2022-09-18 10:38:52: {'ssid':'H101', 'bssid':'ea39d1ec150e74056a35ea6ce43ab798472bf90b99676ee63d9204c4', 'sec':3, 'channel':1, 'rssi':-67}
2022-09-18 10:38:52: {'ssid':'H105', 'bssid':'8a8646f4d56d1bd6e7cdb5110efbb6da3d2110f6d10b700d6ca0f56d', 'sec':5, 'channel':6, 'rssi':-85}
2022-09-18 10:38:52: {'ssid':'H106', 'bssid':'0b81e3f3c40914f129acadf097cf76b41a4d8baf021fd0ee60f3324a', 'sec':4, 'channel':6, 'rssi':-86}
2022-09-18 10:38:52: {'ssid':'H107', 'bssid':'8d16bcbf2c87af8c33abdb730975b41aa646450dfb5163768c0f4e1b', 'sec':0, 'channel':6, 'rssi':-86}
2022-09-18 10:38:52: {'ssid':'H1013', 'bssid':'06867981fe95454cfc1a1c4eb33cba56958c91f0b4025dc94c6fb07d', 'sec':3, 'channel':1, 'rssi':-91}
2022-09-18 10:38:52: {'ssid':'H1011', 'bssid':'1c9f7fa37d1533a0e732264d04e6fcf7630a1e9ffc377e6f3f259e8f', 'sec':4, 'channel':11, 'rssi':-91}
2022-09-18 10:38:52: {'ssid':'H1010', 'bssid':'17d0d7cb57531ec7115c5d0e208d230dd8f1c9708dc872c9623c9428', 'sec':3, 'channel':6, 'rssi':-92}
2022-09-18 10:38:52: {'ssid':'H1014', 'bssid':'a5f2e49bc46e6b0def61a7352e5c3555ca9620db534654095fcdbc64', 'sec':3, 'channel':11, 'rssi':-93}
2022-09-18 10:38:55: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-59}
2022-09-18 10:38:55: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-61}
2022-09-18 10:38:55: {'ssid':'H101', 'bssid':'ea39d1ec150e74056a35ea6ce43ab798472bf90b99676ee63d9204c4', 'sec':3, 'channel':1, 'rssi':-65}
2022-09-18 10:38:55: {'ssid':'H1010', 'bssid':'17d0d7cb57531ec7115c5d0e208d230dd8f1c9708dc872c9623c9428', 'sec':3, 'channel':6, 'rssi':-90}
2022-09-18 10:38:55: {'ssid':'H1011', 'bssid':'1c9f7fa37d1533a0e732264d04e6fcf7630a1e9ffc377e6f3f259e8f', 'sec':4, 'channel':11, 'rssi':-90}
2022-09-18 10:38:55: {'ssid':'H1014', 'bssid':'a5f2e49bc46e6b0def61a7352e5c3555ca9620db534654095fcdbc64', 'sec':3, 'channel':11, 'rssi':-97}
2022-09-18 10:38:57: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-61}
2022-09-18 10:38:57: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-61}
2022-09-18 10:38:57: {'ssid':'H101', 'bssid':'ea39d1ec150e74056a35ea6ce43ab798472bf90b99676ee63d9204c4', 'sec':3, 'channel':1, 'rssi':-66}
2022-09-18 10:38:57: {'ssid':'H104', 'bssid':'7bb307262a6c05a96a5207464666c52df771293d443800459b0266bf', 'sec':3, 'channel':11, 'rssi':-85}
2022-09-18 10:38:57: {'ssid':'H109', 'bssid':'45a9863b4bc0fb9e10f6192a82eb9428443d5c6849aadcc4626c83d1', 'sec':3, 'channel':11, 'rssi':-94}
2022-09-18 10:38:57: {'ssid':'H1014', 'bssid':'a5f2e49bc46e6b0def61a7352e5c3555ca9620db534654095fcdbc64', 'sec':3, 'channel':11, 'rssi':-96}
2022-09-18 10:38:59: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-61}
2022-09-18 10:38:59: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-63}
2022-09-18 10:38:59: {'ssid':'H101', 'bssid':'ea39d1ec150e74056a35ea6ce43ab798472bf90b99676ee63d9204c4', 'sec':3, 'channel':1, 'rssi':-68}
2022-09-18 10:38:59: {'ssid':'H106', 'bssid':'0b81e3f3c40914f129acadf097cf76b41a4d8baf021fd0ee60f3324a', 'sec':4, 'channel':6, 'rssi':-85}
2022-09-18 10:38:59: {'ssid':'H107', 'bssid':'8d16bcbf2c87af8c33abdb730975b41aa646450dfb5163768c0f4e1b', 'sec':0, 'channel':6, 'rssi':-87}
2022-09-18 10:38:59: {'ssid':'H1014', 'bssid':'a5f2e49bc46e6b0def61a7352e5c3555ca9620db534654095fcdbc64', 'sec':3, 'channel':11, 'rssi':-94}
2022-09-18 10:39:00: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-60}
2022-09-18 10:39:00: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-61}
2022-09-18 10:39:00: {'ssid':'H101', 'bssid':'ea39d1ec150e74056a35ea6ce43ab798472bf90b99676ee63d9204c4', 'sec':3, 'channel':1, 'rssi':-66}
2022-09-18 10:39:02: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-60}
2022-09-18 10:39:02: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-60}
2022-09-18 10:39:02: {'ssid':'H101', 'bssid':'ea39d1ec150e74056a35ea6ce43ab798472bf90b99676ee63d9204c4', 'sec':3, 'channel':1, 'rssi':-65}
2022-09-18 10:39:02: {'ssid':'H105', 'bssid':'8a8646f4d56d1bd6e7cdb5110efbb6da3d2110f6d10b700d6ca0f56d', 'sec':5, 'channel':6, 'rssi':-85}
2022-09-18 10:39:02: {'ssid':'H106', 'bssid':'0b81e3f3c40914f129acadf097cf76b41a4d8baf021fd0ee60f3324a', 'sec':4, 'channel':6, 'rssi':-85}
2022-09-18 10:39:02: {'ssid':'H107', 'bssid':'8d16bcbf2c87af8c33abdb730975b41aa646450dfb5163768c0f4e1b', 'sec':0, 'channel':6, 'rssi':-86}
2022-09-18 10:39:04: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-59}
2022-09-18 10:39:04: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-60}
2022-09-18 10:39:04: {'ssid':'H101', 'bssid':'ea39d1ec150e74056a35ea6ce43ab798472bf90b99676ee63d9204c4', 'sec':3, 'channel':1, 'rssi':-66}
2022-09-18 10:39:06: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-60}
2022-09-18 10:39:06: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-61}
2022-09-18 10:39:06: {'ssid':'H101', 'bssid':'ea39d1ec150e74056a35ea6ce43ab798472bf90b99676ee63d9204c4', 'sec':3, 'channel':1, 'rssi':-67}
2022-09-18 10:39:08: {'ssid':'H102', 'bssid':'5aeb1c8860e79c2d3fea078336b434d1ef67228beeeab318841175aa', 'sec':3, 'channel':1, 'rssi':-60}
2022-09-18 10:39:08: {'ssid':'H102_wifi_invite', 'bssid':'e2692e53965df31ce662304d911a5eac344e72def5bd1683f3b97096', 'sec':3, 'channel':1, 'rssi':-61}
2022-09-18 10:39:08: {'ssid':'H101', 'bssid':'ea39d1ec150e74056a35ea6ce43ab798472bf90b99676ee63d9204c4', 'sec':3, 'channel':1, 'rssi':-66}
2022-09-18 10:39:08: {'ssid':'H105', 'bssid':'8a8646f4d56d1bd6e7cdb5110efbb6da3d2110f6d10b700d6ca0f56d', 'sec':5, 'channel':6, 'rssi':-86}
2022-09-18 10:39:08: {'ssid':'H106', 'bssid':'0b81e3f3c40914f129acadf097cf76b41a4d8baf021fd0ee60f3324a', 'sec':4, 'channel':6, 'rssi':-86}
2022-09-18 10:39:08: {'ssid':'H107', 'bssid':'8d16bcbf2c87af8c33abdb730975b41aa646450dfb5163768c0f4e1b', 'sec':0, 'channel':6, 'rssi':-87}
