Testing SD card write operations: 2022-09-18 10:38:30
2022-09-18 10:38:56: {'Acceleration': '(-0.2313232, -0.2180176, 0.9707031)', 'Roll': '13.40386', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.65152'}
2022-09-18 10:38:57: {'Acceleration': '(-0.2336426, -0.2166748, 0.9698486)', 'Roll': '13.54482', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '12.50308'}
2022-09-18 10:38:58: {'Acceleration': '(-0.2331543, -0.2199707, 0.9716797)', 'Roll': '13.4767', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.46264'}
2022-09-18 10:38:59: {'Acceleration': '(-0.2330322, -0.2186279, 0.9664307)', 'Roll': '13.55676', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.57187'}
2022-09-18 10:39:00: {'Acceleration': '(-0.2303467, -0.2196045, 0.9699707)', 'Roll': '13.35902', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.61599'}
2022-09-18 10:39:01: {'Acceleration': '(-0.2310791, -0.2188721, 0.9692383)', 'Roll': '13.40973', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.62939'}
2022-09-18 10:39:01: {'Acceleration': '(-0.2331543, -0.2196045, 0.9692383)', 'Roll': '13.52575', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '12.43906'}
2022-09-18 10:39:02: {'Acceleration': '(-0.2320557, -0.2199707, 0.9699707)', 'Roll': '13.45455', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.43784'}
2022-09-18 10:39:03: {'Acceleration': '(-0.2322998, -0.2188721, 0.9689941)', 'Roll': '13.48126', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.59056'}
2022-09-18 10:39:04: {'Acceleration': '(-0.2312012, -0.2198486, 0.9698486)', 'Roll': '13.40842', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.43499'}
2022-09-18 10:39:05: {'Acceleration': '(-0.2330322, -0.2186279, 0.963501)', 'Roll': '13.59645', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.43752'}
2022-09-18 10:39:06: {'Acceleration': '(-0.2327881, -0.2199707, 0.9733887)', 'Roll': '13.4498', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.39576'}
2022-09-18 10:39:06: {'Acceleration': '(-0.2354736, -0.2199707, 0.9683838)', 'Roll': '13.66688', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.4468'}
2022-09-18 10:39:07: {'Acceleration': '(-0.2337646, -0.2199707, 0.9710693)', 'Roll': '13.53523', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.42014'}
2022-09-18 10:39:08: {'Acceleration': '(-0.232666, -0.2182617, 0.9697266)', 'Roll': '13.49191', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '12.34532'}
2022-09-18 10:39:09: {'Acceleration': '(-0.2329102, -0.2199707, 0.9665527)', 'Roll': '13.54827', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.4757'}
2022-09-18 10:39:10: {'Acceleration': '(-0.2342529, -0.2176514, 0.9676514)', 'Roll': '13.60858', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.33158'}
2022-09-18 10:39:11: {'Acceleration': '(-0.2315674, -0.2197266, 0.9672852)', 'Roll': '13.46319', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.45745'}
2022-09-18 10:39:12: {'Acceleration': '(-0.2341309, -0.2186279, 0.9659424)', 'Roll': '13.62492', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.40561'}
2022-09-18 10:39:12: {'Acceleration': '(-0.2333984, -0.2196045, 0.96521)', 'Roll': '13.59381', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '12.47005'}
2022-09-18 10:39:13: {'Acceleration': '(-0.2327881, -0.2207031, 0.9682617)', 'Roll': '13.5184', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.49605'}
