Testing SD card write operations: 2022-06-30 13:58:22
2022-06-30 13:58:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'bc071a76ec1d5d95e7d2a3771640ea00b30e3e81875d42c2bc5a0827add328d7', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5c51bb9c82f8d0f3eae7ac597540b4a1089b0840e5611050888a2989f05e30ca', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cf32983563a36115ed3bb94eacd3e078fb293d0975ba085a21ab8b0a7d45e4c8', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:58:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '42cb3881db589fc5096442f8340611260c8628fc23ee0a979872dacbb106d723', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:58:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cf32983563a36115ed3bb94eacd3e078fb293d0975ba085a21ab8b0a7d45e4c8', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:58:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f5acea529e0136177e21278af91a8a36d2ceb72a46c28eff39c6314d8bae0ef', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:58:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2a2e1c51a9cfe236c2ab980d970d96d1216202d1c39e40679906a383c0e92576', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-06-30 13:58:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2a2e1c51a9cfe236c2ab980d970d96d1216202d1c39e40679906a383c0e92576', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-06-30 13:58:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '42cb3881db589fc5096442f8340611260c8628fc23ee0a979872dacbb106d723', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
