Testing SD card write operations: 2022-07-01 13:12:00
2022-07-01 13:12:27: {'Acceleration': '(-0.5598145, -0.182373, 0.8249512)', 'Roll': '33.96887', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '10.51229'}
2022-07-01 13:12:28: {'Acceleration': '(-0.5395508, -0.1787109, 0.8303223)', 'Roll': '33.30143', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.46155'}
2022-07-01 13:12:28: {'Acceleration': '(-0.5533447, -0.1845703, 0.8361816)', 'Roll': '33.48923', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.1427'}
2022-07-01 13:12:29: {'Acceleration': '(-0.5323486, -0.1794434, 0.8359375)', 'Roll': '32.49014', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.28832'}
2022-07-01 13:12:30: {'Acceleration': '(-0.6203613, -0.2557373, 0.7884521)', 'Roll': '38.19599', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '14.2617'}
2022-07-01 13:12:31: {'Acceleration': '(-0.5820313, -0.2059326, 0.8103027)', 'Roll': '36.00163', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '11.2521'}
2022-07-01 13:12:32: {'Acceleration': '(-0.5961914, -0.1806641, 0.7980957)', 'Roll': '36.76037', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '10.27912'}
2022-07-01 13:12:33: {'Acceleration': '(-0.5891113, -0.1796875, 0.8070068)', 'Roll': '36.12927', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.19506'}
2022-07-01 13:12:34: {'Acceleration': '(-0.5820313, -0.1796875, 0.8098145)', 'Roll': '35.70562', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.30277'}
2022-07-01 13:12:35: {'Acceleration': '(-0.5618896, -0.1702881, 0.8193359)', 'Roll': '34.44181', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.726163'}
2022-07-01 13:12:35: {'Acceleration': '(-0.5767822, -0.1706543, 0.8173828)', 'Roll': '35.20852', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.680715'}
2022-07-01 13:12:36: {'Acceleration': '(-0.5751953, -0.1760254, 0.8197021)', 'Roll': '35.05782', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.991243'}
2022-07-01 13:12:37: {'Acceleration': '(-0.5684814, -0.1756592, 0.8133545)', 'Roll': '34.90478', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '10.12592'}
2022-07-01 13:12:38: {'Acceleration': '(-0.583374, -0.1671143, 0.8132324)', 'Roll': '35.65385', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '9.479493'}
2022-07-01 13:12:39: {'Acceleration': '(-0.5802002, -0.1625977, 0.8198242)', 'Roll': '35.52221', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.213375'}
2022-07-01 13:12:40: {'Acceleration': '(-0.5821533, -0.1699219, 0.8149414)', 'Roll': '35.29669', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.683775'}
2022-07-01 13:12:41: {'Acceleration': '(-0.5795898, -0.1678467, 0.829834)', 'Roll': '34.92068', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.463671'}
2022-07-01 13:12:41: {'Acceleration': '(-0.5925293, -0.1669922, 0.8076172)', 'Roll': '36.2666', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.42235'}
2022-07-01 13:12:42: {'Acceleration': '(-0.5775146, -0.1690674, 0.8217773)', 'Roll': '35.34052', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '9.639268'}
2022-07-01 13:12:43: {'Acceleration': '(-0.5821533, -0.1700439, 0.8190918)', 'Roll': '35.55544', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.370182'}
2022-07-01 13:12:44: {'Acceleration': '(-0.5792236, -0.163208, 0.8179932)', 'Roll': '35.20055', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.529416'}
2022-07-01 13:12:45: {'Acceleration': '(-0.5825195, -0.1694336, 0.817627)', 'Roll': '35.51254', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.637417'}
