Testing SD card: 2022-07-01 13:12:00
2022-07-01 13:12:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '888be720680c571720fd26575f2e2e021ee8dc35aad8f7a195214ae06b029383', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '888be720680c571720fd26575f2e2e021ee8dc35aad8f7a195214ae06b029383', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '888be720680c571720fd26575f2e2e021ee8dc35aad8f7a195214ae06b029383', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '888be720680c571720fd26575f2e2e021ee8dc35aad8f7a195214ae06b029383', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:26: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:27: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:27: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:28: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:29: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:30: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:31: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:31: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:32: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:33: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:34: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:35: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:35: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '888be720680c571720fd26575f2e2e021ee8dc35aad8f7a195214ae06b029383', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:39: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:43: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:48: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecb3fbee006e4dfbfad5d92e2b45f05a6a1f98b5702327407d5cab1685840d80', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:12:50: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:12:51: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '41b294a4a0d7a6c2f857fa9d3c4719fac8baac7d789ce5ca1293d9ab148b1d8a', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
