Testing SD card write operations: 2022-07-01 13:42:00
2022-07-01 13:42:26: {'Acceleration': '(-0.3790283, 0.07226563, 0.9398193)', 'Roll': '22.06652', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-4.30242'}
2022-07-01 13:42:27: {'Acceleration': '(-0.3880615, 0.07800293, 0.9353027)', 'Roll': '22.15723', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-4.536098'}
2022-07-01 13:42:28: {'Acceleration': '(-0.3702393, 0.06982422, 0.9456787)', 'Roll': '21.38066', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-3.933103'}
2022-07-01 13:42:29: {'Acceleration': '(-0.362793, 0.06970215, 0.9494629)', 'Roll': '20.91202', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-3.556941'}
2022-07-01 13:42:30: {'Acceleration': '(-0.3536377, 0.09533691, 0.9274902)', 'Roll': '20.87107', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-5.486177'}
2022-07-01 13:42:30: {'Acceleration': '(-0.3687744, 0.0715332, 0.9255371)', 'Roll': '21.75051', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-4.408725'}
2022-07-01 13:42:31: {'Acceleration': '(-0.3594971, 0.09155273, 0.9182129)', 'Roll': '21.38125', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-5.304429'}
2022-07-01 13:42:32: {'Acceleration': '(-0.3657227, 0.08227539, 0.9125977)', 'Roll': '21.8384', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-4.783669'}
2022-07-01 13:42:33: {'Acceleration': '(-0.3770752, 0.08886719, 0.9320068)', 'Roll': '22.02747', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-5.051256'}
2022-07-01 13:42:34: {'Acceleration': '(-0.414917, 0.1496582, 0.9199219)', 'Roll': '24.27704', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-8.435435'}
2022-07-01 13:42:35: {'Acceleration': '(-0.3571777, 0.1173096, 0.9622803)', 'Roll': '22.60386', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-5.319079'}
2022-07-01 13:42:36: {'Acceleration': '(-0.4106445, 0.149292, 0.8969727)', 'Roll': '24.59886', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-7.692461'}
2022-07-01 13:42:36: {'Acceleration': '(-0.4018555, 0.1243896, 0.9172363)', 'Roll': '24.53972', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-8.314058'}
2022-07-01 13:42:37: {'Acceleration': '(-0.3734131, 0.1430664, 0.949585)', 'Roll': '21.46665', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-9.132235'}
2022-07-01 13:42:38: {'Acceleration': '(-0.3632813, 0.1320801, 0.9190674)', 'Roll': '21.56748', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-7.612418'}
2022-07-01 13:42:39: {'Acceleration': '(-0.2957764, 0.1434326, 0.9440918)', 'Roll': '17.63523', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-8.130072'}
2022-07-01 13:42:40: {'Acceleration': '(-0.2983398, 0.1536865, 0.9467773)', 'Roll': '17.49021', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-8.800736'}
2022-07-01 13:42:41: {'Acceleration': '(-0.2642822, 0.1347656, 0.9633789)', 'Roll': '15.34047', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-7.683067'}
2022-07-01 13:42:42: {'Acceleration': '(-0.2879639, -0.07836914, 0.9239502)', 'Roll': '17.31048', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.629588'}
2022-07-01 13:42:43: {'Acceleration': '(-0.5476074, -0.1358643, 0.9136963)', 'Roll': '30.93561', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.47206'}
2022-07-01 13:42:43: {'Acceleration': '(-0.8254395, 0.03063965, 0.7318115)', 'Roll': '45.2615', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-3.324566'}
2022-07-01 13:42:44: {'Acceleration': '(-0.5941162, 0.2113037, 0.6531982)', 'Roll': '42.28807', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-13.34609'}
2022-07-01 13:42:45: {'Acceleration': '(-0.4067383, 0.4967041, 0.8262939)', 'Roll': '26.26907', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-27.01637'}
2022-07-01 13:42:46: {'Acceleration': '(-0.4979248, 0.3383789, 0.8925781)', 'Roll': '29.15497', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-18.31829'}
2022-07-01 13:42:47: {'Acceleration': '(-0.4459229, 0.5093994, 0.8181152)', 'Roll': '28.59308', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-28.78718'}
2022-07-01 13:42:48: {'Acceleration': '(-0.4855957, 0.4825439, 0.8493652)', 'Roll': '29.75729', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-26.25288'}
2022-07-01 13:42:49: {'Acceleration': '(-0.3187256, 0.4019775, 3.307617)', 'Roll': '5.504089', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '2.800228'}
2022-07-01 13:42:49: {'Acceleration': '(-0.2718506, -0.1629639, 0.9455566)', 'Roll': '16.04011', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.404926'}
2022-07-01 13:42:50: {'Acceleration': '(-0.2785645, -0.2296143, 0.9547119)', 'Roll': '16.66533', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '12.84068'}
2022-07-01 13:42:51: {'Acceleration': '(-0.3431396, -0.1936035, 0.8710938)', 'Roll': '21.50038', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.6834'}
2022-07-01 13:42:52: {'Acceleration': '(-0.3601074, -0.1655273, 0.9649658)', 'Roll': '21.86229', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '8.696984'}
2022-07-01 13:42:53: {'Acceleration': '(-0.5014648, 0.177124, 0.8447266)', 'Roll': '30.69513', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-10.22088'}
2022-07-01 13:42:54: {'Acceleration': '(-0.6638184, 0.2825928, 0.7480469)', 'Roll': '48.15397', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-16.49749'}
2022-07-01 13:42:55: {'Acceleration': '(-0.5856934, 0.5115967, 0.6503906)', 'Roll': '42.00384', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-27.64439'}
2022-07-01 13:42:55: {'Acceleration': '(-0.255249, 0.7907715, 0.3410645)', 'Roll': '38.53175', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-60.74696'}
2022-07-01 13:42:56: {'Acceleration': '(-0.1650391, 0.9915771, 0.2408447)', 'Roll': '34.42093', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-71.66877'}
2022-07-01 13:42:57: {'Acceleration': '(-0.2252197, 1.082642, 0.0703125)', 'Roll': '68.50986', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-79.39316'}
2022-07-01 13:42:58: {'Acceleration': '(-0.1899414, -0.3803711, 0.8956299)', 'Roll': '11.97364', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '22.56077'}
2022-07-01 13:42:59: {'Acceleration': '(-0.2141113, -0.1118164, 1.022827)', 'Roll': '11.82316', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '6.107503'}
2022-07-01 13:43:00: {'Acceleration': '(-0.3074951, -0.104126, 0.9370117)', 'Roll': '18.16806', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.786235'}
2022-07-01 13:43:01: {'Acceleration': '(-0.2731934, -0.02905273, 0.9307861)', 'Roll': '16.32623', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '2.413785'}
2022-07-01 13:43:02: {'Acceleration': '(-0.3809814, -0.0826416, 0.963501)', 'Roll': '21.57452', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '3.091223'}
2022-07-01 13:43:02: {'Acceleration': '(-0.3024902, -0.06176758, 0.9720459)', 'Roll': '17.28558', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '3.472106'}
2022-07-01 13:43:03: {'Acceleration': '(-0.2731934, -0.2902832, 0.8121338)', 'Roll': '18.5924', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '18.71528'}
2022-07-01 13:43:04: {'Acceleration': '(-0.3366699, -0.07373047, 0.9117432)', 'Roll': '20.26715', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.338199'}
