Testing SD card write operations: 2022-06-04 21:40:45
2022-06-04 21:41:59: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-73}
2022-06-04 21:42:01: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-73}
2022-06-04 21:42:03: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-64}
2022-06-04 21:42:05: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-59}
2022-06-04 21:42:07: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-67}
2022-06-04 21:42:10: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-63}
2022-06-04 21:42:12: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-76}
2022-06-04 21:42:14: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-64}
2022-06-04 21:42:16: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-71}
2022-06-04 21:42:18: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-62}
2022-06-04 21:42:20: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-69}
2022-06-04 21:42:21: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-76}
2022-06-04 21:42:23: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-63}
2022-06-04 21:42:25: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-71}
2022-06-04 21:42:27: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-62}
2022-06-04 21:42:29: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-71}
2022-06-04 21:42:31: {'ssid':'P70', 'bssid':'fc932590916033af79e18771a6332f166eeb6d1639c0df07c3cd8718', 'sec':3, 'channel':6, 'rssi':-65}
