Testing SD card write operations: 2022-06-04 21:40:45
2022-06-04 21:41:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-04 21:41:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1f8dde65cdf4c289131d671914514ce3679e6521172c1ce94bb1c149b8a30389', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-04 21:41:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-04 21:41:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
