Testing SD card write operations: 2022-09-11 17:12:23
2022-09-11 17:12:43: {'ssid':'P914', 'bssid':'15a938c184825801319348351384668a49d0b9b9ab5bdce16aca4a9c98e993b9', 'sec':0, 'channel':13, 'rssi':-88}
2022-09-11 17:12:43: {'ssid':'P910', 'bssid':'eae93873d2b468e1343e2a2649e7d9e97caaef3c5be7e8c2e77079a4d4b84a27', 'sec':4, 'channel':13, 'rssi':-89}
2022-09-11 17:12:43: {'ssid':'P917', 'bssid':'41dee7d03aa8225ccaa652d1452709e6a853a2884938de92ca73531a68c259ad', 'sec':3, 'channel':6, 'rssi':-92}
2022-09-11 17:12:44: {'ssid':'P99', 'bssid':'5c96b74772f80b23fcd7babc05f7176b24f742727bf3cb3baa664891be453a34', 'sec':4, 'channel':13, 'rssi':-79}
2022-09-11 17:12:44: {'ssid':'P910', 'bssid':'eae93873d2b468e1343e2a2649e7d9e97caaef3c5be7e8c2e77079a4d4b84a27', 'sec':4, 'channel':13, 'rssi':-79}
2022-09-11 17:12:44: {'ssid':'P913', 'bssid':'ef06b8dbe5002e95821ff25c064ba9fe09be0dd18f45026f244ebea90ebf5e04', 'sec':3, 'channel':13, 'rssi':-80}
2022-09-11 17:12:44: {'ssid':'P914', 'bssid':'15a938c184825801319348351384668a49d0b9b9ab5bdce16aca4a9c98e993b9', 'sec':0, 'channel':13, 'rssi':-80}
2022-09-11 17:12:46: {'ssid':'P95', 'bssid':'5cb32c3349132e4b89c9c1b5c9ade92e89d41f195ba5fb50883ef933c1679b2f', 'sec':5, 'channel':5, 'rssi':-84}
2022-09-11 17:12:48: {'ssid':'P910', 'bssid':'eae93873d2b468e1343e2a2649e7d9e97caaef3c5be7e8c2e77079a4d4b84a27', 'sec':4, 'channel':13, 'rssi':-90}
2022-09-11 17:12:48: {'ssid':'P913', 'bssid':'ef06b8dbe5002e95821ff25c064ba9fe09be0dd18f45026f244ebea90ebf5e04', 'sec':3, 'channel':13, 'rssi':-90}
2022-09-11 17:12:48: {'ssid':'P99', 'bssid':'5c96b74772f80b23fcd7babc05f7176b24f742727bf3cb3baa664891be453a34', 'sec':4, 'channel':13, 'rssi':-91}
2022-09-11 17:12:48: {'ssid':'P914', 'bssid':'15a938c184825801319348351384668a49d0b9b9ab5bdce16aca4a9c98e993b9', 'sec':0, 'channel':13, 'rssi':-91}
2022-09-11 17:12:50: {'ssid':'P918', 'bssid':'a6b18823cf6b775225b43080ab46203463e83d1ba8d9cd0aebb7813c7d38e555', 'sec':3, 'channel':6, 'rssi':-91}
2022-09-11 17:12:52: {'ssid':'P95', 'bssid':'63acef088949d50211a9f14c2575918966d8247484c64fcedf1b3d81c9c229d1', 'sec':5, 'channel':13, 'rssi':-93}
2022-09-11 17:12:52: {'ssid':'P95', 'bssid':'254f314e254759a0597e60ec994212765fbb6ddff6208700e21093c941600c63', 'sec':5, 'channel':6, 'rssi':-95}
2022-09-11 17:12:54: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-83}
2022-09-11 17:12:54: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-83}
2022-09-11 17:12:54: {'ssid':'P919', 'bssid':'3455416a9a67daaaa9700516335ccf177c6ebf1e920efabf8bd5e44dd9ec84c1', 'sec':3, 'channel':1, 'rssi':-92}
2022-09-11 17:12:56: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-73}
2022-09-11 17:12:56: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-73}
2022-09-11 17:12:56: {'ssid':'P916', 'bssid':'ed87d72d0fb355c6e6ff398255aa4e0bc33b7f874918967e4b43a974b38f7530', 'sec':3, 'channel':6, 'rssi':-75}
2022-09-11 17:12:56: {'ssid':'P99', 'bssid':'390358e496902a4f2fead1fdf2e665cd8ff66024c2c93bd3617064095ca586c2', 'sec':4, 'channel':9, 'rssi':-89}
2022-09-11 17:12:56: {'ssid':'P920', 'bssid':'04d5143d15a6d6d4809e2fbabd919adc6167d54d32f854153936bb94e7989e99', 'sec':4, 'channel':9, 'rssi':-89}
2022-09-11 17:12:56: {'ssid':'P913', 'bssid':'2f8abbaf95898771e12af8cfe6a6ad61ac847f1d0918435b59e593ac2a23cb01', 'sec':3, 'channel':9, 'rssi':-91}
2022-09-11 17:12:56: {'ssid':'P914', 'bssid':'7566397cc334ecb4af9b0201a3eaa17a6cf0e99d7632abf3642d566f80cf192c', 'sec':0, 'channel':9, 'rssi':-91}
2022-09-11 17:13:00: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-74}
