Testing SD card write operations: 2022-09-11 17:12:23
2022-09-11 17:12:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5db5dd2674be339dbc8e245513ca69ed8971adb22d39587c107ae0d4849a98fd', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:12:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5db5dd2674be339dbc8e245513ca69ed8971adb22d39587c107ae0d4849a98fd', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:12:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5db5dd2674be339dbc8e245513ca69ed8971adb22d39587c107ae0d4849a98fd', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:12:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5db5dd2674be339dbc8e245513ca69ed8971adb22d39587c107ae0d4849a98fd', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:12:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5db5dd2674be339dbc8e245513ca69ed8971adb22d39587c107ae0d4849a98fd', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:12:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -38, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4a6059263f609280ba016ca4681e426c0f20fd40c1b6f74502f81b396debb4e3', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 17:12:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -41, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -46, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:12:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f08f5d9d55d0d9a9cb16f52211dbf67392bfe1f10e9ba552952312ca02267c7a', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
