Testing SD card write operations: 2023-01-22 19:26:16
2023-01-22 19:26:32: {'name': 'Rb30', 'adv_flag': 26, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'a09e957cb3f1bb0f61ca70c849809327621961211fdb3625ed9974afc79ac649', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:33: {'name': None, 'adv_flag': 2, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '033de1208df97e2c0e8e798ea676e3d0f7379acb403253a99b42469b5d8c523c', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:34: {'name': None, 'adv_flag': None, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '89be72858fbe7b161295e87578307339d351de811be35e197d540259d8b8e3be', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:35: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': '6deb302d7c70bd6c65b785551ab17e3565bb693e84ff3e3128199e29ccb2ddaa', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:35: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'bc9d2cba18a85300ab277bea2e766a56b81da9ad9d1d286ceed2382ed9095f31', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:36: {'name': None, 'adv_flag': 26, 'rssi': -95, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '6d289f6b04a6215d5058ee8396ced15bb5a3b6f98f1bb9ed60ab89dab02a0fc9', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:37: {'name': None, 'adv_flag': None, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0b91b5012aea005ae64cd5700b7f6ad0c6829aa32fbdaeb20f0350045b9c6df7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:38: {'name': 'Rb30', 'adv_flag': 26, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'a09e957cb3f1bb0f61ca70c849809327621961211fdb3625ed9974afc79ac649', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:38: {'name': None, 'adv_flag': 26, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': '6deb302d7c70bd6c65b785551ab17e3565bb693e84ff3e3128199e29ccb2ddaa', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:39: {'name': 'Rb31', 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': '327479ed97f871d8069b247c8832a5e94dc3905c2c0011f49897f26d6364915f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:40: {'name': None, 'adv_flag': 26, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'c7bea884e6187a7aac7660b5f9e5e474483d2415ecb04dfe28da74dc0fdb9b08', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:41: {'name': None, 'adv_flag': 26, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '03febd105464069efc012cc99bca2782a6a8be591fe07693221a2f83a4b0cce2', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:42: {'name': None, 'adv_flag': 26, 'rssi': -62, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'e625be25291668b75ac46e1407764ecd09482889f8ff9453210c43200a8e686f', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:42: {'name': None, 'adv_flag': None, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'b3322a6d4830f7344c4c979fa88e377c4185505f5122550be3737322e37288e7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:43: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'bc9d2cba18a85300ab277bea2e766a56b81da9ad9d1d286ceed2382ed9095f31', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:44: {'name': None, 'adv_flag': None, 'rssi': -58, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '5127221bcc39eed76a8bc61dd87f8ad994ab6dee8aeb6e2ffbcf09898d732ea9', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:45: {'name': None, 'adv_flag': 26, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '03febd105464069efc012cc99bca2782a6a8be591fe07693221a2f83a4b0cce2', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:45: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '5068cdedcc8ee04d70a36546081bb7d61537aac825a2f6e8634b2e74c20d8271', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:46: {'name': None, 'adv_flag': None, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0b91b5012aea005ae64cd5700b7f6ad0c6829aa32fbdaeb20f0350045b9c6df7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:47: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': '6deb302d7c70bd6c65b785551ab17e3565bb693e84ff3e3128199e29ccb2ddaa', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:48: {'name': None, 'adv_flag': 2, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '716feeeaa2c477b14509edf04a19f1b56b9ec217ec4ffbc468dab9680845b20e', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:49: {'name': None, 'adv_flag': 26, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': 'c263fe81837e268938cd522b5284bcdc042f1763ff41a3e1add787406c7369c1', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:49: {'name': None, 'adv_flag': 26, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'c7bea884e6187a7aac7660b5f9e5e474483d2415ecb04dfe28da74dc0fdb9b08', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:50: {'name': None, 'adv_flag': None, 'rssi': -88, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0b91b5012aea005ae64cd5700b7f6ad0c6829aa32fbdaeb20f0350045b9c6df7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:51: {'name': None, 'adv_flag': 2, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '716feeeaa2c477b14509edf04a19f1b56b9ec217ec4ffbc468dab9680845b20e', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:52: {'name': None, 'adv_flag': 26, 'rssi': -88, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '03febd105464069efc012cc99bca2782a6a8be591fe07693221a2f83a4b0cce2', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:52: {'name': None, 'adv_flag': 26, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '69eb50614e4a7e43c7bde7bfa076c5097103154a02b4328157f4dff3c7c65de5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:53: {'name': None, 'adv_flag': 26, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'c7bea884e6187a7aac7660b5f9e5e474483d2415ecb04dfe28da74dc0fdb9b08', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:54: {'name': None, 'adv_flag': 26, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '097ab910d0e2b64f656ed7b20cf5416cb77c6a70315e5265a24da27873fc8660', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:55: {'name': None, 'adv_flag': None, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0b91b5012aea005ae64cd5700b7f6ad0c6829aa32fbdaeb20f0350045b9c6df7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:56: {'name': None, 'adv_flag': 26, 'rssi': -94, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '6d289f6b04a6215d5058ee8396ced15bb5a3b6f98f1bb9ed60ab89dab02a0fc9', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:56: {'name': None, 'adv_flag': 26, 'rssi': -92, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '965e934a98595e3cc7b86f14a739419489c7251d897b5984bb9cbef0eaa5434c', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:57: {'name': None, 'adv_flag': 26, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '5068cdedcc8ee04d70a36546081bb7d61537aac825a2f6e8634b2e74c20d8271', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:58: {'name': None, 'adv_flag': None, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '37a195a7ee7435f6b2a66f10cf3fa7ea05371be616681dfabe24463d1ec8c740', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:59: {'name': None, 'adv_flag': 26, 'rssi': -90, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '6d289f6b04a6215d5058ee8396ced15bb5a3b6f98f1bb9ed60ab89dab02a0fc9', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:26:59: {'name': None, 'adv_flag': 26, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '6d289f6b04a6215d5058ee8396ced15bb5a3b6f98f1bb9ed60ab89dab02a0fc9', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:00: {'name': None, 'adv_flag': 26, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '69eb50614e4a7e43c7bde7bfa076c5097103154a02b4328157f4dff3c7c65de5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-22 19:27:01: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 24, 'def_tx_pwr': 0, 'mac': '2e20e47b9b3718e17d771f2f0d6dc0778bb5080ba5b10df4ed58a15b8606806b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
