Testing SD card write operations 120: 2023-01-22 19:26:16
2023-01-22 19:26:21: {'ssid':'R33', 'bssid':'da24b73ae232bff70bd15223a69cccba0c29aa716625bf5c59b838c499b31456', 'sec':3, 'channel':11, 'rssi':-84}
2023-01-22 19:26:21: {'ssid':'R33', 'bssid':'e559c1c081ccfc8c00fe758e460f8f10de610d3773e98c71e652ba2a07291434', 'sec':3, 'channel':1, 'rssi':-87}
2023-01-22 19:26:21: {'ssid':'R32', 'bssid':'78f434e75853657de0613946aef9b76dcdbdcdd1a2d9e8c3199facb58ff07a55', 'sec':3, 'channel':1, 'rssi':-88}
2023-01-22 19:26:21: {'ssid':'R31', 'bssid':'cf8a578df848ee8fd56f816ceb097f673b383e23861d8866d1ff736568dc7d03', 'sec':0, 'channel':1, 'rssi':-89}
2023-01-22 19:26:21: {'ssid':'R39', 'bssid':'9b1651f590dcad3078dd563ca4c8246bbaf38fdbbef0b827d68fa0aa2501cc7a', 'sec':4, 'channel':11, 'rssi':-92}
2023-01-22 19:26:21: {'ssid':'R310', 'bssid':'36bdbd3d47c16b8c355892dfc9b289c1bb81caf57f8333b692e77f738dd9fe7a', 'sec':0, 'channel':11, 'rssi':-93}
2023-01-22 19:26:21: {'ssid':'R313', 'bssid':'a705d5d6b1ea838ba11ed4dbf0c7d4b97eded391aefd040b6e62796851cf3e31', 'sec':4, 'channel':11, 'rssi':-93}
2023-01-22 19:26:21: {'ssid':'R314', 'bssid':'64e3f3a61936715960392185c3655db58b9c8fa62528a55db73a8bf2dd73dc87', 'sec':0, 'channel':11, 'rssi':-95}
2023-01-22 19:26:21: {'ssid':'R315', 'bssid':'dd37206a668e3763bd17da4b185618d6cb8018ea8ddb8e3b42179c8a49cc481e', 'sec':3, 'channel':12, 'rssi':-95}
2023-01-22 19:26:25: {'ssid':'R30', 'bssid':'382bc6b27ba507f8d4f82615bb0da03d3e5bad337d62edd89c5a3fb7e8173135', 'sec':3, 'channel':6, 'rssi':-48}
2023-01-22 19:26:25: {'ssid':'R34', 'bssid':'810fd50374f420418c72154e9c856f6c125b2e09090913e9552bb8997796b43f', 'sec':4, 'channel':4, 'rssi':-65}
2023-01-22 19:26:25: {'ssid':'R31', 'bssid':'2fec42f6c8c74ed119d243ddeedc9d1439504b67943fdf410e4f03a0427e8638', 'sec':0, 'channel':6, 'rssi':-69}
2023-01-22 19:26:25: {'ssid':'R32', 'bssid':'c8f77106ddb9c9ebab715f96f9e81b2e7ffd06eb1f416b7a8b47259e0db4ed7a', 'sec':3, 'channel':6, 'rssi':-72}
