Testing SD card write operations: 2022-06-09 16:54:45
2022-06-09 16:55:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0c9e5e8264f6203832eb9261b4601820120845fd6776af98ce7a33ee', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-09 16:55:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:17: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '6bf4609f4d9a2f03a5a39e1fd675c841a33787d1cb7519eacc237599', 'rssi': -88, 'name': 'Ob10', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0c9e5e8264f6203832eb9261b4601820120845fd6776af98ce7a33ee', 'rssi': -41, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-09 16:55:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0c9e5e8264f6203832eb9261b4601820120845fd6776af98ce7a33ee', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-09 16:55:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0c9e5e8264f6203832eb9261b4601820120845fd6776af98ce7a33ee', 'rssi': -38, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-09 16:55:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '28455110976e8007617140147f419ce3e02732ac416544c35c382104', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6b2fe0a703f299201fd894aa9c34a9ac56a6b467fa8e65ca1b3bddcc', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-09 16:55:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '05647d2cca725562fc9af08bd4868fca8dd1f138028d7751411d97ac', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
