Testing SD card write operations: 2022-06-09 16:54:51
2022-06-09 16:55:19: {'Acceleration': '(0.2318115, -0.08862305, 0.9822998)', 'Roll': '-13.29214', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.032679'}
2022-06-09 16:55:20: {'Acceleration': '(0.2281494, -0.08666992, 0.9758301)', 'Roll': '-13.1594', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.942888'}
2022-06-09 16:55:21: {'Acceleration': '(0.229126, -0.0871582, 0.9742432)', 'Roll': '-13.23452', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.977129'}
2022-06-09 16:55:21: {'Acceleration': '(0.2283936, -0.08789063, 0.9750977)', 'Roll': '-13.18254', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '5.133646'}
2022-06-09 16:55:22: {'Acceleration': '(0.2199707, -0.08752441, 0.9671631)', 'Roll': '-13.67386', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.115044'}
2022-06-09 16:55:23: {'Acceleration': '(0.2285156, -0.08825684, 0.9771729)', 'Roll': '-13.1623', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.025991'}
2022-06-09 16:55:24: {'Acceleration': '(0.2301025, -0.08935547, 0.9750977)', 'Roll': '-13.14828', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.091049'}
2022-06-09 16:55:25: {'Acceleration': '(0.2315674, -0.08837891, 0.9753418)', 'Roll': '-13.35598', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.038312'}
2022-06-09 16:55:26: {'Acceleration': '(0.2280273, -0.08679199, 0.9852295)', 'Roll': '-12.6062', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.913609'}
2022-06-09 16:55:27: {'Acceleration': '(0.2261963, -0.08776855, 0.9769287)', 'Roll': '-13.03644', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '5.002112'}
2022-06-09 16:55:27: {'Acceleration': '(0.2287598, -0.08959961, 0.9829102)', 'Roll': '-13.24453', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.058534'}
2022-06-09 16:55:28: {'Acceleration': '(0.2283936, -0.08703613, 0.9761963)', 'Roll': '-13.16822', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.984376'}
2022-06-09 16:55:29: {'Acceleration': '(0.2294922, -0.08984375, 0.9787598)', 'Roll': '-13.17558', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.955466'}
2022-06-09 16:55:30: {'Acceleration': '(0.2275391, -0.0871582, 0.9748535)', 'Roll': '-13.1381', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.97598'}
2022-06-09 16:55:31: {'Acceleration': '(0.2315674, -0.08789063, 0.9741211)', 'Roll': '-13.37211', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.016532'}
