Testing SD card write operations: 2022-06-09 16:54:45
2022-06-09 16:54:52: {'ssid':'O22', 'bssid':'be9dab4237cee3fb190255ec04c3d59e92fd18d80d602169b72a3e33', 'sec':5, 'channel':1, 'rssi':-71}
2022-06-09 16:54:52: {'ssid':'O23', 'bssid':'8f23018bf5723b611efae0cb4e6ee9b744c3ce9f79d8809ea384daf5', 'sec':0, 'channel':1, 'rssi':-71}
2022-06-09 16:54:52: {'ssid':'O22', 'bssid':'700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7', 'sec':5, 'channel':11, 'rssi':-71}
2022-06-09 16:54:52: {'ssid':'O23', 'bssid':'80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c', 'sec':0, 'channel':11, 'rssi':-71}
2022-06-09 16:54:52: {'ssid':'O23-interne', 'bssid':'7415c3f0b888b0ceb0b77d2f4ed89f761090d83b5ca6353d74a5d52c', 'sec':5, 'channel':11, 'rssi':-71}
2022-06-09 16:54:52: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-72}
2022-06-09 16:54:52: {'ssid':'O26', 'bssid':'68d1dab78af16d01929bb2e5e6b870f95e3c8fc3a0ddee297a26abf6', 'sec':3, 'channel':4, 'rssi':-88}
2022-06-09 16:54:54: {'ssid':'O20', 'bssid':'c2b322590e36ed9495c3036062cc148d9a24fdd14d9d08a445e6bec0', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-09 16:54:54: {'ssid':'O22', 'bssid':'700e59ef722e1421046be38fd893a53cbb86be8a5a1604558274b9b7', 'sec':5, 'channel':11, 'rssi':-70}
2022-06-09 16:54:54: {'ssid':'O21', 'bssid':'e41b8ece0280ee6b16e0d2cdaed938377fc1758409bde343fd305fb8', 'sec':0, 'channel':11, 'rssi':-70}
2022-06-09 16:54:54: {'ssid':'O23', 'bssid':'80b0f72033122ef0e6ffad93f36d3dbafb36840f6d21dc2c485a288c', 'sec':0, 'channel':11, 'rssi':-70}
2022-06-09 16:54:54: {'ssid':'O23-interne', 'bssid':'7415c3f0b888b0ceb0b77d2f4ed89f761090d83b5ca6353d74a5d52c', 'sec':5, 'channel':11, 'rssi':-70}
