Testing SD card write operations: 2022-07-08 08:57:42
2022-07-08 08:58:11: {'Acceleration': '(-0.373291, -0.03479004, 0.9528809)', 'Roll': '21.39276', 'battery_voltage': 4.440825, 'battery_percentage': 77.41573, 'Pitch': '2.030378'}
2022-07-08 08:58:12: {'Acceleration': '(-0.3754883, -0.03552246, 0.9522705)', 'Roll': '21.51973', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '1.987513'}
2022-07-08 08:58:12: {'Acceleration': '(-0.3723145, -0.03662109, 0.9411621)', 'Roll': '21.58326', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '2.072186'}
2022-07-08 08:58:13: {'Acceleration': '(-0.371582, -0.03918457, 0.9516602)', 'Roll': '21.32849', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '2.196498'}
2022-07-08 08:58:14: {'Acceleration': '(-0.3696289, -0.03637695, 0.9523926)', 'Roll': '21.26675', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.127687'}
2022-07-08 08:58:15: {'Acceleration': '(-0.3740234, -0.03503418, 0.9525146)', 'Roll': '21.43842', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '1.960807'}
2022-07-08 08:58:16: {'Acceleration': '(-0.3729248, -0.03564453, 0.9567871)', 'Roll': '21.29423', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '1.96147'}
2022-07-08 08:58:17: {'Acceleration': '(-0.373291, -0.03747559, 0.9512939)', 'Roll': '21.5173', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '2.071102'}
2022-07-08 08:58:18: {'Acceleration': '(-0.3757324, -0.03540039, 0.9552002)', 'Roll': '21.18652', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '2.033661'}
2022-07-08 08:58:18: {'Acceleration': '(-0.3731689, -0.03662109, 0.9541016)', 'Roll': '21.3615', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '1.98607'}
2022-07-08 08:58:19: {'Acceleration': '(-0.3713379, -0.0369873, 0.9591064)', 'Roll': '21.31325', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '2.060519'}
