Testing SD card write operations: 2022-05-20 19:55:37
2022-05-20 19:55:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f5ff156538f28be5d37155cc7a9d36c3798bb55d378c112d5ceacc96', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:55:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '63ffe087a3ad614163075afd2287c796aa7a7a419d553deb1f348384', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '63ffe087a3ad614163075afd2287c796aa7a7a419d553deb1f348384', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f80ebd2f80d503ce111847715fbe6ef940cea733e0912927ccb913c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-05-20 19:55:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5520323ccf8c550de9c70a585d5ebd2b0d208a099d0d621af4c932c2', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:56:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:56:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5cbd85efebaa07d55d5c1a05fd040fb4e99299727cc44d5d6139f6f', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 19:56:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fc648d32ed5d6381a70fc43508c815f55bd59bf4bd66704ced459bbd', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
