Testing SD card write operations: 2022-03-30 09:54:20
2022-03-30 09:54:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cf8bb3b62bab4c0af33c947e1d6e4e52e3c4bcddcc8b50f9da8d6df0', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '2192d5097cdc01adf252ae2f635274258dd8bbb988e34ed643152b28', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:42: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': '94c63edae1d4ccac7a392479fbb48913f782f9ab3cfd9cb667045a43', 'rssi': -75, 'name': 'Ob10', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-03-30 09:54:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c0e6d30334266dd906fc86e04de973696155ecabfadcb284ecc7247', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f038e2ca06e0ea2ee2880c27991258110a62b86eea4c07efbff47bba', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-03-30 09:54:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c0e6d30334266dd906fc86e04de973696155ecabfadcb284ecc7247', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aea8b87a6bc2e3b5f3f16a1a1fb78540fa0b105a53eb485fa067ba95', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c0e6d30334266dd906fc86e04de973696155ecabfadcb284ecc7247', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ead539eda44805e1a1fa11e7d0eacc1d6010e1510a4e3efa83516e8e', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:54:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c0e6d30334266dd906fc86e04de973696155ecabfadcb284ecc7247', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:54:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1d77868f68cd19ac0479a1b6b3b23ea9fae92480f18379f8ba915d33', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
