File is openned: 2022-03-30 09:54:23
2022-03-30 09:54:57: {'Acceleration': '(-0.1761475, 0.07202148, 0.9875488)', 'Roll': '9.9182', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.906682'}
2022-03-30 09:54:58: {'Acceleration': '(-0.1729736, 0.07165527, 0.9909668)', 'Roll': '9.901247', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.879447'}
2022-03-30 09:54:59: {'Acceleration': '(-0.1727295, 0.07141113, 0.9821777)', 'Roll': '9.974258', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-3.910279'}
2022-03-30 09:55:00: {'Acceleration': '(-0.1722412, 0.06896973, 0.9830322)', 'Roll': '10.11753', 'battery_voltage': 4.566273, 'battery_percentage': 89.96055, 'Pitch': '-4.153203'}
2022-03-30 09:55:01: {'Acceleration': '(-0.173584, 0.06848145, 0.9874268)', 'Roll': '9.99676', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.039524'}
2022-03-30 09:55:02: {'Acceleration': '(-0.1744385, 0.06750488, 0.9880371)', 'Roll': '9.994274', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.015162'}
2022-03-30 09:55:03: {'Acceleration': '(-0.1716309, 0.0670166, 0.9899902)', 'Roll': '9.835392', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.034272'}
2022-03-30 09:55:04: {'Acceleration': '(-0.1700439, 0.06665039, 0.9888916)', 'Roll': '9.756825', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-3.786664'}
2022-03-30 09:55:05: {'Acceleration': '(-0.1743164, 0.06958008, 0.993042)', 'Roll': '9.95614', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-3.947861'}
2022-03-30 09:55:06: {'Acceleration': '(-0.1738281, 0.07055664, 0.9902344)', 'Roll': '9.956396', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-4.0144'}
