Testing SD card write operations: 2022-07-08 06:08:26
2022-07-08 06:08:50: {'ssid':'H70', 'bssid':'d76f440b2c0113910a1eb1d0cbb19a429a47e5fdd80effbf1c7fb1c2', 'sec':3, 'channel':6, 'rssi':-58}
2022-07-08 06:08:50: {'ssid':'H71', 'bssid':'594407a1b5a9f92d899f3d6a20d3b761cd207ce15d73acaf90acfc88', 'sec':4, 'channel':1, 'rssi':-60}
2022-07-08 06:08:50: {'ssid':'H76', 'bssid':'4ade89a709d982e7df15f52cef4659faa54e8d2c840dc96a6a8ce907', 'sec':4, 'channel':1, 'rssi':-79}
2022-07-08 06:08:50: {'ssid':'H714', 'bssid':'93849b09190b37316311b80416079fa1ec24c3c7f415a495de2cbdf6', 'sec':4, 'channel':1, 'rssi':-89}
2022-07-08 06:08:50: {'ssid':'H715', 'bssid':'8d58cfab0c60becbf08b5139d25ef2f862f6e2f2f32fbc6b6966cc05', 'sec':4, 'channel':11, 'rssi':-91}
2022-07-08 06:08:50: {'ssid':'H77', 'bssid':'8ac61a09b3912af2bb280509292b1df526688aef3dccfba77f3d2b6b', 'sec':4, 'channel':11, 'rssi':-91}
2022-07-08 06:08:52: {'ssid':'H70', 'bssid':'d76f440b2c0113910a1eb1d0cbb19a429a47e5fdd80effbf1c7fb1c2', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-08 06:08:52: {'ssid':'H71', 'bssid':'594407a1b5a9f92d899f3d6a20d3b761cd207ce15d73acaf90acfc88', 'sec':4, 'channel':1, 'rssi':-60}
2022-07-08 06:08:52: {'ssid':'H72', 'bssid':'3a1708ba7e6f3aaa9f465ca0ddccec7684d6105a1a756bc61a968c87', 'sec':4, 'channel':1, 'rssi':-73}
2022-07-08 06:08:52: {'ssid':'H75', 'bssid':'aea135936604b251596fe2f63dec82b0a76b46532887f7074ca14ebf', 'sec':4, 'channel':6, 'rssi':-74}
2022-07-08 06:08:52: {'ssid':'H714', 'bssid':'93849b09190b37316311b80416079fa1ec24c3c7f415a495de2cbdf6', 'sec':4, 'channel':1, 'rssi':-81}
2022-07-08 06:08:52: {'ssid':'H77', 'bssid':'8ac61a09b3912af2bb280509292b1df526688aef3dccfba77f3d2b6b', 'sec':4, 'channel':11, 'rssi':-84}
2022-07-08 06:08:54: {'ssid':'H70', 'bssid':'d76f440b2c0113910a1eb1d0cbb19a429a47e5fdd80effbf1c7fb1c2', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-08 06:08:54: {'ssid':'H71', 'bssid':'594407a1b5a9f92d899f3d6a20d3b761cd207ce15d73acaf90acfc88', 'sec':4, 'channel':1, 'rssi':-61}
2022-07-08 06:08:54: {'ssid':'H72', 'bssid':'3a1708ba7e6f3aaa9f465ca0ddccec7684d6105a1a756bc61a968c87', 'sec':4, 'channel':1, 'rssi':-68}
2022-07-08 06:08:54: {'ssid':'H75', 'bssid':'aea135936604b251596fe2f63dec82b0a76b46532887f7074ca14ebf', 'sec':4, 'channel':6, 'rssi':-72}
2022-07-08 06:08:54: {'ssid':'H73', 'bssid':'e33c26fcfd70bdead03cafdb6bc503cf955825c00b936100ada05c84', 'sec':4, 'channel':1, 'rssi':-73}
2022-07-08 06:08:54: {'ssid':'H77', 'bssid':'8ac61a09b3912af2bb280509292b1df526688aef3dccfba77f3d2b6b', 'sec':4, 'channel':11, 'rssi':-84}
2022-07-08 06:08:56: {'ssid':'H70', 'bssid':'d76f440b2c0113910a1eb1d0cbb19a429a47e5fdd80effbf1c7fb1c2', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-08 06:08:56: {'ssid':'H75', 'bssid':'aea135936604b251596fe2f63dec82b0a76b46532887f7074ca14ebf', 'sec':4, 'channel':6, 'rssi':-73}
2022-07-08 06:08:56: {'ssid':'H77', 'bssid':'8ac61a09b3912af2bb280509292b1df526688aef3dccfba77f3d2b6b', 'sec':4, 'channel':11, 'rssi':-84}
2022-07-08 06:08:56: {'ssid':'H716', 'bssid':'628d135850fe2ba14c7980f771e333dbe748fb95ace83f0a80642037', 'sec':4, 'channel':6, 'rssi':-94}
2022-07-08 06:08:58: {'ssid':'H70', 'bssid':'d76f440b2c0113910a1eb1d0cbb19a429a47e5fdd80effbf1c7fb1c2', 'sec':3, 'channel':6, 'rssi':-54}
