Testing SD card write operations: 2022-07-08 16:20:44
2022-07-08 16:21:09: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-61}
2022-07-08 16:21:11: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 16:21:11: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-59}
2022-07-08 16:21:11: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-64}
2022-07-08 16:21:13: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-62}
2022-07-08 16:21:13: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-64}
2022-07-08 16:21:15: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-08 16:21:15: {'ssid':'T11', 'bssid':'90b733e2ef78d463eed5f02f5f078d01a6c5a471f08d32c75c892228', 'sec':0, 'channel':6, 'rssi':-62}
2022-07-08 16:21:15: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-65}
2022-07-08 16:21:17: {'ssid':'T10', 'bssid':'d2919a75521e47f90de1a24321e91f98aafab7816d77fa3b5bc8fbf8', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-08 16:21:17: {'ssid':'T12', 'bssid':'1c93410d1d912e38a01370828f4d1bd093cc553bb4afcc0c73b6b931', 'sec':3, 'channel':11, 'rssi':-67}
