Testing SD card write operations: 2022-07-08 16:20:44
2022-07-08 16:21:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a578fac91eec428139cec1081defec7f59b313cee7b2eadaed683f6dae2fc0b0', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c522d0f3f036db7a6066e837cb92de3b14686ae38952419d562ccca042d27adb', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3c12c1598bc6fbe0eba42c43d065d10dbf0f954ce68eb2b4dde9d30efa544cf3', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fe2e6696ad0662429c95b5c1f3f20858fc6c39e43f13010b7aa1613239fe359e', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '493eeaf596f57f62b690d4d95cd972ded37ffc9bf20907a17f43f4a3d29988b7', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 16:21:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '36b9300a3203cddab394eef5f680cc3b9f8a38352596a6544893249f558d8fa8', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '7fa8965c11bd153d43de489ef5b775eb6e363407218a4ab8de6c6567cfd87144', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fe2e6696ad0662429c95b5c1f3f20858fc6c39e43f13010b7aa1613239fe359e', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c522d0f3f036db7a6066e837cb92de3b14686ae38952419d562ccca042d27adb', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fe2e6696ad0662429c95b5c1f3f20858fc6c39e43f13010b7aa1613239fe359e', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fe2e6696ad0662429c95b5c1f3f20858fc6c39e43f13010b7aa1613239fe359e', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c522d0f3f036db7a6066e837cb92de3b14686ae38952419d562ccca042d27adb', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4f42c63e79c33ca2ce3bd8ad92fbc8fec97b20547986a585f2fc2788832780c8', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '19eec0c5d72f4fa1e43841bc86f603231588b1926039efb0b4e932b51496e58f', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-08 16:21:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fe2e6696ad0662429c95b5c1f3f20858fc6c39e43f13010b7aa1613239fe359e', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:17: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '9569af9f5bc0a538a6e868bd03cb8c39b51f9af179ea1a4f4c72b5328758292b', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '19eec0c5d72f4fa1e43841bc86f603231588b1926039efb0b4e932b51496e58f', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-08 16:21:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd70f8b7fa735e083a9a8ee888f291167d9c2008ca34158d4b1818853159846a5', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '19eec0c5d72f4fa1e43841bc86f603231588b1926039efb0b4e932b51496e58f', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-08 16:21:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eaae6b49e2dd69185215d6cdc6296ee9d9b004149c6e0f034b78358260be113c', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 16:21:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eaae6b49e2dd69185215d6cdc6296ee9d9b004149c6e0f034b78358260be113c', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 16:21:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b5a70788290d59ecc241501e1e74a3951b074b0c6704db3ffc3e229a46fc8d36', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c522d0f3f036db7a6066e837cb92de3b14686ae38952419d562ccca042d27adb', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '493eeaf596f57f62b690d4d95cd972ded37ffc9bf20907a17f43f4a3d29988b7', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 16:21:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c522d0f3f036db7a6066e837cb92de3b14686ae38952419d562ccca042d27adb', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '493eeaf596f57f62b690d4d95cd972ded37ffc9bf20907a17f43f4a3d29988b7', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 16:21:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fa13e9d1b5972014d581045c72b171cd304a8c35fc2ef92b15a6cd906b44f817', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 16:21:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '19eec0c5d72f4fa1e43841bc86f603231588b1926039efb0b4e932b51496e58f', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-08 16:21:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2fcc37b14cdd0aec636aa0d43c4943bd44856ef775e290bf2ef168377da8eb24', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 16:21:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '288c46d90cc86421d2c35583528f31ada20d050201f36f0f94ca1cdfd7883aa3', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '09a04a364c8a2bbb2b63e01cb4aff91accedb70f5c1971ec1f156b732a31d02b', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f13b5d0e72b5045109a6dfcf0cadf481396a2b2c246a15527eef5e958938d56', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a578fac91eec428139cec1081defec7f59b313cee7b2eadaed683f6dae2fc0b0', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c522d0f3f036db7a6066e837cb92de3b14686ae38952419d562ccca042d27adb', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c522d0f3f036db7a6066e837cb92de3b14686ae38952419d562ccca042d27adb', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '362b2ddf5ee1772a5c7efd82e1860dc12256a807b7dc8eaff0c553ef7e7d3d66', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a578fac91eec428139cec1081defec7f59b313cee7b2eadaed683f6dae2fc0b0', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '493eeaf596f57f62b690d4d95cd972ded37ffc9bf20907a17f43f4a3d29988b7', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 16:21:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '36b9300a3203cddab394eef5f680cc3b9f8a38352596a6544893249f558d8fa8', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd6d5d0566cc8705719f8533aa3da12d72c6e11f8b64338d0725577c46b626319', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
