Testing SD card write operations: 2022-05-22 10:49:13
2022-05-22 10:49:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f955464b1c13af139be8d91a5d5a338cdd207a2aa9f9ae2ddcd722006a72765e', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '079455fd98c6fa5505b52c7e7de8f7e927961e3a95f202471572fe07ef198586', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '07d40bea280d5370c0f6abbc42d1f027e963d93a5273aac4e36b242f911ff2a2', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '079455fd98c6fa5505b52c7e7de8f7e927961e3a95f202471572fe07ef198586', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0d91763926ba4f641172f1e946f3fd978e4542543578d81e4d90553c9b74ba93', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-05-22 10:49:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '7e154598f6d9fe750e00e80c5ef604ed071f4599422d777e531a44701f1463e6', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:49:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f955464b1c13af139be8d91a5d5a338cdd207a2aa9f9ae2ddcd722006a72765e', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '45ee32cbdac0f31a78622660915a6ed7fc3eff5eb24fff457f499d2d88874d68', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:49:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '242349e11170b41dd7556563f6a1d0c21e26c288b40928656df5adb001564b47', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
