Testing SD card write operations: 2022-05-20 09:12:20
2022-05-20 09:14:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6ab6b0620e57', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-20 09:14:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:14:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:14:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'cfaa319a1a08', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:14:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'24b104a9dd14', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:14:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bc46b39cce1', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 09:14:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'226391d3a5b2', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 09:14:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dad9ffef60c7', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
