Testing SD card write operations: 2022-09-16 16:39:13
2022-09-16 16:39:40: {'Acceleration': '(-0.4436035, 0.02880859, 0.9061279)', 'Roll': '26.0085', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-1.76265'}
2022-09-16 16:39:41: {'Acceleration': '(-0.4642334, 0.03283691, 0.8891602)', 'Roll': '27.56921', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-2.85063'}
2022-09-16 16:39:42: {'Acceleration': '(-0.4696045, 0.03771973, 0.9364014)', 'Roll': '26.63373', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-2.390119'}
2022-09-16 16:39:43: {'Acceleration': '(-0.46521, 0.04528809, 0.9324951)', 'Roll': '26.54402', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-2.463803'}
2022-09-16 16:39:43: {'Acceleration': '(-0.4493408, 0.02783203, 0.9384766)', 'Roll': '25.58501', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-2.151652'}
2022-09-16 16:39:44: {'Acceleration': '(-0.4593506, 0.02355957, 0.9509277)', 'Roll': '25.78311', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-1.282942'}
2022-09-16 16:39:45: {'Acceleration': '(-0.4052734, 0.0135498, 0.9398193)', 'Roll': '23.3269', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-0.7542787'}
2022-09-16 16:39:46: {'Acceleration': '(-0.4030762, 0.02807617, 0.9467773)', 'Roll': '23.06115', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-1.56291'}
2022-09-16 16:39:47: {'Acceleration': '(-0.3920898, 0.03076172, 0.9525146)', 'Roll': '22.37386', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-1.710577'}
2022-09-16 16:39:48: {'Acceleration': '(-0.3496094, 0.002319336, 0.9638672)', 'Roll': '19.93648', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-0.1296072'}
2022-09-16 16:39:48: {'Acceleration': '(-0.3234863, 0.005249023, 0.9694824)', 'Roll': '18.45226', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-0.2942625'}
2022-09-16 16:39:49: {'Acceleration': '(-0.24646, 0.0213623, 0.9056396)', 'Roll': '15.22375', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-1.303846'}
2022-09-16 16:39:50: {'Acceleration': '(-0.3032227, -0.008666992, 0.9621582)', 'Roll': '17.49216', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '0.4922345'}
2022-09-16 16:39:51: {'Acceleration': '(-0.291748, -0.009643555, 0.9825439)', 'Roll': '16.5378', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '0.5390723'}
2022-09-16 16:39:52: {'Acceleration': '(-0.3009033, -0.001220703, 0.9754639)', 'Roll': '17.59702', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '0.04768057'}
2022-09-16 16:39:53: {'Acceleration': '(-0.3048096, -0.0003662109, 0.9743652)', 'Roll': '17.6519', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '0.02052045'}
2022-09-16 16:39:53: {'Acceleration': '(-0.3032227, -0.001708984, 0.973999)', 'Roll': '17.34589', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '0.2523093'}
2022-09-16 16:39:54: {'Acceleration': '(-0.2963867, -0.01049805, 0.9919434)', 'Roll': '16.76703', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '0.5715799'}
2022-09-16 16:39:55: {'Acceleration': '(-0.3083496, -0.008422852, 0.973999)', 'Roll': '17.62692', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '0.2334559'}
2022-09-16 16:39:56: {'Acceleration': '(-0.2990723, -0.005004883, 0.9749756)', 'Roll': '17.05734', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-0.5756341'}
2022-09-16 16:39:57: {'Acceleration': '(-0.2921143, -0.004394531, 0.9797363)', 'Roll': '16.60226', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '0.211523'}
2022-09-16 16:39:58: {'Acceleration': '(-0.2978516, -0.006347656, 0.9669189)', 'Roll': '16.94517', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '0.4655687'}
2022-09-16 16:39:59: {'Acceleration': '(-0.2969971, -0.006958008, 0.96875)', 'Roll': '16.74867', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '0.06191679'}
2022-09-16 16:39:59: {'Acceleration': '(-0.3043213, 0.008911133, 0.9715576)', 'Roll': '17.31648', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '-0.5343192'}
2022-09-16 16:40:00: {'Acceleration': '(-0.305542, 0.004516602, 0.9764404)', 'Roll': '17.37564', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-0.1436171'}
2022-09-16 16:40:01: {'Acceleration': '(-0.3010254, 0.004272461, 0.9753418)', 'Roll': '17.1521', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-0.3267295'}
2022-09-16 16:40:02: {'Acceleration': '(-0.2655029, -0.006347656, 1.001709)', 'Roll': '14.8449', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-1.52013'}
