Testing SD card write operations: 2022-07-06 14:49:25
2022-07-06 14:52:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '322cdd421c2560b83a19a10d5c2a261813ab5b7812206babc2a5009d15bad803', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1726ccbca0bce6c8a120ca56f8a77f5419a852235116bd6e977d025013f9a18b', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-07-06 14:52:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd8afe6745f227858c02a299fccb777cdccd60a59eabb634508aefe5b6159fdbf', 'rssi': -40, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:52:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9acebcd7e0656c8fa53aa64248dd97f3c8966d2295ac19d77a75dc08f9678096', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-07-06 14:52:55: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '737066d480041d266133c0e6477f1e5bb57dfaa4fe8b72573b4d079db0352240', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ebbd31d1d07914ecf43cb10fef3f128fbfda7da057e5c097546377d77a98e892', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '57424b853c74244b3bb73a57c28ce5bda035e62da1405f7cee4e25de030812a9', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 14:52:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8d03b09b8b5683adb584f45e5eb30501a0ce482390aabb03524cdff0f61ede7a', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '454b36463f9f317176f89aeb552e274baae4aa2d593afb3931ff28e32c78dc59', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9acebcd7e0656c8fa53aa64248dd97f3c8966d2295ac19d77a75dc08f9678096', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-07-06 14:53:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '265752a55c94c732420a5487c912a9505574b9164f73de6ffed516712c73341b', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '322cdd421c2560b83a19a10d5c2a261813ab5b7812206babc2a5009d15bad803', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1726ccbca0bce6c8a120ca56f8a77f5419a852235116bd6e977d025013f9a18b', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-07-06 14:53:03: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '737066d480041d266133c0e6477f1e5bb57dfaa4fe8b72573b4d079db0352240', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9e7e0df15b00a6d610d7462e007f036f2a20ed1ec2befc07a11c8696f324eedf', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:53:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8d03b09b8b5683adb584f45e5eb30501a0ce482390aabb03524cdff0f61ede7a', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '454b36463f9f317176f89aeb552e274baae4aa2d593afb3931ff28e32c78dc59', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b1bd86896b2884333c9a264588de16f4ed19a3ff37f7ced231ce40da254274b6', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:53:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9acebcd7e0656c8fa53aa64248dd97f3c8966d2295ac19d77a75dc08f9678096', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-07-06 14:53:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b1bd86896b2884333c9a264588de16f4ed19a3ff37f7ced231ce40da254274b6', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:53:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8d03b09b8b5683adb584f45e5eb30501a0ce482390aabb03524cdff0f61ede7a', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68e2292da5438604f30e662b9912bdf91ec59e9c8bd2975eeefb0de120765264', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 14:53:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '322cdd421c2560b83a19a10d5c2a261813ab5b7812206babc2a5009d15bad803', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1726ccbca0bce6c8a120ca56f8a77f5419a852235116bd6e977d025013f9a18b', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-07-06 14:53:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '322cdd421c2560b83a19a10d5c2a261813ab5b7812206babc2a5009d15bad803', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9e7e0df15b00a6d610d7462e007f036f2a20ed1ec2befc07a11c8696f324eedf', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:53:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cdeafc786d359a9cd81bdb7278f77c5002cbed93865566c68affea62f081b045', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 14:53:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '454b36463f9f317176f89aeb552e274baae4aa2d593afb3931ff28e32c78dc59', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68e2292da5438604f30e662b9912bdf91ec59e9c8bd2975eeefb0de120765264', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '454b36463f9f317176f89aeb552e274baae4aa2d593afb3931ff28e32c78dc59', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9bba0fc3fec083eb98e9ab5e63122ff3bff91d8973c3509b32b5fd167a5bf992', 'rssi': -93, 'name': 'Tb120', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:53:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68e2292da5438604f30e662b9912bdf91ec59e9c8bd2975eeefb0de120765264', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
