File is openned: 2022-05-26 08:07:59
2022-05-26 08:08:33: {'Acceleration': '(-0.07727051, -0.00390625, 0.9753418)', 'Roll': '3.636004', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '0.9993073'}
2022-05-26 08:08:34: {'Acceleration': '(-0.0847168, 0.04125977, 1.00354)', 'Roll': '4.825352', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-2.34601'}
2022-05-26 08:08:35: {'Acceleration': '(-0.2381592, 0.2156982, 0.4859619)', 'Roll': '26.14262', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-26.59148'}
2022-05-26 08:08:36: {'Acceleration': '(-0.04333496, -0.02319336, 1.012085)', 'Roll': '2.451765', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '1.671133'}
2022-05-26 08:08:37: {'Acceleration': '(-0.04064941, -0.02844238, 1.011475)', 'Roll': '2.30138', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.368908'}
2022-05-26 08:08:38: {'Acceleration': '(-0.03771973, -0.02758789, 1.008423)', 'Roll': '2.142131', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.565981'}
2022-05-26 08:08:40: {'Acceleration': '(-0.03759766, -0.02612305, 1.011353)', 'Roll': '2.215902', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.674881'}
2022-05-26 08:08:41: {'Acceleration': '(-0.03723145, -0.03039551, 1.011108)', 'Roll': '2.108816', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.720717'}
2022-05-26 08:08:42: {'Acceleration': '(-0.04492188, -0.02575684, 1.023315)', 'Roll': '2.513577', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.440443'}
2022-05-26 08:08:43: {'Acceleration': '(-0.03942871, -0.02587891, 1.013306)', 'Roll': '2.22831', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.708917'}
2022-05-26 08:08:44: {'Acceleration': '(-0.04150391, -0.02697754, 1.016113)', 'Roll': '2.338989', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.519564'}
2022-05-26 08:08:45: {'Acceleration': '(-0.03674316, -0.02746582, 1.01416)', 'Roll': '2.153533', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.538492'}
2022-05-26 08:08:46: {'Acceleration': '(-0.03857422, -0.02612305, 1.010864)', 'Roll': '2.185326', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.526788'}
2022-05-26 08:08:47: {'Acceleration': '(-0.03881836, -0.0279541, 1.012329)', 'Roll': '2.195965', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.429569'}
2022-05-26 08:08:48: {'Acceleration': '(-0.0390625, -0.02514648, 1.012939)', 'Roll': '2.208432', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.421035'}
2022-05-26 08:08:49: {'Acceleration': '(-0.04370117, -0.02734375, 1.017578)', 'Roll': '2.459128', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '1.537831'}
2022-05-26 08:08:50: {'Acceleration': '(-0.03894043, -0.02770996, 1.008057)', 'Roll': '2.094407', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.573527'}
2022-05-26 08:08:51: {'Acceleration': '(-0.03503418, -0.02893066, 1.011108)', 'Roll': '1.984464', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.637964'}
2022-05-26 08:08:52: {'Acceleration': '(-0.03967285, -0.02380371, 1.014526)', 'Roll': '2.239399', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.343051'}
2022-05-26 08:08:54: {'Acceleration': '(-0.03955078, -0.02587891, 1.013672)', 'Roll': '2.234396', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.509554'}
2022-05-26 08:08:55: {'Acceleration': '(-0.03649902, -0.02868652, 1.013916)', 'Roll': '2.061647', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.619577'}
