Testing SD card write operations: 2022-06-30 08:16:34
2022-06-30 08:16:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3bdca4d407633160a2ebcc463b83a799e87e2b677fdfb64f5235869d', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:16:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 08:17:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e251d1698d29dbdb4cf04c1b4804fb235efe6e7dd3921dc80c0a609b', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
