Testing SD card write operations 120: 2023-01-26 14:39:40
2023-01-26 14:40:41: {'ssid':'C72', 'bssid':'abdef5e841dc7b52d4947746f193412aad1f0dfa830b2e642ae8d659', 'sec':0, 'channel':11, 'rssi':-82}
2023-01-26 14:40:41: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-82}
2023-01-26 14:40:41: {'ssid':'C74', 'bssid':'d6752fb829b88023f0a76dc4358dbb92d09ca72c6b2f1b3ab3edaf72', 'sec':3, 'channel':6, 'rssi':-86}
2023-01-26 14:40:45: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-69}
2023-01-26 14:40:45: {'ssid':'C72', 'bssid':'841ddd1f532d4e484571c91d118986dcd5cff6a64c019b1633e2947f', 'sec':0, 'channel':1, 'rssi':-76}
2023-01-26 14:40:45: {'ssid':'C73', 'bssid':'9bdd1584f63bb4665271b1168abfcba7dd3eeeae0a06f2998266dcbe', 'sec':5, 'channel':1, 'rssi':-76}
2023-01-26 14:40:45: {'ssid':'C72', 'bssid':'abdef5e841dc7b52d4947746f193412aad1f0dfa830b2e642ae8d659', 'sec':0, 'channel':11, 'rssi':-83}
2023-01-26 14:40:45: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-83}
2023-01-26 14:40:45: {'ssid':'C74', 'bssid':'d6752fb829b88023f0a76dc4358dbb92d09ca72c6b2f1b3ab3edaf72', 'sec':3, 'channel':6, 'rssi':-84}
2023-01-26 14:40:49: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-68}
2023-01-26 14:40:49: {'ssid':'C72', 'bssid':'841ddd1f532d4e484571c91d118986dcd5cff6a64c019b1633e2947f', 'sec':0, 'channel':1, 'rssi':-75}
2023-01-26 14:40:49: {'ssid':'C73', 'bssid':'9bdd1584f63bb4665271b1168abfcba7dd3eeeae0a06f2998266dcbe', 'sec':5, 'channel':1, 'rssi':-75}
2023-01-26 14:40:49: {'ssid':'C72', 'bssid':'abdef5e841dc7b52d4947746f193412aad1f0dfa830b2e642ae8d659', 'sec':0, 'channel':11, 'rssi':-83}
2023-01-26 14:40:49: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-83}
2023-01-26 14:40:49: {'ssid':'C74', 'bssid':'d6752fb829b88023f0a76dc4358dbb92d09ca72c6b2f1b3ab3edaf72', 'sec':3, 'channel':6, 'rssi':-86}
2023-01-26 14:40:53: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-67}
2023-01-26 14:40:53: {'ssid':'C72', 'bssid':'841ddd1f532d4e484571c91d118986dcd5cff6a64c019b1633e2947f', 'sec':0, 'channel':1, 'rssi':-74}
2023-01-26 14:40:53: {'ssid':'C73', 'bssid':'9bdd1584f63bb4665271b1168abfcba7dd3eeeae0a06f2998266dcbe', 'sec':5, 'channel':1, 'rssi':-74}
2023-01-26 14:40:53: {'ssid':'C72', 'bssid':'abdef5e841dc7b52d4947746f193412aad1f0dfa830b2e642ae8d659', 'sec':0, 'channel':11, 'rssi':-83}
2023-01-26 14:40:53: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-83}
2023-01-26 14:40:53: {'ssid':'C74', 'bssid':'d6752fb829b88023f0a76dc4358dbb92d09ca72c6b2f1b3ab3edaf72', 'sec':3, 'channel':6, 'rssi':-85}
2023-01-26 14:40:57: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-70}
2023-01-26 14:40:57: {'ssid':'C72', 'bssid':'841ddd1f532d4e484571c91d118986dcd5cff6a64c019b1633e2947f', 'sec':0, 'channel':1, 'rssi':-73}
2023-01-26 14:40:57: {'ssid':'C73', 'bssid':'9bdd1584f63bb4665271b1168abfcba7dd3eeeae0a06f2998266dcbe', 'sec':5, 'channel':1, 'rssi':-75}
2023-01-26 14:40:57: {'ssid':'C72', 'bssid':'abdef5e841dc7b52d4947746f193412aad1f0dfa830b2e642ae8d659', 'sec':0, 'channel':11, 'rssi':-81}
2023-01-26 14:40:57: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-82}
2023-01-26 14:40:57: {'ssid':'C74', 'bssid':'d6752fb829b88023f0a76dc4358dbb92d09ca72c6b2f1b3ab3edaf72', 'sec':3, 'channel':6, 'rssi':-87}
2023-01-26 14:41:01: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-67}
2023-01-26 14:41:01: {'ssid':'C72', 'bssid':'841ddd1f532d4e484571c91d118986dcd5cff6a64c019b1633e2947f', 'sec':0, 'channel':1, 'rssi':-71}
2023-01-26 14:41:01: {'ssid':'C73', 'bssid':'9bdd1584f63bb4665271b1168abfcba7dd3eeeae0a06f2998266dcbe', 'sec':5, 'channel':1, 'rssi':-73}
2023-01-26 14:41:01: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-82}
2023-01-26 14:41:01: {'ssid':'C72', 'bssid':'abdef5e841dc7b52d4947746f193412aad1f0dfa830b2e642ae8d659', 'sec':0, 'channel':11, 'rssi':-83}
2023-01-26 14:41:01: {'ssid':'C74', 'bssid':'d6752fb829b88023f0a76dc4358dbb92d09ca72c6b2f1b3ab3edaf72', 'sec':3, 'channel':6, 'rssi':-88}
2023-01-26 14:41:05: {'ssid':'C72', 'bssid':'841ddd1f532d4e484571c91d118986dcd5cff6a64c019b1633e2947f', 'sec':0, 'channel':1, 'rssi':-74}
2023-01-26 14:41:05: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-74}
2023-01-26 14:41:05: {'ssid':'C73', 'bssid':'9bdd1584f63bb4665271b1168abfcba7dd3eeeae0a06f2998266dcbe', 'sec':5, 'channel':1, 'rssi':-76}
2023-01-26 14:41:05: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-79}
2023-01-26 14:41:05: {'ssid':'C72', 'bssid':'abdef5e841dc7b52d4947746f193412aad1f0dfa830b2e642ae8d659', 'sec':0, 'channel':11, 'rssi':-82}
2023-01-26 14:41:05: {'ssid':'C74', 'bssid':'d6752fb829b88023f0a76dc4358dbb92d09ca72c6b2f1b3ab3edaf72', 'sec':3, 'channel':6, 'rssi':-84}
2023-01-26 14:41:09: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-67}
2023-01-26 14:41:09: {'ssid':'C72', 'bssid':'841ddd1f532d4e484571c91d118986dcd5cff6a64c019b1633e2947f', 'sec':0, 'channel':1, 'rssi':-73}
2023-01-26 14:41:09: {'ssid':'C73', 'bssid':'9bdd1584f63bb4665271b1168abfcba7dd3eeeae0a06f2998266dcbe', 'sec':5, 'channel':1, 'rssi':-75}
2023-01-26 14:41:09: {'ssid':'C72', 'bssid':'abdef5e841dc7b52d4947746f193412aad1f0dfa830b2e642ae8d659', 'sec':0, 'channel':11, 'rssi':-83}
2023-01-26 14:41:09: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-83}
2023-01-26 14:41:09: {'ssid':'C74', 'bssid':'d6752fb829b88023f0a76dc4358dbb92d09ca72c6b2f1b3ab3edaf72', 'sec':3, 'channel':6, 'rssi':-85}
2023-01-26 14:41:13: {'ssid':'C73', 'bssid':'9bdd1584f63bb4665271b1168abfcba7dd3eeeae0a06f2998266dcbe', 'sec':5, 'channel':1, 'rssi':-75}
2023-01-26 14:41:13: {'ssid':'C72', 'bssid':'841ddd1f532d4e484571c91d118986dcd5cff6a64c019b1633e2947f', 'sec':0, 'channel':1, 'rssi':-76}
2023-01-26 14:41:13: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-82}
2023-01-26 14:41:13: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-82}
2023-01-26 14:41:13: {'ssid':'C74', 'bssid':'d6752fb829b88023f0a76dc4358dbb92d09ca72c6b2f1b3ab3edaf72', 'sec':3, 'channel':6, 'rssi':-86}
2023-01-26 14:41:17: {'ssid':'C72', 'bssid':'841ddd1f532d4e484571c91d118986dcd5cff6a64c019b1633e2947f', 'sec':0, 'channel':1, 'rssi':-74}
2023-01-26 14:41:17: {'ssid':'C73', 'bssid':'9bdd1584f63bb4665271b1168abfcba7dd3eeeae0a06f2998266dcbe', 'sec':5, 'channel':1, 'rssi':-74}
2023-01-26 14:41:17: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-79}
2023-01-26 14:41:17: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-82}
2023-01-26 14:41:17: {'ssid':'C72', 'bssid':'abdef5e841dc7b52d4947746f193412aad1f0dfa830b2e642ae8d659', 'sec':0, 'channel':11, 'rssi':-84}
2023-01-26 14:41:17: {'ssid':'C74', 'bssid':'d6752fb829b88023f0a76dc4358dbb92d09ca72c6b2f1b3ab3edaf72', 'sec':3, 'channel':6, 'rssi':-86}
2023-01-26 14:41:21: {'ssid':'C72', 'bssid':'841ddd1f532d4e484571c91d118986dcd5cff6a64c019b1633e2947f', 'sec':0, 'channel':1, 'rssi':-74}
2023-01-26 14:41:21: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-74}
2023-01-26 14:41:21: {'ssid':'C73', 'bssid':'9bdd1584f63bb4665271b1168abfcba7dd3eeeae0a06f2998266dcbe', 'sec':5, 'channel':1, 'rssi':-76}
2023-01-26 14:41:21: {'ssid':'C72', 'bssid':'abdef5e841dc7b52d4947746f193412aad1f0dfa830b2e642ae8d659', 'sec':0, 'channel':11, 'rssi':-80}
2023-01-26 14:41:21: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-81}
