Testing SD card write operations: 2022-09-13 17:38:34
2022-09-13 17:39:00: {'Acceleration': '(-0.317749, 0.01708984, 0.9708252)', 'Roll': '18.12316', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.9563035'}
2022-09-13 17:39:01: {'Acceleration': '(-0.3175049, 0.01782227, 0.9686279)', 'Roll': '18.14854', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.001667'}
2022-09-13 17:39:01: {'Acceleration': '(-0.3165283, 0.01574707, 0.9682617)', 'Roll': '18.10276', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.8856201'}
2022-09-13 17:39:02: {'Acceleration': '(-0.3149414, 0.01696777, 0.9672852)', 'Roll': '18.03489', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-0.955593'}
2022-09-13 17:39:03: {'Acceleration': '(-0.317627, 0.01599121, 0.9658203)', 'Roll': '18.00809', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.9021071'}
2022-09-13 17:39:04: {'Acceleration': '(-0.3088379, 0.008300781, 0.9447021)', 'Roll': '18.12961', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.52955'}
2022-09-13 17:39:05: {'Acceleration': '(-0.317749, 0.01586914, 0.9584961)', 'Roll': '18.1499', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.9567898'}
2022-09-13 17:39:06: {'Acceleration': '(-0.3116455, 0.015625, 0.9663086)', 'Roll': '18.08013', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.9919461'}
2022-09-13 17:39:06: {'Acceleration': '(-0.3190918, 0.01904297, 0.9645996)', 'Roll': '18.20754', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.8424615'}
2022-09-13 17:39:07: {'Acceleration': '(-0.3165283, 0.01818848, 0.9719238)', 'Roll': '18.03897', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.9826384'}
2022-09-13 17:39:08: {'Acceleration': '(-0.3153076, 0.01647949, 0.9711914)', 'Roll': '17.98657', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.949912'}
2022-09-13 17:39:09: {'Acceleration': '(-0.3178711, 0.01586914, 0.9675293)', 'Roll': '18.18737', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.8922198'}
2022-09-13 17:39:10: {'Acceleration': '(-0.3154297, 0.01745605, 0.9725342)', 'Roll': '17.96984', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.041243'}
2022-09-13 17:39:11: {'Acceleration': '(-0.3181152, 0.01757813, 0.9678955)', 'Roll': '18.19398', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-0.988438'}
2022-09-13 17:39:11: {'Acceleration': '(-0.3178711, 0.01733398, 0.975708)', 'Roll': '18.04483', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.9677332'}
2022-09-13 17:39:12: {'Acceleration': '(-0.315918, 0.0189209, 0.9765625)', 'Roll': '17.92639', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.056093'}
2022-09-13 17:39:13: {'Acceleration': '(-0.3122559, 0.01745605, 0.9663086)', 'Roll': '17.90788', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-0.9847879'}
2022-09-13 17:39:14: {'Acceleration': '(-0.3127441, 0.0177002, 0.9692383)', 'Roll': '18.01459', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.9660388'}
