Testing SD card write operations: 2022-07-03 10:15:04
2022-07-03 10:15:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '59e4d0957cc5cafc763daf5c0bf88a127f926b4a5da3e3bb2ad4a925d4a1c793', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-03 10:15:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd76b688d1f44851399883cb4229b742ccc0c6915dfd1ea9e161dd1e2529ee79e', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd7da55c96f8dcd63b92ed93b723aae50d935a24f3c6190643ed40044d682ba76', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2338c0b22419b0a0c19e88d2cfeef0c87535e1cab8b8cef27b5fde4898284995', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'eb17af69ecef016424672518f733c02187c7548ad5071a91205129e8267dc633', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:27: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '603582249ce19d728f54eef4fcf59be0bda28406f570f5a85cf62e6815da62a4', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3cd2c821d00030b88373a8a12c874ecdf9f471344af1f25b04528b486e5ad45a', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '59e4d0957cc5cafc763daf5c0bf88a127f926b4a5da3e3bb2ad4a925d4a1c793', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-03 10:15:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '86933c01763d01ccb7b0a521cf108fad39e5ddbeb0825e3122714f97f13b2d39', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 10:15:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3cd2c821d00030b88373a8a12c874ecdf9f471344af1f25b04528b486e5ad45a', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd7da55c96f8dcd63b92ed93b723aae50d935a24f3c6190643ed40044d682ba76', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2338c0b22419b0a0c19e88d2cfeef0c87535e1cab8b8cef27b5fde4898284995', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c0f66262ec49722fa94e70e6ea8855507e59b7df5c74b968904ecd9afaeebbe0', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 10:15:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '083a85c441c00f8773f8b8f1a94751b51412be0d0174311f7e189429af437554', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 10:15:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0feb61cfe6f6e389ffe565aa8becf117840d8b1742ef5a219168335c04f89337', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 10:15:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '31726e7655150e8a9324db49936bd2270580a9ef91c4caa20f2970ad8b2ded7b', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 10:15:37: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '4a5c52aaeef69bbf670204eef7358b6c9628d49ecbbf708a1a24ccafaa273c5d', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'fe7960b23dbf817632ce6196292a4c7cb84cf56b667b78792fc3e7955bec55b7', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e36d4032d122ae94092e28c6952e36d9581deb5acc7888cc4957358820a3772b', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 10:15:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e36d4032d122ae94092e28c6952e36d9581deb5acc7888cc4957358820a3772b', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 10:15:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2792f8cf8e553b8880b38150b085906a4e7d1b95ff8b5cf8375d800444f706d0', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 10:15:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'fe7960b23dbf817632ce6196292a4c7cb84cf56b667b78792fc3e7955bec55b7', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecf4cdfa544ae9545cbb7a441ea4705913933fa50ae585b1c2ea106c8ebd9595', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ecf4cdfa544ae9545cbb7a441ea4705913933fa50ae585b1c2ea106c8ebd9595', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0feb61cfe6f6e389ffe565aa8becf117840d8b1742ef5a219168335c04f89337', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 10:15:45: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '6c916110477c4682e56441f933f338307f60fe732f9fa254525e0a4f0a0d1a47', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
