Testing SD card write operations: 2022-07-07 10:00:46
2022-07-07 10:00:56: {'ssid':'C24', 'bssid':'7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a', 'sec':3, 'channel':11, 'rssi':-77}
2022-07-07 10:00:58: {'ssid':'C20', 'bssid':'97760bd367789c29718bc4ee12e1310509330e18064fdb8fee4ab28a', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-07 10:00:58: {'ssid':'C21', 'bssid':'8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7', 'sec':5, 'channel':1, 'rssi':-56}
2022-07-07 10:00:58: {'ssid':'C22', 'bssid':'aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06', 'sec':0, 'channel':1, 'rssi':-57}
2022-07-07 10:01:00: {'ssid':'C20', 'bssid':'97760bd367789c29718bc4ee12e1310509330e18064fdb8fee4ab28a', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-07 10:01:00: {'ssid':'C21', 'bssid':'8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7', 'sec':5, 'channel':1, 'rssi':-57}
2022-07-07 10:01:00: {'ssid':'C22', 'bssid':'aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06', 'sec':0, 'channel':1, 'rssi':-60}
2022-07-07 10:01:00: {'ssid':'C22', 'bssid':'bd2288fa3afc6a135695c379b319f5114cceaec83e39a2a0535f8db7', 'sec':0, 'channel':1, 'rssi':-93}
2022-07-07 10:01:02: {'ssid':'C20', 'bssid':'97760bd367789c29718bc4ee12e1310509330e18064fdb8fee4ab28a', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-07 10:01:02: {'ssid':'C21', 'bssid':'8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7', 'sec':5, 'channel':1, 'rssi':-56}
2022-07-07 10:01:02: {'ssid':'C22', 'bssid':'aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06', 'sec':0, 'channel':1, 'rssi':-57}
2022-07-07 10:01:02: {'ssid':'C21', 'bssid':'a1cb3b89790ea1ea5144ef07617501d5bb990725f666657c36a7f61e', 'sec':5, 'channel':6, 'rssi':-87}
2022-07-07 10:01:04: {'ssid':'C20', 'bssid':'97760bd367789c29718bc4ee12e1310509330e18064fdb8fee4ab28a', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-07 10:01:04: {'ssid':'C21', 'bssid':'8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7', 'sec':5, 'channel':1, 'rssi':-54}
2022-07-07 10:01:04: {'ssid':'C22', 'bssid':'aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06', 'sec':0, 'channel':1, 'rssi':-56}
2022-07-07 10:01:04: {'ssid':'C21', 'bssid':'1162c8ae3ba77ddde6b284db307e215ccb5a2cb7359c42270be70349', 'sec':5, 'channel':1, 'rssi':-92}
2022-07-07 10:01:04: {'ssid':'C24', 'bssid':'7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a', 'sec':3, 'channel':11, 'rssi':-93}
2022-07-07 10:01:06: {'ssid':'C20', 'bssid':'97760bd367789c29718bc4ee12e1310509330e18064fdb8fee4ab28a', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-07 10:01:06: {'ssid':'C21', 'bssid':'8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7', 'sec':5, 'channel':1, 'rssi':-53}
2022-07-07 10:01:06: {'ssid':'C22', 'bssid':'aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06', 'sec':0, 'channel':1, 'rssi':-55}
2022-07-07 10:01:06: {'ssid':'C21', 'bssid':'1162c8ae3ba77ddde6b284db307e215ccb5a2cb7359c42270be70349', 'sec':5, 'channel':1, 'rssi':-93}
2022-07-07 10:01:06: {'ssid':'C22', 'bssid':'bb0d82a9f77cb68c5f1f2bd3f4ffefaabeaaf488d50759e4edda0793', 'sec':0, 'channel':11, 'rssi':-95}
2022-07-07 10:01:08: {'ssid':'C21', 'bssid':'8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7', 'sec':5, 'channel':1, 'rssi':-54}
2022-07-07 10:01:08: {'ssid':'C22', 'bssid':'aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06', 'sec':0, 'channel':1, 'rssi':-56}
2022-07-07 10:01:08: {'ssid':'C20', 'bssid':'97760bd367789c29718bc4ee12e1310509330e18064fdb8fee4ab28a', 'sec':3, 'channel':6, 'rssi':-57}
2022-07-07 10:01:08: {'ssid':'C23', 'bssid':'7eb81bb606f8f5353db79453ed715129c466bf81d8758d918a6afdb9', 'sec':3, 'channel':11, 'rssi':-81}
2022-07-07 10:01:08: {'ssid':'C22', 'bssid':'504b63b504d4cd105a38e7d8b2e910dc673473da708dec11cb008997', 'sec':0, 'channel':6, 'rssi':-91}
2022-07-07 10:01:08: {'ssid':'C24', 'bssid':'7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a', 'sec':3, 'channel':11, 'rssi':-92}
2022-07-07 10:01:10: {'ssid':'C20', 'bssid':'97760bd367789c29718bc4ee12e1310509330e18064fdb8fee4ab28a', 'sec':3, 'channel':6, 'rssi':-51}
2022-07-07 10:01:10: {'ssid':'C21', 'bssid':'8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7', 'sec':5, 'channel':1, 'rssi':-55}
2022-07-07 10:01:10: {'ssid':'C24', 'bssid':'7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a', 'sec':3, 'channel':11, 'rssi':-95}
2022-07-07 10:01:10: {'ssid':'C22', 'bssid':'bb0d82a9f77cb68c5f1f2bd3f4ffefaabeaaf488d50759e4edda0793', 'sec':0, 'channel':11, 'rssi':-95}
2022-07-07 10:01:12: {'ssid':'C20', 'bssid':'97760bd367789c29718bc4ee12e1310509330e18064fdb8fee4ab28a', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-07 10:01:12: {'ssid':'C21', 'bssid':'8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7', 'sec':5, 'channel':1, 'rssi':-54}
2022-07-07 10:01:12: {'ssid':'C22', 'bssid':'aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06', 'sec':0, 'channel':1, 'rssi':-56}
2022-07-07 10:01:12: {'ssid':'C24', 'bssid':'7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a', 'sec':3, 'channel':11, 'rssi':-85}
2022-07-07 10:01:12: {'ssid':'C22', 'bssid':'bd2288fa3afc6a135695c379b319f5114cceaec83e39a2a0535f8db7', 'sec':0, 'channel':1, 'rssi':-93}
2022-07-07 10:01:12: {'ssid':'C21', 'bssid':'383953a0b3515d8de00b437fefb502cf89fa28da04c8521588e74fa9', 'sec':5, 'channel':6, 'rssi':-94}
2022-07-07 10:01:14: {'ssid':'C21', 'bssid':'8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7', 'sec':5, 'channel':1, 'rssi':-54}
2022-07-07 10:01:14: {'ssid':'C20', 'bssid':'97760bd367789c29718bc4ee12e1310509330e18064fdb8fee4ab28a', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-07 10:01:14: {'ssid':'C22', 'bssid':'aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06', 'sec':0, 'channel':1, 'rssi':-55}
2022-07-07 10:01:14: {'ssid':'C23', 'bssid':'7eb81bb606f8f5353db79453ed715129c466bf81d8758d918a6afdb9', 'sec':3, 'channel':11, 'rssi':-76}
2022-07-07 10:01:14: {'ssid':'C24', 'bssid':'7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a', 'sec':3, 'channel':11, 'rssi':-90}
2022-07-07 10:01:15: {'ssid':'C20', 'bssid':'97760bd367789c29718bc4ee12e1310509330e18064fdb8fee4ab28a', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-07 10:01:15: {'ssid':'C21', 'bssid':'8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7', 'sec':5, 'channel':1, 'rssi':-54}
