Testing SD card write operations: 2022-07-07 10:00:46
2022-07-07 10:01:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '293a6217dff8e4f1ceb6535c0497ca01e10632ad214cfeee71d21e8025c4f3c9', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e31694c3b76ac0b7975b923e7d6f8b058d22c3c2e7f0604620aef16a87b71da3', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '393cfb1940df8a6f20805c3421e2f2860d4fad77d331d839a93af671dd11de47', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 10:01:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d5bf14b41b73feba78a2c887fef326ba9765f17a86cc114a606445fdb1be7fe', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '293a6217dff8e4f1ceb6535c0497ca01e10632ad214cfeee71d21e8025c4f3c9', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '393cfb1940df8a6f20805c3421e2f2860d4fad77d331d839a93af671dd11de47', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 10:01:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '305e799d12fefb5b16a89e5ac636a3e84ea3862fe9436cd094ee86006e09a2d0', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:12: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'f6314be20781fd5fb7ce1e021ce5f7f2fdaf59cb9904634ffa119448338bb315', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '293a6217dff8e4f1ceb6535c0497ca01e10632ad214cfeee71d21e8025c4f3c9', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'cbcdcced4bf6c992ecdef0dc02d4ad697a36c25581278f4cdb8fe552cbf19c2d', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d5bf14b41b73feba78a2c887fef326ba9765f17a86cc114a606445fdb1be7fe', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:01:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c6ef3ca358d592186129278f7fca19dd9612e722772e787df58e8aa3844bc493', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:01:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
