Testing SD card write operations: 2022-07-06 13:31:32
2022-07-06 13:33:30: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-62}
2022-07-06 13:33:30: {'ssid':'M41', 'bssid':'4897ea73c3964e7f4f9629be8d1afad3112b48db408e91df4abbab63', 'sec':0, 'channel':1, 'rssi':-73}
2022-07-06 13:33:34: {'ssid':'M41', 'bssid':'4897ea73c3964e7f4f9629be8d1afad3112b48db408e91df4abbab63', 'sec':0, 'channel':1, 'rssi':-76}
2022-07-06 13:33:36: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-58}
2022-07-06 13:33:40: {'ssid':'M44', 'bssid':'c6ff9ceb346788992e5e67c3306f9b87b82fbbfe37f17ae3a6e7d7bc', 'sec':3, 'channel':6, 'rssi':-78}
2022-07-06 13:33:41: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-06 13:33:43: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-55}
2022-07-06 13:33:43: {'ssid':'M41', 'bssid':'4897ea73c3964e7f4f9629be8d1afad3112b48db408e91df4abbab63', 'sec':0, 'channel':1, 'rssi':-71}
2022-07-06 13:33:47: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-06 13:33:47: {'ssid':'M44', 'bssid':'c6ff9ceb346788992e5e67c3306f9b87b82fbbfe37f17ae3a6e7d7bc', 'sec':3, 'channel':6, 'rssi':-76}
2022-07-06 13:33:49: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-56}
2022-07-06 13:33:49: {'ssid':'M41', 'bssid':'4897ea73c3964e7f4f9629be8d1afad3112b48db408e91df4abbab63', 'sec':0, 'channel':1, 'rssi':-74}
2022-07-06 13:33:49: {'ssid':'M44', 'bssid':'c6ff9ceb346788992e5e67c3306f9b87b82fbbfe37f17ae3a6e7d7bc', 'sec':3, 'channel':6, 'rssi':-78}
2022-07-06 13:33:51: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-06 13:33:51: {'ssid':'M41', 'bssid':'4897ea73c3964e7f4f9629be8d1afad3112b48db408e91df4abbab63', 'sec':0, 'channel':1, 'rssi':-69}
2022-07-06 13:33:53: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-06 13:33:55: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-06 13:33:55: {'ssid':'M41', 'bssid':'4897ea73c3964e7f4f9629be8d1afad3112b48db408e91df4abbab63', 'sec':0, 'channel':1, 'rssi':-73}
2022-07-06 13:33:55: {'ssid':'M44', 'bssid':'c6ff9ceb346788992e5e67c3306f9b87b82fbbfe37f17ae3a6e7d7bc', 'sec':3, 'channel':6, 'rssi':-83}
2022-07-06 13:33:57: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-57}
2022-07-06 13:33:57: {'ssid':'M41', 'bssid':'4897ea73c3964e7f4f9629be8d1afad3112b48db408e91df4abbab63', 'sec':0, 'channel':1, 'rssi':-81}
2022-07-06 13:33:58: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-06 13:34:00: {'ssid':'M41', 'bssid':'4897ea73c3964e7f4f9629be8d1afad3112b48db408e91df4abbab63', 'sec':0, 'channel':1, 'rssi':-80}
2022-07-06 13:34:04: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-61}
2022-07-06 13:34:04: {'ssid':'M44', 'bssid':'c6ff9ceb346788992e5e67c3306f9b87b82fbbfe37f17ae3a6e7d7bc', 'sec':3, 'channel':6, 'rssi':-72}
2022-07-06 13:34:06: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-59}
2022-07-06 13:34:06: {'ssid':'M41', 'bssid':'4897ea73c3964e7f4f9629be8d1afad3112b48db408e91df4abbab63', 'sec':0, 'channel':1, 'rssi':-74}
2022-07-06 13:34:06: {'ssid':'M44', 'bssid':'c6ff9ceb346788992e5e67c3306f9b87b82fbbfe37f17ae3a6e7d7bc', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-06 13:34:08: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-06 13:34:10: {'ssid':'M41', 'bssid':'4897ea73c3964e7f4f9629be8d1afad3112b48db408e91df4abbab63', 'sec':0, 'channel':1, 'rssi':-69}
2022-07-06 13:34:10: {'ssid':'M44', 'bssid':'c6ff9ceb346788992e5e67c3306f9b87b82fbbfe37f17ae3a6e7d7bc', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-06 13:34:11: {'ssid':'M43', 'bssid':'478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b', 'sec':3, 'channel':6, 'rssi':-51}
