Testing SD card write operations: 2022-07-06 13:31:32
2022-07-06 13:31:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '890242871dc1173247fe4dd4db0d6ef0c94f3a6d2f0f927286e0b0a0', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:31:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '573b56045c2b22088de9fbd51934fc411fcee653cf3505355b0b95c2', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:31:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5e586133031babec23301bdd75bba7e990c1705c7732540599340716', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:31:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5e586133031babec23301bdd75bba7e990c1705c7732540599340716', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:31:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5e586133031babec23301bdd75bba7e990c1705c7732540599340716', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 13:31:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3fca6d970e77ea9df0b62f20cc3ea9872cfda3fb6f07eca1adfd4701', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-06 13:31:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aaa4ae2ff531e342ce4354008a8877a78e95df64256e9982cd54fd73', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:31:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9e256b9d577bc760dcd6a7ad1d52ef8ad20c6746c6afc56a84bb4906', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:31:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3fca6d970e77ea9df0b62f20cc3ea9872cfda3fb6f07eca1adfd4701', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-06 13:31:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cd62c9381c84372ef3cd7257abb3f6cb0aa92df0cf91ad2f5010476f', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
