Testing SD card write operations: 2023-01-10 12:13:53
2023-01-10 12:14:09: {'name': None, 'adv_flag': None, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4f55be3ee93a34302f7afa33a96d498d4c8a9d5c81fc1d9615b2cfe5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:10: {'name': None, 'adv_flag': 26, 'rssi': -70, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '2387e6319ea51f06bca53fd771d0f904bd4301c1f4a96249e641f28b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:11: {'name': None, 'adv_flag': 26, 'rssi': -70, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '672f0e8d59cbdec2500ba1d400d1ba6251e108903a2914ca7840076d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:12: {'name': None, 'adv_flag': 26, 'rssi': -68, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '672f0e8d59cbdec2500ba1d400d1ba6251e108903a2914ca7840076d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:13: {'name': None, 'adv_flag': 26, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '312dc89238b5a3971393ee773db94227b29e4bc3f543ba6cbba3898b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:13: {'name': None, 'adv_flag': None, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd23823b5e62603c10a750add13f82b2c054d14e37dc61e0258a92ba7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:14: {'name': None, 'adv_flag': None, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:15: {'name': None, 'adv_flag': 26, 'rssi': -67, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '2387e6319ea51f06bca53fd771d0f904bd4301c1f4a96249e641f28b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:16: {'name': None, 'adv_flag': None, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:16: {'name': None, 'adv_flag': None, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:17: {'name': None, 'adv_flag': None, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd23823b5e62603c10a750add13f82b2c054d14e37dc61e0258a92ba7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:18: {'name': None, 'adv_flag': None, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:19: {'name': None, 'adv_flag': 26, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '337d7f74731c9960ac9dc08a57558e38a8f3d1b5dca7fe5d7c37c2ae', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:20: {'name': None, 'adv_flag': 26, 'rssi': -68, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '2387e6319ea51f06bca53fd771d0f904bd4301c1f4a96249e641f28b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:20: {'name': None, 'adv_flag': 26, 'rssi': -66, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': 'e3e1d3b52f614fea29834c9ca993aa5a08f34ee25c44dc0194d3209c', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:21: {'name': None, 'adv_flag': 26, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '672f0e8d59cbdec2500ba1d400d1ba6251e108903a2914ca7840076d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:22: {'name': None, 'adv_flag': None, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '682127c1a1ec6858d8b89e969d9b25c344e12c43b80f6d5321fef6de', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:23: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '165411f552017b4d46168af6515dd93de8984959e38710a221fd639a', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:23: {'name': None, 'adv_flag': 26, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a06366e2cc6842b4cd28bff9c14d99e1804ba62904c3d3ab8f430a96', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:24: {'name': None, 'adv_flag': 26, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a06366e2cc6842b4cd28bff9c14d99e1804ba62904c3d3ab8f430a96', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:25: {'name': None, 'adv_flag': None, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4f55be3ee93a34302f7afa33a96d498d4c8a9d5c81fc1d9615b2cfe5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:26: {'name': None, 'adv_flag': None, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4f55be3ee93a34302f7afa33a96d498d4c8a9d5c81fc1d9615b2cfe5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:27: {'name': None, 'adv_flag': 26, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '337d7f74731c9960ac9dc08a57558e38a8f3d1b5dca7fe5d7c37c2ae', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:27: {'name': None, 'adv_flag': None, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd23823b5e62603c10a750add13f82b2c054d14e37dc61e0258a92ba7', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-10 12:14:28: {'name': None, 'adv_flag': None, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4f55be3ee93a34302f7afa33a96d498d4c8a9d5c81fc1d9615b2cfe5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
