Testing SD card write operations: 2022-07-08 21:49:25
2022-07-08 21:49:58: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-08 21:49:58: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-75}
2022-07-08 21:49:58: {'ssid':'HUAWEI P8 lite 2017', 'bssid':b'l\xb7I\x8c\xddW', 'sec':3, 'channel':6, 'rssi':-91}
2022-07-08 21:50:00: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:50:00: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-77}
2022-07-08 21:50:02: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:50:02: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-76}
2022-07-08 21:50:04: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-08 21:50:04: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-08 21:50:05: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:50:05: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-70}
2022-07-08 21:50:07: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-40}
2022-07-08 21:50:07: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-67}
2022-07-08 21:50:09: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-08 21:50:09: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-75}
2022-07-08 21:50:11: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-08 21:50:11: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-74}
2022-07-08 21:50:11: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!2F\x8f', 'sec':0, 'channel':1, 'rssi':-90}
2022-07-08 21:50:13: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:50:13: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 21:50:15: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-08 21:50:15: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-74}
2022-07-08 21:50:17: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:50:17: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-73}
2022-07-08 21:50:17: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!2F\x8f', 'sec':0, 'channel':1, 'rssi':-90}
2022-07-08 21:50:19: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-08 21:50:19: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-75}
2022-07-08 21:50:21: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-08 21:50:21: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 21:50:21: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!2F\x8f', 'sec':0, 'channel':1, 'rssi':-90}
2022-07-08 21:50:22: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-08 21:50:22: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-73}
2022-07-08 21:50:24: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:50:24: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 21:50:26: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:50:26: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-78}
2022-07-08 21:50:28: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-08 21:50:28: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 21:50:30: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-08 21:50:30: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-74}
2022-07-08 21:50:30: {'ssid':'HUAWEI P8 lite 2017', 'bssid':b'l\xb7I\x8c\xddW', 'sec':3, 'channel':6, 'rssi':-91}
2022-07-08 21:50:32: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:50:32: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-73}
2022-07-08 21:50:34: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-08 21:50:34: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!2F\x8f', 'sec':0, 'channel':1, 'rssi':-90}
2022-07-08 21:50:36: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 21:50:36: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 21:50:37: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-56}
2022-07-08 21:50:37: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-08 21:50:37: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!2F\x8f', 'sec':0, 'channel':1, 'rssi':-90}
2022-07-08 21:50:39: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 21:50:39: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-70}
2022-07-08 21:50:39: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!2F\x8f', 'sec':0, 'channel':1, 'rssi':-89}
2022-07-08 21:50:39: {'ssid':'HUAWEI P8 lite 2017', 'bssid':b'l\xb7I\x8c\xddW', 'sec':3, 'channel':6, 'rssi':-94}
2022-07-08 21:50:41: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:50:41: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-08 21:50:43: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-08 21:50:43: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-69}
2022-07-08 21:50:45: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 21:50:45: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-67}
2022-07-08 21:50:47: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-08 21:50:47: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-08 21:50:49: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-08 21:50:49: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-70}
2022-07-08 21:50:51: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:50:51: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-69}
2022-07-08 21:50:53: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:50:53: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-70}
2022-07-08 21:50:54: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:50:54: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-70}
2022-07-08 21:50:56: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:50:56: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-70}
2022-07-08 21:50:58: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:50:58: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-08 21:51:00: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:51:00: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-08 21:51:02: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:51:02: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 21:51:04: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:51:04: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-08 21:51:06: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:51:06: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-83}
2022-07-08 21:51:07: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:51:07: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-73}
2022-07-08 21:51:07: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!2F\x8f', 'sec':0, 'channel':1, 'rssi':-90}
2022-07-08 21:51:09: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:51:09: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-08 21:51:09: {'ssid':'HUAWEI P8 lite 2017', 'bssid':b'l\xb7I\x8c\xddW', 'sec':3, 'channel':6, 'rssi':-88}
2022-07-08 21:51:11: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:51:11: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-70}
2022-07-08 21:51:13: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:51:13: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-70}
2022-07-08 21:51:15: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:51:15: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-08 21:51:17: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-74}
2022-07-08 21:51:19: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-08 21:51:19: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-73}
2022-07-08 21:51:21: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:51:21: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 21:51:21: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!2F\x8f', 'sec':0, 'channel':1, 'rssi':-89}
2022-07-08 21:51:23: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:51:23: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-08 21:51:23: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!2F\x8f', 'sec':0, 'channel':1, 'rssi':-87}
2022-07-08 21:51:24: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-70}
2022-07-08 21:51:26: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-08 21:51:26: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-70}
2022-07-08 21:51:28: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-08 21:51:28: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-73}
2022-07-08 21:51:32: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-36}
2022-07-08 21:51:34: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 21:51:36: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:51:36: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-08 21:51:36: {'ssid':'HUAWEI P8 lite 2017', 'bssid':b'l\xb7I\x8c\xddW', 'sec':3, 'channel':6, 'rssi':-91}
2022-07-08 21:51:37: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-08 21:51:37: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-08 21:51:37: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!2F\x8f', 'sec':0, 'channel':1, 'rssi':-87}
2022-07-08 21:51:39: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-55}
2022-07-08 21:51:39: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-66}
2022-07-08 21:51:41: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-08 21:51:41: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!2F\x8f', 'sec':0, 'channel':1, 'rssi':-87}
2022-07-08 21:51:41: {'ssid':'HUAWEI P8 lite 2017', 'bssid':b'l\xb7I\x8c\xddW', 'sec':3, 'channel':6, 'rssi':-93}
2022-07-08 21:51:43: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-08 21:51:43: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-69}
2022-07-08 21:51:45: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-58}
2022-07-08 21:51:45: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-68}
2022-07-08 21:51:47: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-08 21:51:47: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-69}
2022-07-08 21:51:47: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!2F\x8f', 'sec':0, 'channel':1, 'rssi':-89}
2022-07-08 21:51:47: {'ssid':'HUAWEI P8 lite 2017', 'bssid':b'l\xb7I\x8c\xddW', 'sec':3, 'channel':6, 'rssi':-89}
2022-07-08 21:51:49: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-08 21:51:49: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!2F\x8f', 'sec':0, 'channel':1, 'rssi':-89}
2022-07-08 21:51:49: {'ssid':'HUAWEI P8 lite 2017', 'bssid':b'l\xb7I\x8c\xddW', 'sec':3, 'channel':6, 'rssi':-89}
2022-07-08 21:51:51: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-42}
