Testing SD card write operations: 2022-07-08 21:49:25
2022-07-08 21:49:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3efe45507477da0b214a878f16f09098eb00b9dbc8b7940f322b4c4be6cefe61', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 21:49:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1d9a550857b851d45acfdd4ac87c8ec737c22a5b2e0ecdeed09ae2b406dbf80a', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:49:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4ddb02dc32f67fc249bed022efbb2bd316405b2d00f07f9eb90a6454abd30901', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:49:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4ddb02dc32f67fc249bed022efbb2bd316405b2d00f07f9eb90a6454abd30901', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:49:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3efe45507477da0b214a878f16f09098eb00b9dbc8b7940f322b4c4be6cefe61', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 21:49:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bdfb66d6d63f6a5234dad01f711553f6ce7841e8be800b90ec37335f8f77621f', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:49:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4ddb02dc32f67fc249bed022efbb2bd316405b2d00f07f9eb90a6454abd30901', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:49:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4ddb02dc32f67fc249bed022efbb2bd316405b2d00f07f9eb90a6454abd30901', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:49:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '62ba6df9c64f033f82e8bf82a20422e5cdb29e6b4caff4bd7f351fbe47df1cc2', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:49:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '781ed21433f6e9a23f52e282b80dcb04d8d00de192ba9e238ed74dbb81fe24a8', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:49:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '23ea2d98cc4ddce2af56184771aa4dc832d4fd35cb03b2ba611f041b2a9ba804', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:49:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b93c0afb944527a7d63593b66f1515874e1a0f81e165d9cf6d9405788217cd70', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:49:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0bf570caf20666fa83ec99912d4dff86925c81eb871c657a9adee3557593c160', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:49:53: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '408faa3cfa4d5cf6b965a890f47e879a39e74ae7f296437fb185c3c6b09830ec', 'rssi': -67, 'name': 'Tb103', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -20, 'adv_tx_pwr': 3}
2022-07-08 21:49:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0bf570caf20666fa83ec99912d4dff86925c81eb871c657a9adee3557593c160', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:49:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd02ef658ed8913a670cb27dc0c5e0885d1e86f6300a67ebb21747367b40047a4', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:49:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6422c0afab7031d06b8c9ffeb25bef4de8e1363c14b0073f98eb28f37d802bbf', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:49:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5f605ca92deeeaa2c0b9c8271f2a120997c0296838c332f1d5c727be4b097fb2', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:49:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1d9a550857b851d45acfdd4ac87c8ec737c22a5b2e0ecdeed09ae2b406dbf80a', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:49:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4ddb02dc32f67fc249bed022efbb2bd316405b2d00f07f9eb90a6454abd30901', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:49:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f4257af3265a9a43aefd8c9b85682f5d10a225afcb9c4baa10738be1ad4e3b8d', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-07-08 21:49:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3efe45507477da0b214a878f16f09098eb00b9dbc8b7940f322b4c4be6cefe61', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 21:50:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4bb617b519c698bc93c5506168fd91da90b01a586e1ce8f718ad7baf7df3943d', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '781ed21433f6e9a23f52e282b80dcb04d8d00de192ba9e238ed74dbb81fe24a8', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4ddb02dc32f67fc249bed022efbb2bd316405b2d00f07f9eb90a6454abd30901', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:50:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ee384710abdc98018fad4c2e0bcf1526f8f21d22ebc8a6cdf322610c15592f56', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
