Testing SD card write operations: 2022-07-08 21:23:16
2022-07-08 21:24:09: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-08 21:24:13: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-08 21:24:14: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-08 21:24:16: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-08 21:24:18: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-08 21:24:20: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-08 21:24:22: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 21:24:24: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-08 21:24:26: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-08 21:24:27: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:24:31: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-08 21:24:31: {'ssid':'M33', 'bssid':'e2122deec662ef03d5b7edd93f62fa6d3b1ec3d02d89abe147be4203e1f879bf', 'sec':3, 'channel':11, 'rssi':-81}
2022-07-08 21:24:33: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-51}
2022-07-08 21:24:35: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-08 21:24:37: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-57}
2022-07-08 21:24:39: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-51}
2022-07-08 21:24:40: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-53}
2022-07-08 21:24:40: {'ssid':'M33', 'bssid':'e2122deec662ef03d5b7edd93f62fa6d3b1ec3d02d89abe147be4203e1f879bf', 'sec':3, 'channel':11, 'rssi':-72}
2022-07-08 21:24:42: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-52}
2022-07-08 21:24:42: {'ssid':'M32', 'bssid':'8639a9ed4c3332035b40f41ecb6877c9b82325c1b60bf5f82c3c79977a0a32af', 'sec':3, 'channel':11, 'rssi':-96}
