Testing SD card write operations: 2022-07-08 21:23:16
2022-07-08 21:23:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2da4e640a28b03ed82fd9d16156ce0e1a210dbaf32f6266bb2f762f4b8d32120', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:23:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a71c1b78a93182b4139901e251c086d10a440a9e53de6182e6654f14b5b2cbf4', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:23:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c29b451507c59e33551bfdce4e5dc7bea34c22c457b1b96a6536d1d21e6bd29e', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:23:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f429c01d4a040a051192040f79a121077999dffe1da085d8e58209fd8cada0a3', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:23:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2da4e640a28b03ed82fd9d16156ce0e1a210dbaf32f6266bb2f762f4b8d32120', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:23:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b4b953ad437eac1c0d21125dd7e29c88a0f39c8d2cbe166ce532320c9ae75319', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:23:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '60d617e6dfec9c1c1d02c43d5b7f6d909bd8802cc73685872c3fe7aa9d0c84d8', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:23:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '082c30ef74bf53e9d0d12cf23db97068328fc5632cbb324deddf333aa2c36ae6', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 21:23:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '08eb2e1daf7f33fd118da56bb98b3c67fdff12bf794f369493fd74b081e5f4c4', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:23:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8a4342c298603b16ab744897a033b4efff9e9f08db5263824c08b62eef60cadb', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:23:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd1c9a7296e73e96b6ef1007ec8dda2b449eba5d322a262b8023f6c84840c4de1', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-07-08 21:23:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8d8853682bcbd601faea9a7a18a3799bbd7d7b0d168129152ac8f22e3d4e9542', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-07-08 21:23:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2da4e640a28b03ed82fd9d16156ce0e1a210dbaf32f6266bb2f762f4b8d32120', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:23:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '2cbaa68e37350e296cb49186e8c6bd27bcc88df1bb436106fdc582338d0ef55d', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:23:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '875323634e5307a402496b24630b12b5efb2c3e7d38f4553272c6b2ea8e8c168', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
