Testing SD card write operations: 2022-07-08 21:23:22
2022-07-08 21:23:50: {'Acceleration': '(-0.4736328, -0.5023193, 0.7474365)', 'Roll': '32.36147', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '29.58262'}
2022-07-08 21:23:51: {'Acceleration': '(-0.5019531, -0.5054932, 0.8146973)', 'Roll': '31.383', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '27.35727'}
2022-07-08 21:23:52: {'Acceleration': '(-0.4998779, -0.5093994, 0.7810059)', 'Roll': '32.62102', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '28.78211'}
2022-07-08 21:23:53: {'Acceleration': '(-0.4482422, -0.503418, 0.7421875)', 'Roll': '30.51059', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '28.48527'}
2022-07-08 21:23:54: {'Acceleration': '(-0.5234375, -0.4589844, 0.6550293)', 'Roll': '38.62854', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '28.69629'}
2022-07-08 21:23:55: {'Acceleration': '(-0.5351563, -0.5419922, 0.7137451)', 'Roll': '36.86205', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '31.48466'}
2022-07-08 21:23:56: {'Acceleration': '(-0.505249, -0.5390625, 0.6972656)', 'Roll': '35.92764', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '32.04788'}
2022-07-08 21:23:56: {'Acceleration': '(-0.5074463, -0.519165, 0.7015381)', 'Roll': '35.87949', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '31.71089'}
2022-07-08 21:23:57: {'Acceleration': '(-0.5145264, -0.5484619, 0.7138672)', 'Roll': '35.22021', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '32.18667'}
2022-07-08 21:23:58: {'Acceleration': '(-0.4719238, -0.4876709, 0.7646484)', 'Roll': '31.68195', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '29.07441'}
2022-07-08 21:23:59: {'Acceleration': '(-0.5085449, -0.5465088, 0.7965088)', 'Roll': '32.5569', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '30.04122'}
2022-07-08 21:24:00: {'Acceleration': '(-0.4604492, -0.4951172, 0.7889404)', 'Roll': '30.26911', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '28.4583'}
2022-07-08 21:24:01: {'Acceleration': '(-0.4825439, -0.4544678, 0.8037109)', 'Roll': '31.89564', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '26.37692'}
2022-07-08 21:24:02: {'Acceleration': '(-0.5093994, -0.5263672, 0.7772217)', 'Roll': '33.24126', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '29.52829'}
2022-07-08 21:24:02: {'Acceleration': '(-0.4638672, -0.4422607, 0.8968506)', 'Roll': '27.34882', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '23.42119'}
2022-07-08 21:24:03: {'Acceleration': '(-0.1394043, -0.4619141, 0.7805176)', 'Roll': '10.12653', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '30.22446'}
2022-07-08 21:24:04: {'Acceleration': '(-0.4030762, -0.4827881, 0.8244629)', 'Roll': '26.0538', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '29.14614'}
2022-07-08 21:24:05: {'Acceleration': '(-0.4943848, -0.519165, 0.8343506)', 'Roll': '29.75943', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '27.45829'}
2022-07-08 21:24:06: {'Acceleration': '(-0.4194336, -0.475708, 0.7559814)', 'Roll': '29.02239', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '28.16747'}
2022-07-08 21:24:07: {'Acceleration': '(-0.4067383, -0.4599609, 0.7770996)', 'Roll': '27.61606', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '28.04078'}
2022-07-08 21:24:08: {'Acceleration': '(-0.4261475, -0.5074463, 0.8074951)', 'Roll': '27.8224', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '29.06417'}
2022-07-08 21:24:09: {'Acceleration': '(-0.4135742, -0.4904785, 0.7733154)', 'Roll': '28.13817', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '29.218'}
2022-07-08 21:24:09: {'Acceleration': '(-0.4196777, -0.4855957, 0.786499)', 'Roll': '28.08449', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '28.57785'}
2022-07-08 21:24:10: {'Acceleration': '(-0.4261475, -0.5021973, 0.7823486)', 'Roll': '28.57725', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '29.4103'}
2022-07-08 21:24:11: {'Acceleration': '(-0.4134521, -0.5273438, 0.7714844)', 'Roll': '28.11588', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '31.37248'}
2022-07-08 21:24:12: {'Acceleration': '(-0.4508057, -0.5252686, 0.7280273)', 'Roll': '31.76642', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '31.52564'}
2022-07-08 21:24:13: {'Acceleration': '(-0.34375, -0.6037598, 0.7813721)', 'Roll': '23.74619', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '35.27079'}
2022-07-08 21:24:14: {'Acceleration': '(-0.3792725, -0.5567627, 0.7585449)', 'Roll': '26.56505', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '33.0015'}
2022-07-08 21:24:15: {'Acceleration': '(-0.355957, -0.4952393, 0.7874756)', 'Roll': '25.32632', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '29.94261'}
2022-07-08 21:24:15: {'Acceleration': '(-0.3790283, -0.5321045, 0.7895508)', 'Roll': '27.39644', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '32.56495'}
2022-07-08 21:24:16: {'Acceleration': '(-0.3901367, -0.5361328, 0.7811279)', 'Roll': '26.53997', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '31.55121'}
2022-07-08 21:24:17: {'Acceleration': '(-0.307373, -0.5853271, 0.8035889)', 'Roll': '20.93187', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '35.16779'}
2022-07-08 21:24:18: {'Acceleration': '(-0.3995361, -0.6300049, 0.7304688)', 'Roll': '28.67683', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '37.11394'}
2022-07-08 21:24:19: {'Acceleration': '(-0.3533936, -0.5913086, 0.7172852)', 'Roll': '26.20553', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '35.70355'}
2022-07-08 21:24:20: {'Acceleration': '(-0.3317871, -0.5407715, 0.7758789)', 'Roll': '23.15288', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '32.65353'}
2022-07-08 21:24:21: {'Acceleration': '(-0.3498535, -0.536377, 0.8140869)', 'Roll': '22.7241', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '31.90325'}
2022-07-08 21:24:22: {'Acceleration': '(-0.385498, -0.4847412, 0.7912598)', 'Roll': '25.97513', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '28.84313'}
2022-07-08 21:24:22: {'Acceleration': '(-0.3482666, -0.5429688, 0.795166)', 'Roll': '23.55957', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '31.69509'}
2022-07-08 21:24:23: {'Acceleration': '(-0.3623047, -0.5275879, 0.8031006)', 'Roll': '24.36683', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '31.15609'}
2022-07-08 21:24:24: {'Acceleration': '(-0.4603271, -0.4267578, 0.7861328)', 'Roll': '30.35149', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '25.10093'}
2022-07-08 21:24:25: {'Acceleration': '(-0.4448242, -0.4714355, 0.769165)', 'Roll': '30.04169', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '27.75108'}
2022-07-08 21:24:26: {'Acceleration': '(-0.4627686, -0.4656982, 0.7730713)', 'Roll': '30.90518', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '27.3331'}
2022-07-08 21:24:27: {'Acceleration': '(-0.4688721, -0.4667969, 0.7805176)', 'Roll': '31.11885', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '27.17177'}
2022-07-08 21:24:28: {'Acceleration': '(-0.4633789, -0.4615479, 0.7663574)', 'Roll': '31.1593', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '27.26543'}
2022-07-08 21:24:29: {'Acceleration': '(-0.4692383, -0.4558105, 0.7792969)', 'Roll': '31.02707', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '26.70668'}
2022-07-08 21:24:29: {'Acceleration': '(-0.4624023, -0.4542236, 0.7802734)', 'Roll': '30.65165', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '26.6017'}
2022-07-08 21:24:30: {'Acceleration': '(-0.4660645, -0.4714355, 0.776001)', 'Roll': '30.98893', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '27.51077'}
2022-07-08 21:24:31: {'Acceleration': '(-0.5040283, -0.3713379, 0.7919922)', 'Roll': '32.4729', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '21.61138'}
2022-07-08 21:24:32: {'Acceleration': '(-0.5233154, -0.3830566, 0.7814941)', 'Roll': '34.37232', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '21.72784'}
