Testing SD card write operations: 2022-06-25 15:00:00
2022-06-25 15:00:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1ae4e275ea68b1b2d8331123715615fb40504fef42639899624a08b6', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6d6e97c455ae161a4d0c05d56eb76d9ba2c2bce39e8956ecefb21a8d', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 15:00:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1ae4e275ea68b1b2d8331123715615fb40504fef42639899624a08b6', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1ae4e275ea68b1b2d8331123715615fb40504fef42639899624a08b6', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '985bb3d65c0e50459dbbfda1dde086bc5ed1dc84cd26aaccb04c9412', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1ae4e275ea68b1b2d8331123715615fb40504fef42639899624a08b6', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3bb4cf85a75aed461c08727afbc201b39ebbf3f2b637accb0171fc86', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '985bb3d65c0e50459dbbfda1dde086bc5ed1dc84cd26aaccb04c9412', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'c288a88665108f4c0bb42cd022707e9a21f1ce11ba3c3752e41946a6', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9ae60bf1a9bc6ba1ede2815e04faa157e7f7deb5978540b97fd9b5bb', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-06-25 15:00:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9ae60bf1a9bc6ba1ede2815e04faa157e7f7deb5978540b97fd9b5bb', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-06-25 15:00:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '985bb3d65c0e50459dbbfda1dde086bc5ed1dc84cd26aaccb04c9412', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'c288a88665108f4c0bb42cd022707e9a21f1ce11ba3c3752e41946a6', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9ae60bf1a9bc6ba1ede2815e04faa157e7f7deb5978540b97fd9b5bb', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-06-25 15:00:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '985bb3d65c0e50459dbbfda1dde086bc5ed1dc84cd26aaccb04c9412', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
