Testing SD card write operations: 2022-09-18 20:06:25
2022-09-18 20:07:07: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-66}
2022-09-18 20:07:09: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-66}
2022-09-18 20:07:11: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-68}
2022-09-18 20:07:13: {'ssid':'B52', 'bssid':'acae360e803b5d3a9ea050c521d560e8c2f8fe39fb6e444fc7a29e674f3de1ec', 'sec':3, 'channel':11, 'rssi':-95}
2022-09-18 20:07:16: {'ssid':'B50', 'bssid':'fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18', 'sec':3, 'channel':6, 'rssi':-50}
2022-09-18 20:07:16: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-62}
2022-09-18 20:07:18: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-72}
2022-09-18 20:07:20: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-65}
2022-09-18 20:07:22: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-66}
2022-09-18 20:07:24: {'ssid':'B50', 'bssid':'fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18', 'sec':3, 'channel':6, 'rssi':-47}
2022-09-18 20:07:26: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-74}
2022-09-18 20:07:29: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-67}
2022-09-18 20:07:33: {'ssid':'B50', 'bssid':'fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18', 'sec':3, 'channel':6, 'rssi':-47}
2022-09-18 20:07:33: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-69}
2022-09-18 20:07:35: {'ssid':'B50', 'bssid':'fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18', 'sec':3, 'channel':6, 'rssi':-50}
2022-09-18 20:07:35: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-71}
2022-09-18 20:07:37: {'ssid':'B50', 'bssid':'fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18', 'sec':3, 'channel':6, 'rssi':-43}
2022-09-18 20:07:37: {'ssid':'B51', 'bssid':'4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964', 'sec':3, 'channel':6, 'rssi':-67}
