Testing SD card write operations: 2022-07-02 10:05:50
2022-07-02 10:06:00: {'ssid':'H52', 'bssid':'e957d228f47c85c2e835b0a7a66b558a1913bf1530181db392c3b749', 'sec':3, 'channel':11, 'rssi':-80}
2022-07-02 10:06:00: {'ssid':'H54', 'bssid':'8e078f7ace52048b37f9383d953612c44ba07b7659d41f49ef099ce2', 'sec':5, 'channel':11, 'rssi':-85}
2022-07-02 10:06:00: {'ssid':'H55', 'bssid':'93abb5f51e59c643bd0e60fd1b875399b86d2649374799808a8626e8', 'sec':4, 'channel':11, 'rssi':-85}
2022-07-02 10:06:00: {'ssid':'H56', 'bssid':'a0f38f4211b65388a4970022c672023c1256a1c2f94523906f119961', 'sec':0, 'channel':11, 'rssi':-85}
2022-07-02 10:06:00: {'ssid':'H512', 'bssid':'bd1525b60ee6eb64111cfda08c5d876f6b2118ad35d8b3dc94a0fe5d', 'sec':4, 'channel':2, 'rssi':-93}
2022-07-02 10:06:02: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-55}
2022-07-02 10:06:02: {'ssid':'H53', 'bssid':'b301af6d43b32c3c57efe4179c83e440be3599ef89ba8cf9d02dd02d', 'sec':4, 'channel':11, 'rssi':-73}
2022-07-02 10:06:02: {'ssid':'H52', 'bssid':'e957d228f47c85c2e835b0a7a66b558a1913bf1530181db392c3b749', 'sec':3, 'channel':11, 'rssi':-79}
2022-07-02 10:06:02: {'ssid':'H51', 'bssid':'d9eff8353e70886d6a28e3b12b72fc8cec84afd65275c486ef478b8d', 'sec':4, 'channel':1, 'rssi':-84}
2022-07-02 10:06:02: {'ssid':'H55', 'bssid':'93abb5f51e59c643bd0e60fd1b875399b86d2649374799808a8626e8', 'sec':4, 'channel':11, 'rssi':-86}
2022-07-02 10:06:02: {'ssid':'H54', 'bssid':'8e078f7ace52048b37f9383d953612c44ba07b7659d41f49ef099ce2', 'sec':5, 'channel':11, 'rssi':-87}
2022-07-02 10:06:02: {'ssid':'H59', 'bssid':'10aec02c37e216a1505aaca7b1cbeda05433dbae315c986195649a67', 'sec':3, 'channel':1, 'rssi':-91}
2022-07-02 10:06:04: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-65}
2022-07-02 10:06:04: {'ssid':'H52', 'bssid':'e957d228f47c85c2e835b0a7a66b558a1913bf1530181db392c3b749', 'sec':3, 'channel':11, 'rssi':-79}
2022-07-02 10:06:04: {'ssid':'H55', 'bssid':'93abb5f51e59c643bd0e60fd1b875399b86d2649374799808a8626e8', 'sec':4, 'channel':11, 'rssi':-89}
2022-07-02 10:06:04: {'ssid':'H54', 'bssid':'8e078f7ace52048b37f9383d953612c44ba07b7659d41f49ef099ce2', 'sec':5, 'channel':11, 'rssi':-90}
2022-07-02 10:06:04: {'ssid':'H513', 'bssid':'58c314df74e98a588ecc140c260b51d3d668e2060f58513b93468d7e', 'sec':4, 'channel':11, 'rssi':-93}
2022-07-02 10:06:06: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-61}
2022-07-02 10:06:06: {'ssid':'H53', 'bssid':'b301af6d43b32c3c57efe4179c83e440be3599ef89ba8cf9d02dd02d', 'sec':4, 'channel':11, 'rssi':-76}
2022-07-02 10:06:06: {'ssid':'H55', 'bssid':'93abb5f51e59c643bd0e60fd1b875399b86d2649374799808a8626e8', 'sec':4, 'channel':11, 'rssi':-87}
2022-07-02 10:06:06: {'ssid':'H54', 'bssid':'8e078f7ace52048b37f9383d953612c44ba07b7659d41f49ef099ce2', 'sec':5, 'channel':11, 'rssi':-88}
2022-07-02 10:06:06: {'ssid':'H56', 'bssid':'a0f38f4211b65388a4970022c672023c1256a1c2f94523906f119961', 'sec':0, 'channel':11, 'rssi':-89}
2022-07-02 10:06:06: {'ssid':'H514', 'bssid':'4e726189be1abbca2ddc8906b5cbce0b7168872085efd0c64f05fc85', 'sec':3, 'channel':1, 'rssi':-92}
2022-07-02 10:06:08: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-61}
2022-07-02 10:06:08: {'ssid':'H53', 'bssid':'b301af6d43b32c3c57efe4179c83e440be3599ef89ba8cf9d02dd02d', 'sec':4, 'channel':11, 'rssi':-75}
2022-07-02 10:06:08: {'ssid':'H52', 'bssid':'e957d228f47c85c2e835b0a7a66b558a1913bf1530181db392c3b749', 'sec':3, 'channel':11, 'rssi':-79}
2022-07-02 10:06:08: {'ssid':'H54', 'bssid':'8e078f7ace52048b37f9383d953612c44ba07b7659d41f49ef099ce2', 'sec':5, 'channel':11, 'rssi':-86}
2022-07-02 10:06:08: {'ssid':'H56', 'bssid':'a0f38f4211b65388a4970022c672023c1256a1c2f94523906f119961', 'sec':0, 'channel':11, 'rssi':-86}
2022-07-02 10:06:08: {'ssid':'H55', 'bssid':'93abb5f51e59c643bd0e60fd1b875399b86d2649374799808a8626e8', 'sec':4, 'channel':11, 'rssi':-87}
2022-07-02 10:06:10: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-70}
2022-07-02 10:06:10: {'ssid':'H52', 'bssid':'e957d228f47c85c2e835b0a7a66b558a1913bf1530181db392c3b749', 'sec':3, 'channel':11, 'rssi':-80}
2022-07-02 10:06:10: {'ssid':'H51', 'bssid':'d9eff8353e70886d6a28e3b12b72fc8cec84afd65275c486ef478b8d', 'sec':4, 'channel':1, 'rssi':-82}
2022-07-02 10:06:10: {'ssid':'H55', 'bssid':'93abb5f51e59c643bd0e60fd1b875399b86d2649374799808a8626e8', 'sec':4, 'channel':11, 'rssi':-83}
2022-07-02 10:06:10: {'ssid':'H510', 'bssid':'928853c4dfa7a47a257200c2f0fc78613ef108f63ca02056addd38a8', 'sec':1, 'channel':11, 'rssi':-85}
2022-07-02 10:06:10: {'ssid':'H515', 'bssid':'d6d59d2f74beef434077d3d0ef8d3d703b292c80a2115986c5add4ff', 'sec':3, 'channel':11, 'rssi':-86}
2022-07-02 10:06:10: {'ssid':'H59', 'bssid':'10aec02c37e216a1505aaca7b1cbeda05433dbae315c986195649a67', 'sec':3, 'channel':1, 'rssi':-89}
2022-07-02 10:06:12: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-63}
2022-07-02 10:06:12: {'ssid':'H53', 'bssid':'b301af6d43b32c3c57efe4179c83e440be3599ef89ba8cf9d02dd02d', 'sec':4, 'channel':11, 'rssi':-73}
2022-07-02 10:06:12: {'ssid':'H52', 'bssid':'e957d228f47c85c2e835b0a7a66b558a1913bf1530181db392c3b749', 'sec':3, 'channel':11, 'rssi':-78}
2022-07-02 10:06:12: {'ssid':'H56', 'bssid':'a0f38f4211b65388a4970022c672023c1256a1c2f94523906f119961', 'sec':0, 'channel':11, 'rssi':-86}
2022-07-02 10:06:12: {'ssid':'H54', 'bssid':'8e078f7ace52048b37f9383d953612c44ba07b7659d41f49ef099ce2', 'sec':5, 'channel':11, 'rssi':-87}
2022-07-02 10:06:12: {'ssid':'H55', 'bssid':'93abb5f51e59c643bd0e60fd1b875399b86d2649374799808a8626e8', 'sec':4, 'channel':11, 'rssi':-87}
2022-07-02 10:06:14: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-66}
2022-07-02 10:06:14: {'ssid':'H53', 'bssid':'b301af6d43b32c3c57efe4179c83e440be3599ef89ba8cf9d02dd02d', 'sec':4, 'channel':11, 'rssi':-76}
2022-07-02 10:06:14: {'ssid':'H52', 'bssid':'e957d228f47c85c2e835b0a7a66b558a1913bf1530181db392c3b749', 'sec':3, 'channel':11, 'rssi':-77}
2022-07-02 10:06:14: {'ssid':'H511', 'bssid':'20df1e8cab895133cb9ae94d2ecddfa4f274cd98425f9b09c6be1bd0', 'sec':4, 'channel':6, 'rssi':-85}
2022-07-02 10:06:14: {'ssid':'H54', 'bssid':'8e078f7ace52048b37f9383d953612c44ba07b7659d41f49ef099ce2', 'sec':5, 'channel':11, 'rssi':-85}
2022-07-02 10:06:14: {'ssid':'H55', 'bssid':'93abb5f51e59c643bd0e60fd1b875399b86d2649374799808a8626e8', 'sec':4, 'channel':11, 'rssi':-85}
2022-07-02 10:06:14: {'ssid':'H56', 'bssid':'a0f38f4211b65388a4970022c672023c1256a1c2f94523906f119961', 'sec':0, 'channel':11, 'rssi':-85}
2022-07-02 10:06:14: {'ssid':'H510', 'bssid':'928853c4dfa7a47a257200c2f0fc78613ef108f63ca02056addd38a8', 'sec':1, 'channel':11, 'rssi':-87}
2022-07-02 10:06:14: {'ssid':'H57', 'bssid':'f5dc10a759e550e22d8cca69e3f305111d934e744eece76e44c0e9de', 'sec':5, 'channel':2, 'rssi':-93}
2022-07-02 10:06:16: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-62}
2022-07-02 10:06:16: {'ssid':'H53', 'bssid':'b301af6d43b32c3c57efe4179c83e440be3599ef89ba8cf9d02dd02d', 'sec':4, 'channel':11, 'rssi':-73}
2022-07-02 10:06:16: {'ssid':'H52', 'bssid':'e957d228f47c85c2e835b0a7a66b558a1913bf1530181db392c3b749', 'sec':3, 'channel':11, 'rssi':-78}
2022-07-02 10:06:16: {'ssid':'H51', 'bssid':'d9eff8353e70886d6a28e3b12b72fc8cec84afd65275c486ef478b8d', 'sec':4, 'channel':1, 'rssi':-82}
2022-07-02 10:06:16: {'ssid':'H54', 'bssid':'8e078f7ace52048b37f9383d953612c44ba07b7659d41f49ef099ce2', 'sec':5, 'channel':11, 'rssi':-85}
2022-07-02 10:06:16: {'ssid':'H56', 'bssid':'a0f38f4211b65388a4970022c672023c1256a1c2f94523906f119961', 'sec':0, 'channel':11, 'rssi':-85}
2022-07-02 10:06:16: {'ssid':'H55', 'bssid':'93abb5f51e59c643bd0e60fd1b875399b86d2649374799808a8626e8', 'sec':4, 'channel':11, 'rssi':-86}
2022-07-02 10:06:18: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-61}
2022-07-02 10:06:18: {'ssid':'H53', 'bssid':'b301af6d43b32c3c57efe4179c83e440be3599ef89ba8cf9d02dd02d', 'sec':4, 'channel':11, 'rssi':-74}
2022-07-02 10:06:18: {'ssid':'H52', 'bssid':'e957d228f47c85c2e835b0a7a66b558a1913bf1530181db392c3b749', 'sec':3, 'channel':11, 'rssi':-78}
2022-07-02 10:06:18: {'ssid':'H51', 'bssid':'d9eff8353e70886d6a28e3b12b72fc8cec84afd65275c486ef478b8d', 'sec':4, 'channel':1, 'rssi':-81}
2022-07-02 10:06:18: {'ssid':'H515', 'bssid':'d6d59d2f74beef434077d3d0ef8d3d703b292c80a2115986c5add4ff', 'sec':3, 'channel':11, 'rssi':-84}
2022-07-02 10:06:18: {'ssid':'H54', 'bssid':'8e078f7ace52048b37f9383d953612c44ba07b7659d41f49ef099ce2', 'sec':5, 'channel':11, 'rssi':-85}
2022-07-02 10:06:18: {'ssid':'H55', 'bssid':'93abb5f51e59c643bd0e60fd1b875399b86d2649374799808a8626e8', 'sec':4, 'channel':11, 'rssi':-85}
