Testing SD card write operations: 2022-08-13 13:20:42
2022-08-13 13:21:11: {'Acceleration': '(0.07080078, -0.3244629, 0.9482422)', 'Roll': '-4.270082', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '18.84083'}
2022-08-13 13:21:12: {'Acceleration': '(0.08190918, -0.3239746, 0.9443359)', 'Roll': '-4.957276', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '18.57603'}
2022-08-13 13:21:12: {'Acceleration': '(0.0748291, -0.3175049, 0.9448242)', 'Roll': '-4.528314', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '18.52072'}
2022-08-13 13:21:13: {'Acceleration': '(0.01062012, -0.4742432, 0.8782959)', 'Roll': '-0.6927713', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '27.11452'}
2022-08-13 13:21:14: {'Acceleration': '(0.05603027, -0.3299561, 0.949707)', 'Roll': '-3.457754', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '18.97664'}
2022-08-13 13:21:15: {'Acceleration': '(0.06506348, -0.3128662, 0.9525146)', 'Roll': '-3.907636', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '18.08789'}
2022-08-13 13:21:16: {'Acceleration': '(-0.05078125, -0.3920898, 1.03186)', 'Roll': '2.817441', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '20.86257'}
2022-08-13 13:21:17: {'Acceleration': '(0.1143799, -0.3270264, 0.944458)', 'Roll': '-6.905256', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '18.97023'}
2022-08-13 13:21:18: {'Acceleration': '(0.03320313, -0.4379883, 0.9003906)', 'Roll': '-2.111902', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '23.15655'}
2022-08-13 13:21:19: {'Acceleration': '(0.06213379, -0.2987061, 0.9530029)', 'Roll': '-3.54542', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '18.60825'}
2022-08-13 13:21:19: {'Acceleration': '(0.1422119, -0.1777344, 0.9853516)', 'Roll': '-8.212564', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '8.920744'}
2022-08-13 13:21:20: {'Acceleration': '(0.1157227, -0.553833, 0.7574463)', 'Roll': '-9.043747', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '37.79795'}
2022-08-13 13:21:21: {'Acceleration': '(0.03869629, -0.3148193, 0.9619141)', 'Roll': '-3.021946', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '18.0989'}
2022-08-13 13:21:22: {'Acceleration': '(-0.005615234, -0.394165, 0.9549561)', 'Roll': '0.3369008', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '22.18142'}
2022-08-13 13:21:23: {'Acceleration': '(-0.07226563, -0.4539795, 0.9458008)', 'Roll': '2.322036', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '27.18089'}
2022-08-13 13:21:24: {'Acceleration': '(0.04833984, -0.387085, 0.9667969)', 'Roll': '-2.862405', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '21.79544'}
2022-08-13 13:21:25: {'Acceleration': '(-0.05944824, -0.4077148, 0.9337158)', 'Roll': '3.643016', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '23.54642'}
2022-08-13 13:21:25: {'Acceleration': '(0.02661133, -0.3399658, 0.9602051)', 'Roll': '-1.587501', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '19.48986'}
2022-08-13 13:21:26: {'Acceleration': '(0.0246582, -0.3649902, 0.942627)', 'Roll': '-1.49846', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '21.19952'}
2022-08-13 13:21:27: {'Acceleration': '(0.01672363, -0.347168, 0.9483643)', 'Roll': '-1.01026', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '20.1033'}
2022-08-13 13:21:28: {'Acceleration': '(0.0267334, -0.3431396, 0.9547119)', 'Roll': '-1.603951', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '19.76215'}
2022-08-13 13:21:29: {'Acceleration': '(0.01477051, -0.357666, 0.9398193)', 'Roll': '-0.900405', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '21.2713'}
2022-08-13 13:21:30: {'Acceleration': '(-0.003295898, -0.3625488, 0.9489746)', 'Roll': '0.1989941', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '20.90888'}
2022-08-13 13:21:31: {'Acceleration': '(0.002075195, -0.3608398, 0.9499512)', 'Roll': '-0.1256971', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '21.07991'}
2022-08-13 13:21:32: {'Acceleration': '(-0.007324219, -0.3848877, 0.9246826)', 'Roll': '-0.03760552', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '22.40055'}
2022-08-13 13:21:32: {'Acceleration': '(0.03637695, -0.4265137, 0.8970947)', 'Roll': '-2.322057', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '24.58263'}
2022-08-13 13:21:33: {'Acceleration': '(0.03076172, -0.4064941, 0.9313965)', 'Roll': '-2.176642', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '23.52515'}
2022-08-13 13:21:34: {'Acceleration': '(0.08081055, -0.3885498, 0.8790283)', 'Roll': '-5.252533', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '23.06723'}
2022-08-13 13:21:35: {'Acceleration': '(0.151123, -0.2175293, 0.9771729)', 'Roll': '-8.539515', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '12.41523'}
2022-08-13 13:21:36: {'Acceleration': '(0.1450195, -0.2332764, 0.9726563)', 'Roll': '-8.480124', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '13.34461'}
2022-08-13 13:21:37: {'Acceleration': '(0.135376, -0.2364502, 0.9672852)', 'Roll': '-8.092486', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '13.94425'}
2022-08-13 13:21:38: {'Acceleration': '(0.1428223, -0.230957, 0.9736328)', 'Roll': '-8.345204', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '13.20826'}
2022-08-13 13:21:38: {'Acceleration': '(0.1405029, -0.2315674, 0.9647217)', 'Roll': '-8.286347', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '13.58428'}
2022-08-13 13:21:39: {'Acceleration': '(0.1462402, -0.2247314, 0.9683838)', 'Roll': '-8.587618', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '12.89609'}
2022-08-13 13:21:40: {'Acceleration': '(0.1428223, -0.2241211, 0.9669189)', 'Roll': '-8.142854', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '12.57201'}
2022-08-13 13:21:41: {'Acceleration': '(0.1446533, -0.2237549, 0.9725342)', 'Roll': '-8.460067', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '12.82049'}
2022-08-13 13:21:42: {'Acceleration': '(0.1414795, -0.2203369, 0.9708252)', 'Roll': '-8.628966', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '12.85715'}
2022-08-13 13:21:43: {'Acceleration': '(0.1474609, -0.2180176, 0.9766846)', 'Roll': '-8.585734', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '12.44679'}
2022-08-13 13:21:44: {'Acceleration': '(0.1468506, -0.2197266, 0.9691162)', 'Roll': '-8.616503', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '12.6351'}
2022-08-13 13:21:45: {'Acceleration': '(0.1479492, -0.220459, 0.9709473)', 'Roll': '-8.663867', 'battery_voltage': 4.430789, 'battery_percentage': 76.41218, 'Pitch': '12.65118'}
2022-08-13 13:21:45: {'Acceleration': '(0.1425781, -0.2226563, 0.9656982)', 'Roll': '-8.398619', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '12.80297'}
2022-08-13 13:21:46: {'Acceleration': '(0.1469727, -0.2169189, 0.9835205)', 'Roll': '-8.819038', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '12.63829'}
2022-08-13 13:21:47: {'Acceleration': '(0.1541748, -0.213623, 0.972168)', 'Roll': '-9.011413', 'battery_voltage': 4.470932, 'battery_percentage': 80.42647, 'Pitch': '11.90531'}
2022-08-13 13:21:48: {'Acceleration': '(0.1469727, -0.2218018, 0.9558105)', 'Roll': '-8.680634', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '12.54996'}
2022-08-13 13:21:49: {'Acceleration': '(0.1508789, -0.2050781, 0.9898682)', 'Roll': '-8.666502', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '11.57477'}
2022-08-13 13:21:50: {'Acceleration': '(0.1500244, -0.2181396, 0.9775391)', 'Roll': '-8.706544', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '12.55149'}
2022-08-13 13:21:51: {'Acceleration': '(0.1483154, -0.1872559, 0.9832764)', 'Roll': '-8.577716', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.66451'}
2022-08-13 13:21:52: {'Acceleration': '(0.1453857, -0.2131348, 0.9696045)', 'Roll': '-8.795724', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '12.32832'}
2022-08-13 13:21:52: {'Acceleration': '(0.1920166, -0.1776123, 0.9790039)', 'Roll': '-11.09682', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '10.09457'}
2022-08-13 13:21:53: {'Acceleration': '(0.1557617, -0.2003174, 0.9727783)', 'Roll': '-9.097007', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '11.33269'}
2022-08-13 13:21:54: {'Acceleration': '(0.1451416, -0.2088623, 0.9764404)', 'Roll': '-8.454743', 'battery_voltage': 4.470932, 'battery_percentage': 80.42647, 'Pitch': '11.9463'}
2022-08-13 13:21:55: {'Acceleration': '(0.1533203, -0.1970215, 0.9857178)', 'Roll': '-8.841044', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '11.6353'}
2022-08-13 13:21:56: {'Acceleration': '(0.1553955, -0.2131348, 0.9698486)', 'Roll': '-8.971882', 'battery_voltage': 4.470932, 'battery_percentage': 80.42647, 'Pitch': '12.0591'}
2022-08-13 13:21:57: {'Acceleration': '(0.1551514, -0.2020264, 0.9775391)', 'Roll': '-9.018546', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '10.78966'}
2022-08-13 13:21:58: {'Acceleration': '(0.1815186, -0.1802979, 0.9680176)', 'Roll': '-9.928318', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.19763'}
2022-08-13 13:21:58: {'Acceleration': '(0.1622314, -0.2006836, 0.9433594)', 'Roll': '-9.757826', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '11.84086'}
2022-08-13 13:21:59: {'Acceleration': '(0.1276855, -0.2053223, 0.9743652)', 'Roll': '-7.437544', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '11.80221'}
2022-08-13 13:22:00: {'Acceleration': '(0.131958, -0.2023926, 0.977417)', 'Roll': '-7.688834', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '11.59651'}
2022-08-13 13:22:01: {'Acceleration': '(0.1339111, -0.1956787, 0.980835)', 'Roll': '-7.774393', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '11.54797'}
2022-08-13 13:22:02: {'Acceleration': '(0.1350098, -0.1989746, 0.9819336)', 'Roll': '-7.828727', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '11.47652'}
2022-08-13 13:22:03: {'Acceleration': '(0.1292725, -0.197876, 0.9730225)', 'Roll': '-8.054011', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '11.35576'}
2022-08-13 13:22:04: {'Acceleration': '(0.1416016, -0.1872559, 0.9775391)', 'Roll': '-8.242258', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '10.73473'}
2022-08-13 13:22:05: {'Acceleration': '(0.159668, -0.1798096, 0.9707031)', 'Roll': '-9.656167', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.34887'}
2022-08-13 13:22:05: {'Acceleration': '(0.1601563, -0.1634521, 0.9775391)', 'Roll': '-9.304457', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '9.369823'}
2022-08-13 13:22:06: {'Acceleration': '(0.1710205, -0.1693115, 0.9921875)', 'Roll': '-9.208821', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '8.957843'}
2022-08-13 13:22:07: {'Acceleration': '(0.1295166, -0.1920166, 0.9847412)', 'Roll': '-7.492734', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '12.64059'}
2022-08-13 13:22:08: {'Acceleration': '(0.1624756, -0.1832275, 0.9854736)', 'Roll': '-8.933261', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '9.789298'}
2022-08-13 13:22:09: {'Acceleration': '(0.1429443, -0.1873779, 0.9875488)', 'Roll': '-8.236167', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '10.63534'}
2022-08-13 13:22:10: {'Acceleration': '(0.1567383, -0.1881104, 0.9724121)', 'Roll': '-9.156467', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.81227'}
2022-08-13 13:22:11: {'Acceleration': '(0.1480713, -0.1706543, 0.9832764)', 'Roll': '-8.563806', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '10.05365'}
