Testing SD card write operations: 2022-08-13 13:20:33
2022-08-13 13:20:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -38, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -42, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -52, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -40, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -35, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'cd1bf5e64ccb660014daad0cba6057e68ca4d1ce896458f8b0982f90', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-08-13 13:21:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:21:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
