Testing SD card write operations: 2022-09-15 10:12:22
2022-09-15 10:12:49: {'Acceleration': '(-0.204834, 0.0006103516, 0.9970703)', 'Roll': '11.60909', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '-0.03435584'}
2022-09-15 10:12:50: {'Acceleration': '(-0.2059326, 0.0004882813, 1.001709)', 'Roll': '11.61708', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '-0.02735661'}
2022-09-15 10:12:51: {'Acceleration': '(-0.2059326, -0.0006103516, 1.002808)', 'Roll': '11.42389', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.03418178'}
2022-09-15 10:12:52: {'Acceleration': '(-0.2086182, -0.003417969, 1.001953)', 'Roll': '11.53641', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.06873791'}
2022-09-15 10:12:52: {'Acceleration': '(-0.2055664, -0.001342773, 0.9967041)', 'Roll': '11.36793', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.01375578'}
2022-09-15 10:12:53: {'Acceleration': '(-0.1994629, -0.004638672, 0.998291)', 'Roll': '11.45648', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '-0.02742239'}
2022-09-15 10:12:54: {'Acceleration': '(-0.2053223, -0.004272461, 1.005127)', 'Roll': '11.49839', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.04118279'}
2022-09-15 10:12:55: {'Acceleration': '(-0.2032471, -0.00390625, 0.9959717)', 'Roll': '11.53531', 'battery_voltage': 4.044409, 'battery_percentage': 37.77416, 'Pitch': '0.04814422'}
2022-09-15 10:12:56: {'Acceleration': '(-0.2055664, -0.001831055, 1.00708)', 'Roll': '11.5368', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '-0.05483321'}
2022-09-15 10:12:57: {'Acceleration': '(-0.2034912, -0.004516602, 0.9984131)', 'Roll': '11.51993', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.08266035'}
2022-09-15 10:12:58: {'Acceleration': '(-0.2034912, -0.002685547, 0.9993896)', 'Roll': '11.50898', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '-0.08934875'}
2022-09-15 10:12:58: {'Acceleration': '(-0.2016602, 0.0006103516, 1.0)', 'Roll': '11.40136', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.1097586'}
2022-09-15 10:12:59: {'Acceleration': '(-0.2049561, -0.001708984, 0.9997559)', 'Roll': '11.58546', 'battery_voltage': 4.044409, 'battery_percentage': 37.77416, 'Pitch': '0.08906138'}
2022-09-15 10:13:00: {'Acceleration': '(-0.2033691, -0.003417969, 0.9995117)', 'Roll': '11.50089', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.06188016'}
2022-09-15 10:13:01: {'Acceleration': '(-0.2021484, 0.0003662109, 1.001343)', 'Roll': '11.41332', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '-0.02053983'}
2022-09-15 10:13:02: {'Acceleration': '(-0.2067871, -0.0001220703, 1.0)', 'Roll': '11.68336', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.006849207'}
2022-09-15 10:13:02: {'Acceleration': '(-0.2022705, -0.00378418, 0.9980469)', 'Roll': '11.45675', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.2129123'}
2022-09-15 10:13:03: {'Acceleration': '(-0.2050781, -0.002929688, 0.9956055)', 'Roll': '11.63918', 'battery_voltage': 4.044409, 'battery_percentage': 37.77416, 'Pitch': '0.1651324'}
2022-09-15 10:13:04: {'Acceleration': '(-0.2047119, -0.0003662109, 0.993042)', 'Roll': '11.64814', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.02069422'}
2022-09-15 10:13:05: {'Acceleration': '(-0.203125, -0.004760742, 0.9949951)', 'Roll': '11.5382', 'battery_voltage': 4.049427, 'battery_percentage': 38.27598, 'Pitch': '0.2686005'}
