Testing SD card write operations: 2022-07-06 14:08:49
2022-07-06 14:09:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8015c5dd7c34ac78115d40ea49dbd44d8fd02816e5a26c9e5c77a70d012f524b', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '12f90f3e4b3eca257c2e777c1261212733ed8ea103f13c9ab164f7d18008dc2c', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f20e3a3b05aa5e542b7700e7c233141b2747b8a743ca8b05f56bd96be945bda5', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:09:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '12f90f3e4b3eca257c2e777c1261212733ed8ea103f13c9ab164f7d18008dc2c', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f20e3a3b05aa5e542b7700e7c233141b2747b8a743ca8b05f56bd96be945bda5', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:09:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a9967824b688075cfd01a5d740683e10def8cde1e824c154bc4f624c8c88b467', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 14:09:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b2d8055792ee53c75021159015e35cd7c0310a8ed443e0bf6770c82106c30eaf', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0ddfee7ad81ece6a938e0c5449f1eebdfad647a4739fdea870c5f011101d219d', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:09:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '667141a0f4fe3c54f351b86606465357a3b3248fa07e7b960e19922bb0e6c533', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0ddfee7ad81ece6a938e0c5449f1eebdfad647a4739fdea870c5f011101d219d', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
