Testing SD card write operations: 2022-06-25 14:16:17
2022-06-25 14:17:18: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-25 14:17:20: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-40}
2022-06-25 14:17:21: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-25 14:17:23: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-36}
2022-06-25 14:17:27: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-25 14:17:29: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 14:17:31: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-25 14:17:32: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-25 14:17:34: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-25 14:17:36: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-25 14:17:38: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 14:17:40: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-31}
2022-06-25 14:17:42: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-25 14:17:44: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-25 14:17:45: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-25 14:17:47: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-33}
2022-06-25 14:17:49: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-40}
2022-06-25 14:17:51: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-25 14:17:53: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-25 14:17:55: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-34}
