Testing SD card write operations: 2022-06-27 12:55:01
2022-06-27 12:56:29: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-38}
2022-06-27 12:56:33: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-51}
2022-06-27 12:56:35: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-62}
2022-06-27 12:56:37: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-33}
2022-06-27 12:56:38: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-27 12:56:42: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-27 12:56:44: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-58}
2022-06-27 12:56:46: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-53}
2022-06-27 12:56:50: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-53}
2022-06-27 12:56:51: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-52}
2022-06-27 12:56:53: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-40}
2022-06-27 12:56:55: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-27 12:56:59: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-27 12:57:01: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-40}
2022-06-27 12:57:02: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-27 12:57:04: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-27 12:57:04: {'ssid':'P49', 'bssid':'4eaf9b3dbda8af382e5f9b506463d1364be9d6970e02f7d23dd63ff7a7dd25c0', 'sec':3, 'channel':5, 'rssi':-93}
2022-06-27 12:57:06: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-27 12:57:08: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-33}
2022-06-27 12:57:10: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-40}
2022-06-27 12:57:12: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-27 12:57:14: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-27 12:57:15: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-27}
2022-06-27 12:57:17: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-33}
2022-06-27 12:57:19: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-33}
2022-06-27 12:57:21: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-38}
2022-06-27 12:57:23: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-41}
2022-06-27 12:57:25: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-40}
2022-06-27 12:57:27: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-27 12:57:28: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-27 12:57:30: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-27 12:57:32: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-41}
2022-06-27 12:57:34: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-27 12:57:36: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-41}
2022-06-27 12:57:38: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-33}
2022-06-27 12:57:39: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-27 12:57:41: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-49}
2022-06-27 12:57:43: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-27 12:57:45: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-27 12:57:45: {'ssid':'P410', 'bssid':'56056379fe9710e39e6aee60f58e83b9c229230e87919e1b88e7be9db82e03f3', 'sec':0, 'channel':1, 'rssi':-83}
2022-06-27 12:57:47: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-31}
2022-06-27 12:57:49: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-33}
